,element,obs_wavelength,obs_ep,obs_ew,abund
0,FeI,4787.83,3.0,76.6,7.63
1,FeI,4788.76,3.24,95.6,7.68
2,FeI,4802.88,3.64,84.0,7.54
3,FeI,4808.15,3.25,57.4,7.58
4,FeI,4869.46,3.55,50.1,7.46
5,FeI,4875.88,3.33,84.9,7.54
6,FeI,4877.6,3.0,52.2,7.52
7,FeI,4907.73,3.43,89.4,7.66
8,FeI,4950.11,3.42,106.4,7.82
9,FeI,4969.92,4.22,97.0,7.54
10,FeI,4985.55,2.87,116.1,7.08
11,FeI,5088.15,4.15,57.7,7.54
12,FeI,5223.18,3.63,52.6,6.95
13,FeI,5285.13,4.43,49.0,7.5
14,FeI,5294.55,3.64,52.3,7.92
15,FeI,5295.31,4.42,31.6,7.15
16,FeI,5300.4,4.59,33.9,7.46
17,FeI,5364.87,4.45,106.2,6.95
18,FeI,5386.33,4.15,46.5,7.26
19,FeI,5412.78,4.43,23.9,7.1
20,FeI,5415.2,4.39,116.4,6.65
21,FeI,5441.34,4.31,54.5,7.57
22,FeI,5461.55,4.45,46.9,7.72
23,FeI,5464.28,4.14,64.8,7.41
24,FeI,5466.4,4.37,67.1,6.92
25,FeI,5487.15,4.42,60.0,7.6
26,FeI,5494.46,4.08,36.9,7.29
27,FeI,5522.45,4.21,65.7,7.52
28,FeI,5539.28,3.64,43.9,7.52
29,FeI,5543.94,4.22,86.0,7.58
30,FeI,5560.21,4.43,72.4,7.56
31,FeI,5618.63,4.21,74.3,7.54
32,FeI,5619.6,4.39,59.9,7.73
33,FeI,5624.02,4.39,74.8,7.86
34,FeI,5633.95,4.99,86.0,7.64
35,FeI,5635.82,4.26,58.5,7.74
36,FeI,5636.7,3.64,46.1,7.51
37,FeI,5638.26,4.22,100.9,7.62
38,FeI,5649.99,5.1,53.8,7.6
39,FeI,5651.47,4.47,35.8,7.6
40,FeI,5652.32,4.26,49.0,7.6
41,FeI,5655.18,5.06,71.4,7.72
42,FeI,5661.35,4.28,47.8,7.51
43,FeI,5662.52,4.18,114.6,7.61
44,FeI,5679.02,4.65,78.7,7.64
45,FeI,5691.5,4.3,66.5,7.6
46,FeI,5696.09,4.55,28.7,7.34
47,FeI,5698.02,3.64,39.3,7.43
48,FeI,5705.46,4.3,63.3,7.46
49,FeI,5731.76,4.26,84.9,7.74
50,FeI,5732.3,4.99,32.9,7.66
51,FeI,5741.85,4.26,57.9,7.61
52,FeI,5742.96,4.18,33.1,7.72
53,FeI,5760.34,3.64,51.4,7.5
54,FeI,5775.08,4.22,85.5,7.81
55,FeI,5778.45,2.59,61.1,7.54
56,FeI,5784.66,3.4,57.9,7.49
57,FeI,5835.1,4.26,36.3,7.74
58,FeI,5837.7,4.29,25.3,7.5
59,FeI,5838.37,3.94,46.7,7.57
60,FeI,5849.68,3.69,25.4,7.48
61,FeI,5853.15,1.49,39.1,7.56
62,FeI,5855.08,4.61,42.3,7.46
63,FeI,5858.78,4.22,31.4,7.48
64,FeI,5883.82,3.96,88.7,7.5
65,FeI,5902.47,4.59,28.3,7.37
66,FeI,5905.67,4.65,79.4,7.51
67,FeI,5927.79,4.65,63.4,7.47
68,FeI,5929.68,4.55,64.6,7.7
69,FeI,5930.18,4.65,109.6,7.62
70,FeI,5934.65,3.93,102.9,7.54
71,FeI,5940.99,4.18,42.0,7.55
72,FeI,5956.69,0.86,107.8,7.67
73,FeI,6003.01,3.88,109.4,7.65
74,FeI,6012.21,2.22,63.7,7.76
75,FeI,6027.05,4.08,92.3,7.61
76,FeI,6079.01,4.65,69.3,7.62
77,FeI,6082.71,2.22,79.5,7.63
78,FeI,6093.64,4.61,52.5,7.59
79,FeI,6094.37,4.65,39.6,7.8
80,FeI,6096.66,3.98,66.9,7.62
81,FeI,6120.25,0.91,34.4,7.57
82,FeI,6127.91,4.14,77.4,7.64
83,FeI,6136.99,2.2,116.4,7.8
84,FeI,6151.62,2.18,90.9,7.57
85,FeI,6165.36,4.14,72.4,7.59
86,FeI,6173.33,2.22,112.7,7.68
87,FeI,6187.99,3.94,79.3,7.62
88,FeI,6200.31,2.61,117.2,7.73
89,FeI,6226.73,3.88,55.8,7.56
90,FeI,6229.23,2.85,79.2,7.57
91,FeI,6232.64,3.65,115.5,7.73
92,FeI,6240.65,2.22,90.0,7.48
93,FeI,6270.22,2.86,92.8,7.62
94,FeI,6271.28,3.33,57.6,7.54
95,FeI,6315.81,4.08,71.5,7.61
96,FeI,6322.69,2.59,118.8,7.75
97,FeI,6330.85,4.73,53.2,7.97
98,FeI,6338.88,4.8,65.2,7.61
99,FeI,6364.36,4.8,64.1,7.95
100,FeI,6380.74,4.19,83.2,7.77
101,FeI,6475.62,2.56,106.8,7.95
102,FeI,6481.87,2.28,111.5,7.76
103,FeI,6496.47,4.8,89.0,7.66
104,FeI,6498.94,0.96,102.4,7.68
105,FeI,6518.37,2.83,97.8,7.5
106,FeI,6533.93,4.56,63.8,7.7
107,FeI,6569.21,4.73,103.7,7.71
108,FeI,6574.23,0.99,83.5,7.62
109,FeI,6597.56,4.8,68.5,7.67
110,FeI,6609.11,2.56,115.7,7.84
111,FeI,6627.54,4.55,54.8,7.72
112,FeI,6648.08,1.01,51.8,7.92
113,FeI,6699.14,4.59,20.9,7.53
114,FeI,6703.57,2.76,79.0,7.67
115,FeI,6713.74,4.8,41.9,7.64
116,FeI,6733.15,4.64,52.9,7.68
117,FeI,6739.52,1.56,50.2,7.4
118,FeI,6786.86,4.19,49.6,7.59
119,FeI,6804.27,4.58,35.0,7.58
120,FeI,6806.84,2.73,77.6,6.66
121,FeI,6810.26,4.61,75.1,7.6
122,FeI,6820.37,4.64,70.3,7.77
123,FeII,5414.07,3.22,40.3,7.36
124,FeII,5991.38,3.15,54.3,7.7
125,FeII,6084.11,3.2,39.8,7.63
126,FeII,6113.32,3.22,24.8,7.6
127,FeII,6149.26,3.89,49.8,7.59
128,FeII,6247.56,3.89,66.4,7.6
129,FeII,6369.46,2.89,34.5,7.39
130,FeII,6432.68,2.89,62.1,7.51
131,FeII,6456.38,3.9,81.8,7.71
