,element,obs_wavelength,obs_ep,obs_ew,abund
0,FeI,4787.83,3.0,102.1,7.92
1,FeI,4788.76,3.24,121.4,8.06
2,FeI,4808.15,3.25,76.9,7.76
3,FeI,4869.46,3.55,76.7,7.86
4,FeI,4875.88,3.33,101.9,7.65
5,FeI,4877.6,3.0,72.3,7.66
6,FeI,4907.73,3.43,110.7,7.86
7,FeI,4950.11,3.42,127.4,7.97
8,FeI,4962.57,4.18,91.5,7.72
9,FeI,4969.92,4.22,111.6,7.59
10,FeI,4992.79,4.26,31.6,7.61
11,FeI,4999.11,4.19,71.3,7.71
12,FeI,5012.69,4.28,74.0,7.89
13,FeI,5023.19,4.28,78.3,7.8
14,FeI,5058.5,3.64,44.7,7.63
15,FeI,5088.15,4.15,69.8,7.62
16,FeI,5109.65,4.3,100.6,7.75
17,FeI,5115.78,3.57,63.8,7.77
18,FeI,5141.74,2.42,145.5,7.49
19,FeI,5197.94,4.3,58.7,7.41
20,FeI,5223.18,3.63,74.3,7.21
21,FeI,5225.53,0.11,184.6,8.18
22,FeI,5228.38,4.22,103.3,7.92
23,FeI,5243.78,4.26,100.8,7.77
24,FeI,5250.65,2.2,183.1,7.65
25,FeI,5253.02,2.28,77.5,7.6
26,FeI,5253.46,3.28,116.4,7.43
27,FeI,5285.13,4.43,63.9,7.69
28,FeI,5288.52,3.69,105.2,7.77
29,FeI,5293.96,4.14,77.9,7.91
30,FeI,5294.55,3.64,59.1,7.84
31,FeI,5295.31,4.42,64.0,7.71
32,FeI,5300.4,4.59,24.5,7.12
33,FeI,5321.11,4.43,77.5,7.53
34,FeI,5365.4,3.57,119.3,7.49
35,FeI,5373.71,4.47,98.2,7.68
36,FeI,5379.57,3.69,110.7,7.87
37,FeI,5386.33,4.15,72.9,7.65
38,FeI,5389.48,4.42,110.1,7.46
39,FeI,5395.22,4.45,58.7,8.11
40,FeI,5398.28,4.45,105.8,7.64
41,FeI,5412.78,4.43,58.6,7.74
42,FeI,5417.03,4.42,70.3,7.83
43,FeI,5441.34,4.31,70.6,7.76
44,FeI,5461.55,4.45,68.5,8.04
45,FeI,5464.28,4.14,79.1,7.55
46,FeI,5466.4,4.37,120.6,7.8
47,FeI,5470.09,4.45,65.2,7.89
48,FeI,5483.1,4.15,86.3,7.66
49,FeI,5487.15,4.42,94.1,8.18
50,FeI,5491.83,4.19,50.7,7.76
51,FeI,5494.46,4.08,73.4,7.94
52,FeI,5522.45,4.21,79.6,7.66
53,FeI,5539.28,3.64,67.3,7.81
54,FeI,5543.94,4.22,101.6,7.68
55,FeI,5546.51,4.37,102.5,8.07
56,FeI,5552.69,4.95,30.6,7.93
57,FeI,5560.21,4.43,85.0,7.66
58,FeI,5618.63,4.21,87.3,7.64
59,FeI,5619.6,4.39,88.0,8.17
60,FeI,5624.02,4.39,95.3,8.11
61,FeI,5633.95,4.99,101.9,7.72
62,FeI,5635.82,4.26,75.7,7.93
63,FeI,5636.7,3.64,65.7,7.71
64,FeI,5638.26,4.22,121.6,7.76
65,FeI,5641.43,4.26,118.9,8.07
66,FeI,5649.99,5.1,70.7,7.86
67,FeI,5651.47,4.47,53.8,7.86
68,FeI,5652.32,4.26,68.2,7.86
69,FeI,5653.87,4.39,80.1,7.93
70,FeI,5655.18,5.06,87.8,7.96
71,FeI,5661.35,4.28,75.5,7.96
72,FeI,5662.52,4.18,135.9,7.71
73,FeI,5679.02,4.65,91.6,7.78
74,FeI,5691.5,4.3,86.1,7.85
75,FeI,5696.09,4.55,50.5,7.7
76,FeI,5698.02,3.64,64.0,7.73
77,FeI,5701.54,2.56,166.6,7.82
78,FeI,5705.46,4.3,83.0,7.72
79,FeI,5731.76,4.26,106.7,7.97
80,FeI,5732.3,4.99,48.3,7.92
81,FeI,5741.85,4.26,72.9,7.76
82,FeI,5742.96,4.18,55.0,8.03
83,FeI,5775.08,4.22,103.8,7.96
84,FeI,5778.45,2.59,93.0,7.85
85,FeI,5784.66,3.4,86.6,7.84
86,FeI,5835.1,4.26,60.3,8.09
87,FeI,5838.37,3.94,72.8,7.94
88,FeI,5849.68,3.69,51.3,7.84
89,FeI,5853.15,1.49,79.7,7.87
90,FeI,5855.08,4.61,57.9,7.68
91,FeI,5858.78,4.22,49.6,7.72
92,FeI,5902.47,4.59,38.5,7.5
93,FeI,5905.67,4.65,94.2,7.68
94,FeI,5927.79,4.65,76.4,7.63
95,FeI,5929.68,4.55,79.3,7.88
96,FeI,5930.18,4.65,129.4,7.78
97,FeI,5934.65,3.93,123.0,7.72
98,FeI,5940.99,4.18,61.0,7.78
99,FeI,6003.01,3.88,129.2,7.81
100,FeI,6027.05,4.08,110.2,7.77
101,FeI,6079.01,4.65,85.4,7.82
102,FeI,6093.64,4.61,71.4,7.87
103,FeI,6094.37,4.65,59.7,8.12
104,FeI,6096.66,3.98,87.9,7.87
105,FeI,6120.25,0.91,82.7,7.92
106,FeI,6151.62,2.18,125.6,7.78
107,FeI,6165.36,4.14,92.6,7.85
108,FeI,6173.33,2.22,149.8,7.78
109,FeI,6187.99,3.94,101.0,7.87
110,FeI,6200.31,2.61,147.7,7.82
111,FeI,6219.28,2.2,176.3,7.61
112,FeI,6226.73,3.88,73.2,7.72
113,FeI,6246.32,3.6,163.0,7.51
114,FeI,6252.56,2.4,207.8,7.54
115,FeI,6265.13,2.18,195.2,7.84
116,FeI,6270.22,2.86,122.8,7.82
117,FeI,6271.28,3.33,85.8,7.84
118,FeI,6315.81,4.08,96.9,7.98
119,FeI,6322.69,2.59,155.2,7.92
120,FeI,6335.33,2.2,189.2,7.43
121,FeI,6336.82,3.69,163.7,7.64
122,FeI,6338.88,4.8,78.3,7.78
123,FeI,6393.6,2.43,236.8,7.49
124,FeI,6411.65,3.65,175.4,7.51
125,FeI,6430.85,2.18,222.9,7.45
126,FeI,6481.87,2.28,159.1,8.01
127,FeI,6496.47,4.8,107.6,7.86
128,FeI,6533.93,4.56,82.7,7.95
129,FeI,6593.87,2.43,173.1,7.85
130,FeI,6597.56,4.8,80.4,7.81
131,FeI,6609.11,2.56,157.9,8.1
132,FeI,6627.54,4.55,80.5,8.12
133,FeI,6699.14,4.59,43.9,7.98
134,FeI,6713.74,4.8,61.4,7.96
135,FeI,6733.15,4.64,67.5,7.87
136,FeI,6739.52,1.56,90.8,7.68
137,FeI,6804.27,4.58,53.8,7.89
138,FeI,6810.26,4.61,96.0,7.86
139,FeII,4993.36,2.81,46.2,7.67
140,FeII,5256.94,2.89,35.9,8.01
141,FeII,5264.81,3.23,47.0,7.65
142,FeII,5325.55,3.22,49.3,7.74
143,FeII,5414.07,3.22,28.5,7.57
144,FeII,5425.26,3.2,46.2,7.7
145,FeII,5534.85,3.25,62.1,7.81
146,FeII,6084.11,3.2,38.2,8.19
147,FeII,6149.26,3.89,43.9,8.11
148,FeII,6432.68,2.89,50.4,7.85
149,FeII,6456.38,3.9,63.8,7.97
