,element,obs_wavelength,obs_ep,obs_ew,abund
0,FeI,4787.83,3.0,101.4,7.14
1,FeI,4788.76,3.24,119.9,7.02
2,FeI,4808.15,3.25,75.5,7.18
3,FeI,4869.46,3.55,77.3,7.31
4,FeI,4875.88,3.33,101.8,6.92
5,FeI,4877.6,3.0,72.7,7.16
6,FeI,4907.73,3.43,109.6,7.08
7,FeI,4962.57,4.18,90.8,7.07
8,FeI,4969.92,4.22,111.3,6.96
9,FeI,4992.79,4.26,30.9,7.36
10,FeI,4999.11,4.19,70.3,7.2
11,FeI,5012.69,4.28,73.7,7.42
12,FeI,5023.19,4.28,78.4,7.3
13,FeI,5058.5,3.64,44.3,7.32
14,FeI,5088.15,4.15,69.6,7.18
15,FeI,5109.65,4.3,100.3,7.14
16,FeI,5115.78,3.57,63.2,7.33
17,FeI,5197.94,4.3,58.4,7.05
18,FeI,5223.18,3.63,73.2,6.69
19,FeI,5228.38,4.22,102.5,7.29
20,FeI,5243.78,4.26,100.0,7.15
21,FeI,5253.02,2.28,76.8,7.06
22,FeI,5253.46,3.28,115.2,6.67
23,FeI,5285.13,4.43,63.3,7.29
24,FeI,5288.52,3.69,104.6,6.99
25,FeI,5293.96,4.14,77.0,7.37
26,FeI,5294.55,3.64,58.1,7.45
27,FeI,5295.31,4.42,63.0,7.31
28,FeI,5300.4,4.59,23.7,6.91
29,FeI,5321.11,4.43,75.9,7.02
30,FeI,5365.4,3.57,118.2,6.57
31,FeI,5373.71,4.47,97.3,7.07
32,FeI,5379.57,3.69,109.9,7.07
33,FeI,5386.33,4.15,72.2,7.2
34,FeI,5389.48,4.42,108.9,6.83
35,FeI,5395.22,4.45,58.0,7.74
36,FeI,5398.28,4.45,104.4,7.01
37,FeI,5412.78,4.43,57.9,7.37
38,FeI,5417.03,4.42,69.5,7.39
39,FeI,5441.34,4.31,69.8,7.32
40,FeI,5461.55,4.45,67.4,7.62
41,FeI,5464.28,4.14,77.9,7.01
42,FeI,5466.4,4.37,119.3,7.16
43,FeI,5470.09,4.45,64.1,7.48
44,FeI,5483.1,4.15,85.1,7.13
45,FeI,5487.15,4.42,93.3,7.6
46,FeI,5491.83,4.19,49.6,7.42
47,FeI,5494.46,4.08,72.2,7.42
48,FeI,5522.45,4.21,78.2,7.13
49,FeI,5539.28,3.64,66.0,7.35
50,FeI,5543.94,4.22,100.0,7.07
51,FeI,5546.51,4.37,101.6,7.46
52,FeI,5552.69,4.95,29.6,7.71
53,FeI,5560.21,4.43,83.5,7.13
54,FeI,5618.63,4.21,86.6,7.08
55,FeI,5619.6,4.39,87.0,7.63
56,FeI,5624.02,4.39,94.2,7.53
57,FeI,5633.95,4.99,100.2,7.24
58,FeI,5635.82,4.26,73.9,7.46
59,FeI,5636.7,3.64,63.9,7.26
60,FeI,5638.26,4.22,119.6,7.1
61,FeI,5641.43,4.26,117.0,7.42
62,FeI,5649.99,5.1,69.2,7.47
63,FeI,5651.47,4.47,52.5,7.52
64,FeI,5652.32,4.26,66.7,7.42
65,FeI,5655.18,5.06,86.5,7.47
66,FeI,5661.35,4.28,74.3,7.47
67,FeI,5679.02,4.65,90.1,7.22
68,FeI,5691.5,4.3,84.8,7.31
69,FeI,5696.09,4.55,48.9,7.38
70,FeI,5698.02,3.64,61.0,7.29
71,FeI,5705.46,4.3,81.6,7.2
72,FeI,5731.76,4.26,105.4,7.35
73,FeI,5732.3,4.99,47.1,7.64
74,FeI,5741.85,4.26,71.2,7.3
75,FeI,5742.96,4.18,53.7,7.68
76,FeI,5775.08,4.22,102.3,7.35
77,FeI,5778.45,2.59,91.4,7.22
78,FeI,5784.66,3.4,85.1,7.26
79,FeI,5835.1,4.26,53.0,7.63
80,FeI,5838.37,3.94,92.9,7.78
81,FeI,5855.08,4.61,30.7,6.89
82,FeI,5927.79,4.65,85.8,7.32
83,FeI,5929.68,4.55,20.4,6.42
84,FeI,5940.99,4.18,64.0,7.47
85,FeI,6003.01,3.88,92.3,6.57
86,FeI,6120.25,0.91,48.4,6.96
87,FeI,6151.62,2.18,63.6,6.16
88,FeI,6165.36,4.14,38.3,6.45
89,FeI,6187.99,3.94,40.1,6.37
90,FeI,6226.73,3.88,23.5,6.48
91,FeI,6270.22,2.86,57.6,6.17
92,FeI,6338.88,4.8,81.8,7.4
93,FeI,6597.56,4.8,43.6,6.83
94,FeI,6627.54,4.55,32.0,6.93
95,FeI,6713.74,4.8,26.8,7.05
96,FeI,6733.15,4.64,35.7,7.01
97,FeI,6739.52,1.56,29.2,6.29
98,FeI,6804.27,4.58,38.4,7.32
99,FeI,6810.26,4.61,70.4,7.01
100,FeII,4993.36,2.81,45.3,7.17
101,FeII,5256.94,2.89,36.0,7.58
102,FeII,5264.81,3.23,47.1,7.16
103,FeII,5325.55,3.22,47.9,7.21
104,FeII,5414.07,3.22,28.1,7.18
105,FeII,5425.26,3.2,45.7,7.2
106,FeII,5534.85,3.25,61.3,7.22
107,FeII,6149.26,3.89,64.6,8.07
108,FeII,6456.38,3.9,47.1,7.1
