#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2021-08-30T22:56:18 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ612d5eb12d2d95	
#INFO	-out.max=unlimited	
#INFO	queryParameters=15	
#-oc.form=dec
#-out.max=unlimited
#-order=I
#-out.src=J/A+A/493/601/table
#-nav=cat:J/A+A/493/601&tab:{J/A+A/493/601/table}&key:source=J/A+A/493/601/table&HTTPPRM:&&-ref=VIZ612d5eb12d2d95&-out.max=unlimited&-out.form=HTML Table&-oc.form=sexa&-order=I&-out=Name&Name=BD+24 1676&-out=Ion&-out=Lambda&-out=loggf&-out=r_loggf&-out=chi&-out=EW&EW=not null&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.src=J/A+A/493/601/table
#-source=J/A+A/493/601/table
#-out=Name
#Name=BD+24 1676
#-out=Ion
#-out=Lambda
#-out=loggf
#-out=r_loggf
#-out=chi
#-out=EW
#EW=not null
#

#RESOURCE=yCat_34930601
#Name: J/A+A/493/601
#Title: Lithium abundances of halo dwarfs (Hosford+, 2009)
#Table	J_A_A_493_601_table:
#Name: J/A+A/493/601/table
#Title: Equivalent widths (tables 6-8 of the paper)
#Column	Name	(a11)	Star name	[ucd=meta.id;meta.main]
#Column	Ion	(A4)	Ion (FeI or FeII)	[ucd=phys.atmol.ionStage]
#Column	Lambda	(F7.2)	Wavelength	[ucd=em.wl]
#Column	loggf	(F5.2)	Oscillator strength	[ucd=phys.atmol.oscStrength]
#Column	r_loggf	(a7)	Reference for loggf (1)	[ucd=meta.ref;pos.frame]
#Column	chi	(F5.2)	Excitation energy value	[ucd=phys.atmol.excitation]
#Column	EW	(F5.1)	? Equivalent width	[ucd=spect.line.eqWidth]
Name|Ion|Lambda|loggf|r_loggf|chi|EW
 | |0.1nm| | |eV|
-----------|----|-------|-----|-------|-----|-----
BD+24 1676 |FeI |3724.38|-0.82|4      | 2.28| 21.2
BD+24 1676 |FeI |3727.62|-0.62|4,5    | 0.96| 75.9
BD+24 1676 |FeI |3743.36|-0.78|4,5    | 0.99| 84.5
BD+24 1676 |FeI |3745.56|-0.77|4      | 0.09|109.0
BD+24 1676 |FeI |3745.90|-1.34|4,5    | 0.12| 75.3
BD+24 1676 |FeI |3758.23|-0.02|4,5    | 0.96| 98.1
BD+24 1676 |FeI |3760.05|-0.81|4,5    | 2.40| 18.0
BD+24 1676 |FeI |3760.53|-1.23|4      | 2.22|  9.8
BD+24 1676 |FeI |3763.79|-0.23|5      | 0.99| 89.7
BD+24 1676 |FeI |3765.54| 0.48|4      | 3.24| 34.1
BD+24 1676 |FeI |3767.19|-0.39|4,5    | 1.01| 80.2
BD+24 1676 |FeI |3786.68|-2.19|2,4,5  | 1.01| 14.7
BD+24 1676 |FeI |3787.88|-0.85|4,5    | 1.01| 70.0
BD+24 1676 |FeI |3789.18|-1.29|4      | 2.73|  6.5
BD+24 1676 |FeI |3790.09|-1.74|2,4,5  | 0.99| 33.8
BD+24 1676 |FeI |3795.00|-0.75|4,5    | 0.99| 68.8
BD+24 1676 |FeI |3799.55|-0.82|4,5    | 0.96| 63.6
BD+24 1676 |FeI |3805.34| 0.31|4      | 3.30| 28.1
BD+24 1676 |FeI |3807.54|-0.99|4      | 2.22| 16.0
BD+24 1676 |FeI |3812.97|-1.03|2,4    | 0.96| 74.0
BD+24 1676 |FeI |3815.84| 0.23|1,4    | 1.48| 94.6
BD+24 1676 |FeI |3816.34|-1.20|4      | 2.20| 10.0
BD+24 1676 |FeI |3820.43| 0.14|4,5    | 0.86|115.2
BD+24 1676 |FeI |3821.18| 0.20|4      | 3.27| 23.7
BD+24 1676 |FeI |3824.44|-1.35|4,5    | 0.00|103.3
BD+24 1676 |FeI |3825.88|-0.03|4,5    | 0.91|102.4
BD+24 1676 |FeI |3827.82| 0.08|1,4,5  | 1.56| 85.0
BD+24 1676 |FeI |3840.44|-0.50|4,5    | 0.99| 79.9
BD+24 1676 |FeI |3841.05|-0.05|2,4    | 1.61| 73.4
BD+24 1676 |FeI |3843.26|-0.24|4      | 3.05| 18.0
BD+24 1676 |FeI |3846.41|-0.47|4      | 3.57|  5.1
BD+24 1676 |FeI |3849.97|-0.87|4,5    | 1.01| 69.3
BD+24 1676 |FeI |3850.82|-1.74|2,4,5  | 0.99| 35.9
BD+24 1676 |FeI |3852.57|-1.19|4      | 2.18| 11.8
BD+24 1676 |FeI |3856.37|-1.28|4,5    | 0.05| 90.8
BD+24 1676 |FeI |3859.21|-0.75|4      | 2.40| 19.9
BD+24 1676 |FeI |3859.91|-0.70|4,5    | 0.00|111.7
BD+24 1676 |FeI |3865.52|-0.97|4,5    | 1.01| 79.3
BD+24 1676 |FeI |3867.22|-0.45|4      | 3.02| 12.5
BD+24 1676 |FeI |3872.50|-0.91|1,4,5  | 0.99| 71.2
BD+24 1676 |FeI |3886.28|-1.07|4,5    | 0.05| 89.6
BD+24 1676 |FeI |3887.05|-1.12|4,5    | 0.91| 55.0
BD+24 1676 |FeI |3895.66|-1.66|2,4,5  | 0.11| 76.1
BD+24 1676 |FeI |3899.71|-1.52|4,5    | 0.09| 81.2
BD+24 1676 |FeI |3902.95|-0.43|2,4,5  | 1.56| 68.5
BD+24 1676 |FeI |3906.48|-2.20|2,4,5  | 0.11| 54.2
BD+24 1676 |FeI |3917.18|-2.15|4,5    | 0.99| 19.2
BD+24 1676 |FeI |3920.26|-1.74|2,4,5  | 0.12| 73.3
BD+24 1676 |FeI |3922.91|-1.64|4,5    | 0.05| 79.4
BD+24 1676 |FeI |3925.94|-0.94|4      | 2.86| 10.4
BD+24 1676 |FeI |3927.92|-1.52|4      | 0.11| 83.5
BD+24 1676 |FeI |3930.30|-1.49|4      | 0.09| 79.4
BD+24 1676 |FeI |3940.88|-2.55|4.5    | 0.96|  8.2
BD+24 1676 |FeI |3942.44|-0.95|4      | 2.84|  7.4
BD+24 1676 |FeI |3948.10|-0.56|4      | 3.24|  7.4
BD+24 1676 |FeI |3966.06|-1.55|2      | 1.61| 11.6
BD+24 1676 |FeI |3983.96|-1.02|4      | 2.73| 10.5
BD+24 1676 |FeI |3997.39|-0.48|4      | 2.73| 21.5
BD+24 1676 |FeI |4005.24|-0.60|4,5    | 1.56| 66.2
BD+24 1676 |FeI |4009.71|-1.25|4      | 2.22| 11.3
BD+24 1676 |FeI |4044.61|-1.22|4      | 2.83|  4.6
BD+24 1676 |FeI |4045.81| 0.28|4,5    | 1.48| 92.8
BD+24 1676 |FeI |4062.44|-0.86|4      | 2.84|  8.5
BD+24 1676 |FeI |4063.59| 0.06|4      | 1.56| 91.2
BD+24 1676 |FeI |4066.98|-1.02|6      | 2.83|  5.6
BD+24 1676 |FeI |4067.98|-0.47|4      | 3.21| 11.0
BD+24 1676 |FeI |4071.74|-0.02|4,5    | 1.61| 83.5
BD+24 1676 |FeI |4076.63|-0.53|4      | 3.21| 11.4
BD+24 1676 |FeI |4084.49|-0.71|4      | 3.33|  6.1
BD+24 1676 |FeI |4107.49|-0.88|4      | 2.83|  8.7
BD+24 1676 |FeI |4132.06|-0.68|4      | 1.61| 61.1
BD+24 1676 |FeI |4132.90|-1.01|4      | 2.84|  7.4
BD+24 1676 |FeI |4134.68|-0.65|4      | 2.83| 15.6
BD+24 1676 |FeI |4137.00|-0.45|4      | 3.41|  6.7
BD+24 1676 |FeI |4143.41|-0.20|4      | 3.05| 22.1
BD+24 1676 |FeI |4143.87|-0.51|4      | 1.56| 68.0
BD+24 1676 |FeI |4147.67|-2.09|4,5    | 1.48|  9.3
BD+24 1676 |FeI |4153.90|-0.32|4      | 3.40| 10.9
BD+24 1676 |FeI |4154.50|-0.69|4      | 2.83| 13.1
BD+24 1676 |FeI |4154.81|-0.40|4      | 3.37|  7.4
BD+24 1676 |FeI |4156.80|-0.81|4      | 2.83| 14.5
BD+24 1676 |FeI |4174.91|-2.95|4,5    | 0.91|  4.7
BD+24 1676 |FeI |4175.64|-0.83|4      | 2.84|  9.6
BD+24 1676 |FeI |4176.57|-0.68|6      | 3.37|  6.5
BD+24 1676 |FeI |4181.76|-0.37|4      | 2.83| 24.3
BD+24 1676 |FeI |4187.04|-0.53|4,5    | 2.45| 30.6
BD+24 1676 |FeI |4191.43|-0.67|4      | 2.47| 22.6
BD+24 1676 |FeI |4195.33|-0.49|4      | 3.33|  7.0
BD+24 1676 |FeI |4198.31|-0.67|4,5    | 2.40| 33.9
BD+24 1676 |FeI |4199.09| 0.16|4      | 3.05| 34.5
BD+24 1676 |FeI |4202.03|-0.70|4,5    | 1.48| 65.7
BD+24 1676 |FeI |4210.34|-0.93|4      | 2.48| 18.5
BD+24 1676 |FeI |4216.18|-3.36|4,5    | 0.00| 13.5
BD+24 1676 |FeI |4219.36| 0.00|4      | 3.57| 15.5
BD+24 1676 |FeI |4222.21|-0.94|4,5    | 2.45| 15.8
BD+24 1676 |FeI |4224.17|-0.51|4      | 3.37|  9.9
BD+24 1676 |FeI |4227.43| 0.27|4      | 3.33| 31.5
BD+24 1676 |FeI |4233.60|-0.59|4,5    | 2.48| 29.5
BD+24 1676 |FeI |4235.94|-0.33|4,5    | 2.43| 41.0
BD+24 1676 |FeI |4238.81|-0.23|4      | 3.40| 10.5
BD+24 1676 |FeI |4282.40|-0.78|4      | 2.18| 29.0
BD+24 1676 |FeI |4294.13|-1.04|2,4    | 1.48| 64.3
BD+24 1676 |FeI |4299.23|-0.38|1,4    | 2.43| 39.9
BD+24 1676 |FeI |4307.90|-0.07|4      | 1.56|108.2
BD+24 1676 |FeI |4325.76| 0.01|4      | 1.61| 86.1
BD+24 1676 |FeI |4337.05|-1.70|4,5    | 1.56| 14.9
BD+24 1676 |FeI |4369.77|-0.80|4      | 3.05|  6.2
BD+24 1676 |FeI |4375.93|-3.02|4,5    | 0.00| 24.2
BD+24 1676 |FeI |4383.54| 0.20|4,5    | 1.48|101.7
BD+24 1676 |FeI |4404.75|-0.13|2,4,5  | 1.56| 85.0
BD+24 1676 |FeI |4408.41|-1.78|4      | 2.20|  5.5
BD+24 1676 |FeI |4415.12|-0.62|4,5    | 1.61| 66.4
BD+24 1676 |FeI |4427.31|-2.92|4      | 0.05| 24.0
BD+24 1676 |FeI |4442.34|-1.24|4,5    | 2.20| 14.8
BD+24 1676 |FeI |4443.19|-1.04|4      | 2.86|  9.1
BD+24 1676 |FeI |4447.72|-1.34|4,5    | 2.22| 10.2
BD+24 1676 |FeI |4459.12|-1.31|4,5    | 2.18| 20.2
BD+24 1676 |FeI |4461.65|-3.20|4,5    | 0.09| 10.9
BD+24 1676 |FeI |4466.55|-0.60|4      | 2.83| 17.8
BD+24 1676 |FeI |4494.56|-1.14|4,5    | 2.20| 17.8
BD+24 1676 |FeI |4528.61|-0.85|4,5    | 2.18| 32.4
BD+24 1676 |FeI |4531.15|-2.13|4,5    | 1.48|  9.2
BD+24 1676 |FeI |4592.65|-2.46|4      | 1.56|  3.4
BD+24 1676 |FeI |4602.94|-2.21|4      | 1.48|  7.7
BD+24 1676 |FeI |4707.28|-1.08|3      | 3.24|  6.0
BD+24 1676 |FeI |4736.77|-0.75|4      | 3.21|  7.0
BD+24 1676 |FeII|4178.86|-2.54|9      | 2.58| 11.9
BD+24 1676 |FeII|4233.17|-1.87|11     | 2.58| 35.1
BD+24 1676 |FeII|4303.17|-2.56|8,9    | 2.70|  9.2
BD+24 1676 |FeII|4385.38|-2.57|10     | 2.78|  7.3
BD+24 1676 |FeII|4416.82|-2.60|10     | 2.78|  7.2
BD+24 1676 |FeII|4508.28|-2.39|3      | 2.86| 11.3
BD+24 1676 |FeII|4515.33|-2.48|3      | 2.84|  9.0
BD+24 1676 |FeII|4520.22|-2.61|3      | 2.81|  9.1
BD+24 1676 |FeII|4555.89|-2.37|10     | 2.83| 11.3
BD+24 1676 |FeII|4583.83|-1.91|3      | 2.81| 29.7
BD+24 1676 |FeII|4923.92|-1.36|3,9,10 | 2.89| 50.3

