#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2021-08-30T22:57:57 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ612d5eb12d2d95	
#INFO	-out.max=unlimited	
#INFO	queryParameters=15	
#-oc.form=dec
#-out.max=unlimited
#-order=I
#-out.src=J/A+A/493/601/table
#-nav=cat:J/A+A/493/601&tab:{J/A+A/493/601/table}&key:source=J/A+A/493/601/table&HTTPPRM:&&-ref=VIZ612d5eb12d2d95&-out.max=unlimited&-out.form=HTML Table&-oc.form=sexa&-order=I&-out=Name&Name=CD-33 1173&-out=Ion&-out=Lambda&-out=loggf&-out=r_loggf&-out=chi&-out=EW&EW=not null&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.src=J/A+A/493/601/table
#-source=J/A+A/493/601/table
#-out=Name
#Name=CD-33 1173
#-out=Ion
#-out=Lambda
#-out=loggf
#-out=r_loggf
#-out=chi
#-out=EW
#EW=not null
#

#RESOURCE=yCat_34930601
#Name: J/A+A/493/601
#Title: Lithium abundances of halo dwarfs (Hosford+, 2009)
#Table	J_A_A_493_601_table:
#Name: J/A+A/493/601/table
#Title: Equivalent widths (tables 6-8 of the paper)
#Column	Name	(a11)	Star name	[ucd=meta.id;meta.main]
#Column	Ion	(A4)	Ion (FeI or FeII)	[ucd=phys.atmol.ionStage]
#Column	Lambda	(F7.2)	Wavelength	[ucd=em.wl]
#Column	loggf	(F5.2)	Oscillator strength	[ucd=phys.atmol.oscStrength]
#Column	r_loggf	(a7)	Reference for loggf (1)	[ucd=meta.ref;pos.frame]
#Column	chi	(F5.2)	Excitation energy value	[ucd=phys.atmol.excitation]
#Column	EW	(F5.1)	? Equivalent width	[ucd=spect.line.eqWidth]
Name|Ion|Lambda|loggf|r_loggf|chi|EW
 | |0.1nm| | |eV|
-----------|----|-------|-----|-------|-----|-----
CD-33 1173 |FeI |3719.93|-0.43|4      | 0.00| 99.7
CD-33 1173 |FeI |3727.62|-0.62|4,5    | 0.96| 67.9
CD-33 1173 |FeI |3743.36|-0.78|4,5    | 0.99| 56.2
CD-33 1173 |FeI |3745.56|-0.77|4      | 0.09| 93.0
CD-33 1173 |FeI |3745.90|-1.34|4,5    | 0.12| 73.9
CD-33 1173 |FeI |3748.26|-1.01|4,5    | 0.11| 74.8
CD-33 1173 |FeI |3758.23|-0.02|4,5    | 0.96| 85.2
CD-33 1173 |FeI |3765.54| 0.48|4      | 3.24| 18.4
CD-33 1173 |FeI |3767.19|-0.39|4,5    | 1.01| 61.5
CD-33 1173 |FeI |3787.88|-0.85|4,5    | 1.01| 47.9
CD-33 1173 |FeI |3790.09|-1.74|2,4,5  | 0.99| 13.2
CD-33 1173 |FeI |3799.55|-0.82|4,5    | 0.96| 57.2
CD-33 1173 |FeI |3805.34| 0.31|4      | 3.30| 15.3
CD-33 1173 |FeI |3812.97|-1.03|2,4    | 0.96| 48.1
CD-33 1173 |FeI |3815.84| 0.23|1,4    | 1.48| 77.2
CD-33 1173 |FeI |3820.43| 0.14|4,5    | 0.86| 98.4
CD-33 1173 |FeI |3824.44|-1.35|4,5    | 0.00| 75.0
CD-33 1173 |FeI |3825.88|-0.03|4,5    | 0.91| 84.4
CD-33 1173 |FeI |3827.82| 0.08|1,4,5  | 1.56| 64.8
CD-33 1173 |FeI |3840.44|-0.50|4,5    | 0.99| 61.6
CD-33 1173 |FeI |3841.05|-0.05|2,4    | 1.61| 60.5
CD-33 1173 |FeI |3846.80|-0.02|4      | 3.25| 11.9
CD-33 1173 |FeI |3849.97|-0.87|4,5    | 1.01| 52.4
CD-33 1173 |FeI |3856.37|-1.28|4,5    | 0.05| 74.2
CD-33 1173 |FeI |3859.91|-0.70|4,5    | 0.00| 99.2
CD-33 1173 |FeI |3865.52|-0.97|4,5    | 1.01| 46.3
CD-33 1173 |FeI |3872.50|-0.91|1,4,5  | 0.99| 51.2
CD-33 1173 |FeI |3878.02|-0.91|4,5    | 0.96| 48.8
CD-33 1173 |FeI |3878.57|-1.36|2,4    | 0.09| 68.2
CD-33 1173 |FeI |3886.28|-1.07|4,5    | 0.05| 86.9
CD-33 1173 |FeI |3895.66|-1.66|2,4,5  | 0.11| 58.5
CD-33 1173 |FeI |3899.71|-1.52|4,5    | 0.09| 61.9
CD-33 1173 |FeI |3902.95|-0.43|2,4,5  | 1.56| 46.5
CD-33 1173 |FeI |3906.48|-2.20|2,4,5  | 0.11| 25.0
CD-33 1173 |FeI |3920.26|-1.74|2,4,5  | 0.12| 49.5
CD-33 1173 |FeI |3922.91|-1.64|4,5    | 0.05| 58.4
CD-33 1173 |FeI |3927.92|-1.52|4      | 0.11| 69.4
CD-33 1173 |FeI |3930.30|-1.49|4      | 0.09| 71.5
CD-33 1173 |FeI |3997.39|-0.48|4      | 2.73| 11.4
CD-33 1173 |FeI |4005.24|-0.60|4,5    | 1.56| 40.5
CD-33 1173 |FeI |4021.87|-0.73|4      | 2.76|  7.4
CD-33 1173 |FeI |4045.81| 0.28|4,5    | 1.48| 81.2
CD-33 1173 |FeI |4063.59| 0.06|4      | 1.56| 72.2
CD-33 1173 |FeI |4071.74|-0.02|4,5    | 1.61| 65.0
CD-33 1173 |FeI |4107.49|-0.88|4      | 2.83|  6.7
CD-33 1173 |FeI |4132.06|-0.68|4      | 1.61| 36.9
CD-33 1173 |FeI |4134.68|-0.65|4      | 2.83| 10.2
CD-33 1173 |FeI |4143.41|-0.20|4      | 3.05| 12.8
CD-33 1173 |FeI |4143.87|-0.51|4      | 1.56| 52.5
CD-33 1173 |FeI |4181.76|-0.37|4      | 2.83| 11.0
CD-33 1173 |FeI |4191.43|-0.67|4      | 2.47|  8.0
CD-33 1173 |FeI |4198.31|-0.67|4,5    | 2.40| 11.5
CD-33 1173 |FeI |4199.09| 0.16|4      | 3.05| 17.8
CD-33 1173 |FeI |4202.03|-0.70|4,5    | 1.48| 41.2
CD-33 1173 |FeI |4216.18|-3.36|4,5    | 0.00|  5.3
CD-33 1173 |FeI |4233.60|-0.59|4,5    | 2.48| 10.4
CD-33 1173 |FeI |4235.94|-0.33|4,5    | 2.43| 20.0
CD-33 1173 |FeI |4282.40|-0.78|4      | 2.18|  8.9
CD-33 1173 |FeI |4294.13|-1.04|2,4    | 1.48| 37.0
CD-33 1173 |FeI |4299.23|-0.38|1,4    | 2.43| 13.9
CD-33 1173 |FeI |4307.90|-0.07|4      | 1.56| 74.6
CD-33 1173 |FeI |4325.76| 0.01|4      | 1.61| 63.8
CD-33 1173 |FeI |4375.93|-3.02|4,5    | 0.00|  7.9
CD-33 1173 |FeI |4383.54| 0.20|4,5    | 1.48| 81.4
CD-33 1173 |FeI |4404.75|-0.13|2,4,5  | 1.56| 62.8
CD-33 1173 |FeI |4415.12|-0.62|4,5    | 1.61| 40.8
CD-33 1173 |FeI |4466.55|-0.60|4      | 2.83|  7.9
CD-33 1173 |FeI |4494.56|-1.14|4,5    | 2.20|  7.1
CD-33 1173 |FeI |4528.61|-0.85|4,5    | 2.18| 12.3
CD-33 1173 |FeII|4178.86|-2.54|9      | 2.58|  4.3
CD-33 1173 |FeII|4233.17|-1.87|11     | 2.58| 14.2
CD-33 1173 |FeII|4522.63|-2.14|9      | 2.84|  6.2
CD-33 1173 |FeII|4583.83|-1.91|3      | 2.81| 12.5

