,obs_wavelength,element,obs_ep,obs_ew
0,4114.44,FeI,2.83,40.4
1,4132.9,FeI,2.84,53.54
2,4147.67,FeI,1.48,88.07
3,4157.78,FeI,3.42,48.48
4,4184.89,FeI,2.83,58.83
5,4187.04,FeI,2.45,96.26
6,4222.21,FeI,2.45,83.87
7,4238.81,FeI,3.4,56.73
8,4388.41,FeI,3.6,27.66
9,4430.61,FeI,2.22,65.58
10,4447.72,FeI,2.22,85.02
11,4489.74,FeI,0.12,91.98
12,4494.56,FeI,2.2,95.85
13,4602.0,FeI,1.61,34.46
14,4602.94,FeI,1.48,92.11
15,4647.43,FeI,2.95,37.53
16,4871.32,FeI,2.87,88.22
17,4872.14,FeI,2.88,81.07
18,4890.76,FeI,2.88,89.52
19,4891.49,FeI,2.85,103.16
20,4903.31,FeI,2.88,65.26
21,4918.99,FeI,2.87,92.9
22,4924.77,FeI,2.28,41.75
23,4938.81,FeI,2.88,55.02
24,4939.69,FeI,0.86,82.51
25,4966.09,FeI,3.33,43.0
26,4994.13,FeI,0.92,92.55
27,5014.94,FeI,3.94,31.51
28,5044.21,FeI,2.85,16.15
29,5049.82,FeI,2.28,84.98
30,5051.64,FeI,0.92,106.66
31,5068.77,FeI,2.94,53.02
32,5083.34,FeI,0.96,96.96
33,5150.84,FeI,0.99,86.07
34,5166.28,FeI,0.0,101.07
35,5171.6,FeI,1.48,117.54
36,5191.45,FeI,3.04,75.03
37,5192.34,FeI,3.0,77.12
38,5217.39,FeI,3.21,35.24
39,5225.53,FeI,0.11,58.99
40,5232.94,FeI,2.94,101.96
41,5247.05,FeI,0.09,49.97
42,5253.46,FeI,3.28,11.18
43,5263.31,FeI,3.27,40.18
44,5266.56,FeI,3.0,84.74
45,5281.79,FeI,3.04,58.8
46,5283.62,FeI,3.24,63.86
47,5302.3,FeI,3.28,47.81
48,5307.36,FeI,1.61,47.8
49,5324.18,FeI,3.21,84.31
50,5332.9,FeI,1.56,59.02
51,5339.93,FeI,3.27,54.24
52,5364.87,FeI,4.45,27.13
53,5367.47,FeI,4.42,34.06
54,5369.96,FeI,4.37,38.03
55,5371.49,FeI,0.96,156.23
56,5383.37,FeI,4.31,47.85
57,5397.13,FeI,0.92,141.71
58,5405.77,FeI,0.99,144.78
59,5410.91,FeI,4.47,28.5
60,5415.2,FeI,4.39,44.38
61,5429.7,FeI,0.96,149.6
62,5434.52,FeI,1.01,133.77
63,5569.62,FeI,3.42,51.12
64,5572.84,FeI,3.4,63.04
65,5586.76,FeI,3.37,74.54
66,5624.54,FeI,3.42,38.94
67,5701.55,FeI,2.56,23.58
68,6065.48,FeI,2.61,60.58
69,6200.31,FeI,2.61,15.92
70,6219.28,FeI,2.2,40.91
71,6230.72,FeI,2.56,81.24
72,6246.32,FeI,3.6,28.12
73,6252.56,FeI,2.4,69.26
74,6265.13,FeI,2.18,37.22
75,6301.5,FeI,3.65,41.96
76,6322.69,FeI,2.59,21.53
77,6335.33,FeI,2.2,52.82
78,6344.15,FeI,2.43,10.11
79,6355.03,FeI,2.84,11.21
80,6358.7,FeI,0.86,28.61
81,6393.6,FeI,2.43,75.16
82,6411.65,FeI,3.65,34.0
83,6421.35,FeI,2.28,60.75
84,6430.85,FeI,2.18,70.61
85,6481.87,FeI,2.28,12.5
86,6494.98,FeI,2.4,92.84
87,6498.94,FeI,0.96,19.68
88,6592.91,FeI,2.73,55.47
89,6593.87,FeI,2.43,27.72
90,6677.99,FeI,2.69,64.85
91,6750.15,FeI,2.42,22.91
92,4178.862,FeII,2.58,63.1
93,4491.405,FeII,2.86,40.98
94,4508.288,FeII,2.86,60.52
95,4541.524,FeII,2.86,30.03
96,4576.34,FeII,2.84,31.53
97,4582.835,FeII,2.84,21.84
98,4923.927,FeII,2.89,108.84
99,5197.577,FeII,3.23,46.77
100,5234.625,FeII,3.22,51.36
101,5264.812,FeII,3.23,12.5
102,5325.553,FeII,3.22,10.72
103,5534.847,FeII,3.25,21.63
104,6247.557,FeII,3.89,14.26
105,6432.68,FeII,2.89,11.85
106,6516.08,FeII,2.89,19.36
