,obs_wavelength,element,obs_ep,obs_ew
0,4114.44,FeI,2.83,35.27
1,4132.9,FeI,2.84,50.03
2,4147.67,FeI,1.48,55.55
3,4157.78,FeI,3.42,50.44
4,4184.89,FeI,2.83,54.25
5,4187.04,FeI,2.45,83.79
6,4216.18,FeI,0.0,66.39
7,4217.55,FeI,3.43,46.23
8,4233.6,FeI,2.48,80.74
9,4238.81,FeI,3.4,58.83
10,4250.12,FeI,2.47,92.79
11,4282.4,FeI,2.18,73.72
12,4375.93,FeI,0.0,79.4
13,4388.41,FeI,3.6,34.09
14,4430.61,FeI,2.22,46.73
15,4447.72,FeI,2.22,65.18
16,4461.65,FeI,0.09,68.5
17,4489.74,FeI,0.12,36.94
18,4494.56,FeI,2.2,71.74
19,4602.0,FeI,1.61,12.36
20,4602.94,FeI,1.48,55.94
21,4788.76,FeI,3.24,9.22
22,4800.65,FeI,4.14,5.61
23,4871.32,FeI,2.87,78.33
24,4890.76,FeI,2.88,79.01
25,4891.49,FeI,2.85,92.27
26,4903.31,FeI,2.88,55.8
27,4918.99,FeI,2.87,83.8
28,4924.77,FeI,2.28,24.82
29,4938.81,FeI,2.88,46.95
30,4939.69,FeI,0.86,33.64
31,4966.09,FeI,3.33,41.19
32,4994.13,FeI,0.92,44.12
33,5014.94,FeI,3.94,39.49
34,5044.21,FeI,2.85,11.08
35,5049.82,FeI,2.28,61.98
36,5051.64,FeI,0.92,58.94
37,5068.77,FeI,2.94,44.68
38,5083.34,FeI,0.96,48.09
39,5127.36,FeI,0.92,34.06
40,5150.84,FeI,0.99,38.67
41,5166.28,FeI,0.0,35.51
42,5187.91,FeI,4.14,4.95
43,5191.45,FeI,3.04,66.56
44,5192.34,FeI,3.0,70.99
45,5194.94,FeI,1.56,60.65
46,5198.71,FeI,2.22,29.84
47,5202.34,FeI,2.18,53.4
48,5216.27,FeI,1.61,55.28
49,5217.39,FeI,3.21,31.75
50,5225.53,FeI,0.11,9.94
51,5232.94,FeI,2.94,93.59
52,5247.05,FeI,0.09,7.96
53,5263.31,FeI,3.27,38.7
54,5266.56,FeI,3.0,75.92
55,5281.79,FeI,3.04,50.66
56,5283.62,FeI,3.24,60.7
57,5302.3,FeI,3.28,44.82
58,5322.04,FeI,2.28,6.79
59,5324.18,FeI,3.21,79.94
60,5501.47,FeI,0.96,47.08
61,5506.78,FeI,0.99,57.11
62,5569.62,FeI,3.42,50.51
63,5586.76,FeI,3.37,73.03
64,5618.63,FeI,4.21,3.98
65,5624.54,FeI,3.42,37.95
66,5662.52,FeI,4.18,20.28
67,5686.53,FeI,4.55,9.61
68,5701.55,FeI,2.56,14.48
69,5753.12,FeI,4.26,14.08
70,5775.08,FeI,4.22,5.98
71,5816.37,FeI,4.55,8.03
72,6136.61,FeI,2.45,57.02
73,6137.69,FeI,2.59,50.78
74,6200.31,FeI,2.61,9.09
75,6219.28,FeI,2.2,21.37
76,6230.72,FeI,2.56,59.55
77,6246.32,FeI,3.6,29.34
78,6252.56,FeI,2.4,46.79
79,6265.13,FeI,2.18,18.23
80,6322.69,FeI,2.59,10.76
81,6335.33,FeI,2.2,28.82
82,6344.15,FeI,2.43,4.95
83,6358.7,FeI,0.86,7.26
84,6393.6,FeI,2.43,50.9
85,6411.65,FeI,3.65,37.49
86,6421.35,FeI,2.28,36.98
87,6430.85,FeI,2.18,41.84
88,6494.98,FeI,2.4,66.7
89,6592.91,FeI,2.73,37.36
90,6593.87,FeI,2.43,16.21
91,6609.11,FeI,2.56,5.62
92,6677.99,FeI,2.69,48.67
93,6750.15,FeI,2.42,11.79
94,4178.862,FeII,2.58,48.91
95,4491.405,FeII,2.86,31.08
96,4508.288,FeII,2.86,48.51
97,4520.224,FeII,2.81,39.69
98,4541.524,FeII,2.86,22.13
99,4576.34,FeII,2.84,22.3
100,4582.835,FeII,2.84,14.65
101,4923.927,FeII,2.89,90.03
102,4993.358,FeII,2.81,6.94
103,5197.577,FeII,3.23,39.31
104,5234.625,FeII,3.22,43.52
105,5264.812,FeII,3.23,9.58
106,5325.553,FeII,3.22,9.26
107,5534.847,FeII,3.25,18.54
108,6247.557,FeII,3.89,14.84
109,6416.919,FeII,3.89,7.26
110,6432.68,FeII,2.89,7.09
111,6516.08,FeII,2.89,12.9
