,obs_wavelength,element,obs_ep,obs_ew
0,4157.78,FeI,3.42,65.03
1,4388.41,FeI,3.6,35.4
2,4602.0,FeI,1.61,62.82
3,4602.94,FeI,1.48,126.06
4,4647.43,FeI,2.95,57.75
5,4788.76,FeI,3.24,15.7
6,4872.14,FeI,2.88,102.42
7,4890.76,FeI,2.88,114.29
8,4891.49,FeI,2.85,126.49
9,4903.31,FeI,2.88,87.89
10,4924.77,FeI,2.28,67.33
11,4966.09,FeI,3.33,60.04
12,4994.13,FeI,0.92,133.52
13,5014.94,FeI,3.94,40.16
14,5044.21,FeI,2.85,26.69
15,5049.82,FeI,2.28,114.23
16,5051.64,FeI,0.92,151.1
17,5068.77,FeI,2.94,72.97
18,5083.34,FeI,0.96,136.72
19,5150.84,FeI,0.99,126.62
20,5166.28,FeI,0.0,154.46
21,5171.6,FeI,1.48,154.25
22,5191.45,FeI,3.04,101.05
23,5198.71,FeI,2.22,80.06
24,5202.34,FeI,2.18,106.19
25,5216.27,FeI,1.61,127.1
26,5217.39,FeI,3.21,55.37
27,5225.53,FeI,0.11,110.0
28,5232.94,FeI,2.94,130.58
29,5253.46,FeI,3.28,21.56
30,5263.31,FeI,3.27,58.52
31,5266.56,FeI,3.0,109.48
32,5281.79,FeI,3.04,80.69
33,5307.36,FeI,1.61,83.15
34,5322.04,FeI,2.28,28.1
35,5324.18,FeI,3.21,109.59
36,5501.47,FeI,0.96,143.19
37,5506.78,FeI,0.99,151.69
38,5569.62,FeI,3.42,72.38
39,5572.84,FeI,3.4,86.8
40,5586.76,FeI,3.37,99.74
41,5624.54,FeI,3.42,57.97
42,5686.53,FeI,4.55,6.64
43,5701.55,FeI,2.56,46.57
44,5753.12,FeI,4.26,12.47
45,5775.08,FeI,4.22,4.92
46,5816.37,FeI,4.55,4.84
47,6027.05,FeI,4.08,6.66
48,6173.34,FeI,2.22,39.51
49,6200.31,FeI,2.61,33.93
50,6219.28,FeI,2.2,73.1
51,6230.72,FeI,2.56,117.58
52,6246.32,FeI,3.6,44.41
53,6252.56,FeI,2.4,103.36
54,6265.13,FeI,2.18,70.12
55,6301.5,FeI,3.65,42.89
56,6311.5,FeI,2.83,19.24
57,6322.69,FeI,2.59,36.26
58,6335.33,FeI,2.2,87.37
59,6344.15,FeI,2.43,22.86
60,6355.03,FeI,2.84,23.16
61,6358.7,FeI,0.86,70.17
62,6393.6,FeI,2.43,109.39
63,6411.65,FeI,3.65,52.7
64,6421.35,FeI,2.28,97.7
65,6430.85,FeI,2.18,107.91
66,6494.98,FeI,2.4,131.32
67,6592.91,FeI,2.73,84.96
68,6609.11,FeI,2.56,25.27
69,6677.99,FeI,2.69,98.87
70,6750.15,FeI,2.42,43.76
71,4923.927,FeII,2.89,125.13
72,5264.812,FeII,3.23,17.3
73,5325.553,FeII,3.22,13.67
74,6149.258,FeII,3.89,6.99
75,6238.392,FeII,3.89,9.35
76,6247.557,FeII,3.89,17.89
77,6432.68,FeII,2.89,16.42
78,6516.08,FeII,2.89,25.93
