,obs_wavelength,element,obs_ep,obs_ew
0,4447.72,FeI,2.22,109.66
1,4602.0,FeI,1.61,51.3
2,4602.94,FeI,1.48,91.65
3,4788.76,FeI,3.24,44.35
4,4924.77,FeI,2.28,67.88
5,4962.57,FeI,4.18,28.74
6,4994.13,FeI,0.92,82.6
7,5014.94,FeI,3.94,80.01
8,5044.21,FeI,2.85,49.69
9,5049.82,FeI,2.28,104.02
10,5083.34,FeI,0.96,84.0
11,5127.36,FeI,0.92,73.64
12,5150.84,FeI,0.99,83.77
13,5187.91,FeI,4.14,29.67
14,5198.71,FeI,2.22,73.97
15,5202.34,FeI,2.18,118.43
16,5217.39,FeI,3.21,79.3
17,5225.53,FeI,0.11,48.59
18,5253.46,FeI,3.28,51.0
19,5307.36,FeI,1.61,64.9
20,5321.11,FeI,4.43,19.09
21,5322.04,FeI,2.28,36.45
22,5501.47,FeI,0.96,89.35
23,5506.78,FeI,0.99,93.72
24,5618.63,FeI,4.21,26.4
25,5624.54,FeI,3.42,88.5
26,5662.52,FeI,4.18,62.83
27,5701.55,FeI,2.56,58.09
28,5753.12,FeI,4.26,50.33
29,5775.08,FeI,4.22,32.94
30,6137.69,FeI,2.59,95.49
31,6151.62,FeI,2.18,25.33
32,6165.36,FeI,4.14,21.53
33,6173.34,FeI,2.22,43.76
34,6200.31,FeI,2.61,47.2
35,6219.28,FeI,2.2,65.29
36,6246.32,FeI,3.6,80.32
37,6252.56,FeI,2.4,89.57
38,6265.13,FeI,2.18,61.64
39,6297.79,FeI,2.22,49.76
40,6301.5,FeI,3.65,72.39
41,6322.69,FeI,2.59,49.69
42,6335.33,FeI,2.2,72.94
43,6344.15,FeI,2.43,32.86
44,6355.03,FeI,2.84,43.09
45,6358.7,FeI,0.86,47.55
46,6393.6,FeI,2.43,95.99
47,6411.65,FeI,3.65,88.38
48,6421.35,FeI,2.28,84.58
49,6430.85,FeI,2.18,84.05
50,6481.87,FeI,2.28,37.66
51,6498.94,FeI,0.96,22.75
52,6593.87,FeI,2.43,58.79
53,6609.11,FeI,2.56,37.45
54,6677.99,FeI,2.69,92.14
55,6750.15,FeI,2.42,50.12
56,4508.288,FeII,2.86,71.43
57,4576.34,FeII,2.84,48.32
58,4582.835,FeII,2.84,40.42
59,4923.927,FeII,2.89,119.29
60,5197.577,FeII,3.23,65.45
61,5234.625,FeII,3.22,70.26
62,6084.111,FeII,3.2,11.5
63,6149.258,FeII,3.89,23.03
64,6238.392,FeII,3.89,29.3
65,6247.557,FeII,3.89,38.55
66,6416.919,FeII,3.89,25.77
67,6432.68,FeII,2.89,26.76
68,6516.08,FeII,2.89,39.58
