,obs_wavelength,element,obs_ep,obs_ew
0,4222.21,FeI,2.45,99.28
1,4447.72,FeI,2.22,104.87
2,4602.0,FeI,1.61,55.9
3,4602.94,FeI,1.48,96.73
4,4647.43,FeI,2.95,66.07
5,4788.76,FeI,3.24,35.1
6,4800.65,FeI,4.14,19.4
7,4871.32,FeI,2.87,112.74
8,4890.76,FeI,2.88,114.53
9,4891.49,FeI,2.85,126.32
10,4903.31,FeI,2.88,92.49
11,4924.77,FeI,2.28,68.47
12,4966.09,FeI,3.33,73.97
13,4994.13,FeI,0.92,93.76
14,5014.94,FeI,3.94,64.72
15,5044.21,FeI,2.85,42.3
16,5068.77,FeI,2.94,78.85
17,5083.34,FeI,0.96,96.92
18,5150.84,FeI,0.99,92.98
19,5166.28,FeI,0.0,97.58
20,5187.91,FeI,4.14,15.65
21,5198.71,FeI,2.22,75.01
22,5216.27,FeI,1.61,97.79
23,5217.39,FeI,3.21,68.19
24,5225.53,FeI,0.11,67.85
25,5232.94,FeI,2.94,127.07
26,5253.46,FeI,3.28,40.04
27,5263.31,FeI,3.27,73.0
28,5266.56,FeI,3.0,110.5
29,5281.79,FeI,3.04,88.11
30,5302.3,FeI,3.28,77.95
31,5307.36,FeI,1.61,68.78
32,5321.11,FeI,4.43,8.06
33,5322.04,FeI,2.28,34.15
34,5324.18,FeI,3.21,111.74
35,5339.93,FeI,3.27,83.56
36,5367.47,FeI,4.42,69.75
37,5383.37,FeI,4.31,82.92
38,5415.2,FeI,4.39,79.64
39,5569.62,FeI,3.42,84.12
40,5586.76,FeI,3.37,104.89
41,5618.63,FeI,4.21,13.65
42,5624.54,FeI,3.42,74.16
43,5662.52,FeI,4.18,44.86
44,5701.55,FeI,2.56,54.56
45,5753.12,FeI,4.26,32.7
46,5775.08,FeI,4.22,17.94
47,5816.37,FeI,4.55,21.19
48,6027.05,FeI,4.08,24.5
49,6065.48,FeI,2.61,85.02
50,6151.62,FeI,2.18,25.88
51,6165.36,FeI,4.14,10.99
52,6173.34,FeI,2.22,42.13
53,6200.31,FeI,2.61,42.71
54,6219.28,FeI,2.2,67.84
55,6230.72,FeI,2.56,101.14
56,6246.32,FeI,3.6,64.59
57,6252.56,FeI,2.4,89.95
58,6265.13,FeI,2.18,63.63
59,6297.79,FeI,2.22,49.99
60,6301.5,FeI,3.65,64.42
61,6322.69,FeI,2.59,49.55
62,6335.33,FeI,2.2,75.21
63,6344.15,FeI,2.43,29.36
64,6355.03,FeI,2.84,35.42
65,6358.7,FeI,0.86,50.94
66,6393.6,FeI,2.43,94.78
67,6411.65,FeI,3.65,72.6
68,6421.35,FeI,2.28,83.48
69,6430.85,FeI,2.18,87.68
70,6481.87,FeI,2.28,35.81
71,6498.94,FeI,0.96,27.9
72,6592.91,FeI,2.73,78.82
73,6593.87,FeI,2.43,56.66
74,6609.11,FeI,2.56,33.2
75,6677.99,FeI,2.69,89.03
76,6750.15,FeI,2.42,47.55
77,4491.405,FeII,2.86,55.88
78,4508.288,FeII,2.86,71.84
79,4576.34,FeII,2.84,48.24
80,4582.835,FeII,2.84,37.54
81,4923.927,FeII,2.89,115.75
82,4993.358,FeII,2.81,21.61
83,5132.669,FeII,2.81,9.48
84,5197.577,FeII,3.23,59.55
85,5234.625,FeII,3.22,66.43
86,5325.553,FeII,3.22,22.43
87,5414.073,FeII,3.22,11.15
88,5425.257,FeII,3.2,22.13
89,5534.847,FeII,3.25,39.36
90,6149.258,FeII,3.89,15.86
91,6238.392,FeII,3.89,19.84
92,6247.557,FeII,3.89,29.87
93,6416.919,FeII,3.89,15.27
94,6432.68,FeII,2.89,22.67
95,6516.08,FeII,2.89,36.86
