,obs_wavelength,element,obs_ep,obs_ew
0,4132.9,FeI,2.84,8.93
1,4134.68,FeI,2.83,16.82
2,4143.87,FeI,1.56,70.45
3,4147.67,FeI,1.48,12.7
4,4191.43,FeI,2.47,27.87
5,4202.03,FeI,1.48,67.96
6,4222.21,FeI,2.45,18.8
7,4238.81,FeI,3.4,16.24
8,4250.12,FeI,2.47,39.07
9,4260.47,FeI,2.4,61.32
10,4271.15,FeI,2.45,44.04
11,4282.4,FeI,2.18,32.35
12,4375.93,FeI,0.0,31.2
13,4415.12,FeI,1.61,67.92
14,4427.31,FeI,0.05,31.01
15,4447.72,FeI,2.22,16.19
16,4461.65,FeI,0.09,18.84
17,4494.56,FeI,2.2,22.14
18,4871.32,FeI,2.87,24.57
19,4890.76,FeI,2.88,25.05
20,4891.49,FeI,2.85,37.87
21,4918.99,FeI,2.87,26.54
22,5006.12,FeI,2.83,18.94
23,5051.64,FeI,0.92,9.47
24,5083.34,FeI,0.96,6.84
25,5171.6,FeI,1.48,24.48
26,5191.45,FeI,3.04,15.22
27,5192.34,FeI,3.0,19.47
28,5194.94,FeI,1.56,12.35
29,5216.27,FeI,1.61,9.34
30,5232.94,FeI,2.94,37.29
31,5266.56,FeI,3.0,20.51
32,5281.79,FeI,3.04,8.91
33,5283.62,FeI,3.24,12.24
34,5302.3,FeI,3.28,6.72
35,5324.18,FeI,3.21,25.13
36,5569.62,FeI,3.42,7.68
37,5572.84,FeI,3.4,14.2
38,5586.76,FeI,3.37,19.87
39,6191.56,FeI,2.43,8.11
40,6230.72,FeI,2.56,10.09
41,4923.927,FeII,2.89,43.99
42,5234.625,FeII,3.22,8.02
43,5276.002,FeII,3.2,9.63
