,obs_wavelength,element,obs_ep,obs_ew
0,4114.44,FeI,2.83,50.68
1,4184.89,FeI,2.83,67.32
2,4447.72,FeI,2.22,81.31
3,4494.56,FeI,2.2,85.84
4,4602.0,FeI,1.61,24.87
5,4602.94,FeI,1.48,70.23
6,4647.43,FeI,2.95,47.29
7,4788.76,FeI,3.24,20.03
8,4800.65,FeI,4.14,14.67
9,4903.31,FeI,2.88,74.2
10,4924.77,FeI,2.28,41.4
11,4966.09,FeI,3.33,58.72
12,4994.13,FeI,0.92,60.76
13,5014.94,FeI,3.94,55.73
14,5044.21,FeI,2.85,21.83
15,5049.82,FeI,2.28,78.25
16,5068.77,FeI,2.94,61.75
17,5083.34,FeI,0.96,63.76
18,5127.36,FeI,0.92,51.96
19,5150.84,FeI,0.99,56.2
20,5166.28,FeI,0.0,53.3
21,5187.91,FeI,4.14,11.07
22,5191.45,FeI,3.04,83.42
23,5192.34,FeI,3.0,89.11
24,5198.71,FeI,2.22,47.9
25,5202.34,FeI,2.18,77.97
26,5216.27,FeI,1.61,70.66
27,5217.39,FeI,3.21,50.87
28,5232.94,FeI,2.94,116.02
29,5247.05,FeI,0.09,16.09
30,5253.46,FeI,3.28,22.15
31,5263.31,FeI,3.27,57.47
32,5266.56,FeI,3.0,95.01
33,5281.79,FeI,3.04,69.88
34,5302.3,FeI,3.28,64.58
35,5307.36,FeI,1.61,39.81
36,5322.04,FeI,2.28,13.61
37,5324.18,FeI,3.21,103.23
38,5339.93,FeI,3.27,67.04
39,5569.62,FeI,3.42,70.62
40,5618.63,FeI,4.21,9.18
41,5624.54,FeI,3.42,58.76
42,5662.52,FeI,4.18,36.01
43,5701.55,FeI,2.56,30.17
44,5753.12,FeI,4.26,25.55
45,5816.37,FeI,4.55,17.52
46,6137.69,FeI,2.59,68.84
47,6173.34,FeI,2.22,16.37
48,6200.31,FeI,2.61,20.0
49,6219.28,FeI,2.2,36.94
50,6230.72,FeI,2.56,77.61
51,6246.32,FeI,3.6,49.59
52,6252.56,FeI,2.4,64.22
53,6265.13,FeI,2.18,33.19
54,6301.5,FeI,3.65,69.23
55,6322.69,FeI,2.59,20.6
56,6335.33,FeI,2.2,46.52
57,6344.15,FeI,2.43,11.78
58,6355.03,FeI,2.84,16.65
59,6358.7,FeI,0.86,15.94
60,6393.6,FeI,2.43,70.4
61,6411.65,FeI,3.65,57.61
62,6421.35,FeI,2.28,55.29
63,6430.85,FeI,2.18,59.24
64,6481.87,FeI,2.28,10.73
65,6494.98,FeI,2.4,83.06
66,6592.91,FeI,2.73,55.43
67,6593.87,FeI,2.43,28.91
68,6609.11,FeI,2.56,14.07
69,6677.99,FeI,2.69,66.2
70,6750.15,FeI,2.42,22.58
71,4491.405,FeII,2.86,41.43
72,4508.288,FeII,2.86,58.44
73,4520.224,FeII,2.81,49.07
74,4541.524,FeII,2.86,30.96
75,4576.34,FeII,2.84,33.02
76,4582.835,FeII,2.84,23.13
77,4923.927,FeII,2.89,101.62
78,4993.358,FeII,2.81,10.54
79,5197.577,FeII,3.23,49.62
80,5234.625,FeII,3.22,55.26
81,5264.812,FeII,3.23,16.49
82,5325.553,FeII,3.22,13.99
83,5534.847,FeII,3.25,27.83
84,6084.111,FeII,3.2,4.71
85,6238.392,FeII,3.89,12.64
86,6247.557,FeII,3.89,23.1
87,6432.68,FeII,2.89,12.44
88,6516.08,FeII,2.89,20.84
