,obs_wavelength,element,obs_ep,obs_ew
0,4114.44,FeI,2.83,43.03
1,4132.9,FeI,2.84,56.45
2,4147.67,FeI,1.48,62.12
3,4157.78,FeI,3.42,58.7
4,4184.89,FeI,2.83,59.43
5,4187.04,FeI,2.45,95.01
6,4217.55,FeI,3.43,55.6
7,4222.21,FeI,2.45,79.55
8,4238.81,FeI,3.4,68.69
9,4250.12,FeI,2.47,105.23
10,4282.4,FeI,2.18,74.78
11,4388.41,FeI,3.6,42.95
12,4430.61,FeI,2.22,55.75
13,4447.72,FeI,2.22,72.07
14,4489.74,FeI,0.12,45.21
15,4494.56,FeI,2.2,80.5
16,4602.0,FeI,1.61,18.45
17,4602.94,FeI,1.48,63.91
18,4647.43,FeI,2.95,38.53
19,4871.32,FeI,2.87,88.14
20,4890.76,FeI,2.88,89.13
21,4891.49,FeI,2.85,104.81
22,4903.31,FeI,2.88,58.59
23,4924.77,FeI,2.28,30.74
24,4938.81,FeI,2.88,56.03
25,4939.69,FeI,0.86,42.07
26,4966.09,FeI,3.33,48.79
27,4994.13,FeI,0.92,53.33
28,5014.94,FeI,3.94,46.94
29,5044.21,FeI,2.85,13.8
30,5049.82,FeI,2.28,69.81
31,5051.64,FeI,0.92,67.72
32,5068.77,FeI,2.94,54.26
33,5083.34,FeI,0.96,57.23
34,5127.36,FeI,0.92,43.25
35,5150.84,FeI,0.99,47.6
36,5166.28,FeI,0.0,44.61
37,5191.45,FeI,3.04,74.98
38,5202.34,FeI,2.18,64.32
39,5216.27,FeI,1.61,63.31
40,5217.39,FeI,3.21,40.46
41,5225.53,FeI,0.11,14.6
42,5232.94,FeI,2.94,106.1
43,5247.05,FeI,0.09,11.45
44,5253.46,FeI,3.28,15.84
45,5263.31,FeI,3.27,47.88
46,5266.56,FeI,3.0,85.92
47,5281.79,FeI,3.04,60.4
48,5302.3,FeI,3.28,55.46
49,5307.36,FeI,1.61,26.17
50,5324.18,FeI,3.21,91.82
51,5332.9,FeI,1.56,31.54
52,5339.93,FeI,3.27,57.99
53,5364.87,FeI,4.45,48.04
54,5367.47,FeI,4.42,53.79
55,5369.96,FeI,4.37,60.25
56,5393.17,FeI,3.24,55.19
57,5397.13,FeI,0.92,98.85
58,5405.77,FeI,0.99,99.77
59,5410.91,FeI,4.47,48.76
60,5415.2,FeI,4.39,65.1
61,5569.62,FeI,3.42,60.6
62,5586.76,FeI,3.37,84.62
63,5624.54,FeI,3.42,48.28
64,5662.52,FeI,4.18,25.97
65,5701.55,FeI,2.56,21.46
66,5816.37,FeI,4.55,10.75
67,6027.05,FeI,4.08,11.35
68,6065.48,FeI,2.61,52.71
69,6173.34,FeI,2.22,11.25
70,6191.56,FeI,2.43,59.78
71,6200.31,FeI,2.61,15.39
72,6219.28,FeI,2.2,28.36
73,6230.72,FeI,2.56,67.28
74,6246.32,FeI,3.6,40.57
75,6252.56,FeI,2.4,56.08
76,6265.13,FeI,2.18,23.48
77,6335.33,FeI,2.2,38.15
78,6393.6,FeI,2.43,59.1
79,6411.65,FeI,3.65,47.93
80,6421.35,FeI,2.28,45.59
81,6430.85,FeI,2.18,50.19
82,6494.98,FeI,2.4,73.0
83,6592.91,FeI,2.73,47.11
84,6593.87,FeI,2.43,20.63
85,6677.99,FeI,2.69,56.44
86,4491.405,FeII,2.86,34.42
87,4508.288,FeII,2.86,50.02
88,4520.224,FeII,2.81,43.27
89,4541.524,FeII,2.86,23.4
90,4576.34,FeII,2.84,23.57
91,4582.835,FeII,2.84,17.91
92,4923.927,FeII,2.89,90.87
93,5234.625,FeII,3.22,44.75
94,5534.847,FeII,3.25,20.4
