#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2021-10-11T22:37:04 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ6164bc7530b3ce	
#INFO	-out.max=unlimited	
#INFO	queryParameters=15	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/PASJ/57/27&tab:{J/PASJ/57/27/tablee2}&key:source=J/PASJ/57/27/tablee2&HTTPPRM:&
#-source=J/PASJ/57/27/tablee2
#-order=I
#-out=HD
#HD=103095
#-out=Line
#-out=Elem
#-out=lambda
#-out=Chi
#-out=loggf
#-out=EW
#-out=abund1
#-out=abund2
#

#RESOURCE=yCat_100570027
#Name: J/PASJ/57/27
#Title: Atmospheric parameters of nearby F-K stars (Takeda+, 2005)
#Table	J_PASJ_57_27_tablee2:
#Name: J/PASJ/57/27/tablee2
#Title: EW data and the Fe abundances for the 160 program stars + Sun (999999)
#Column	HD	(A6)	HD number (G1)	[ucd=]
#Column	Line	(I4)	line number	[ucd=]
#Column	Elem	(F6.2)	FeI: 26.00 FeII: 26.01	[ucd=]
#Column	lambda	(F9.3)	wavelength	[ucd=]
#Column	Chi	(F7.3)	lower excitation potential	[ucd=]
#Column	loggf	(F7.3)	adopted log(gf) value	[ucd=]
#Column	EW	(F6.1)	equivalent width	[ucd=]
#Column	abund1	(F8.3)	Fe abundance (sign inversed for Fe II lines) [+A(FeI),-A(FeII)]	[ucd=]
#Column	abund2	(F8.3)	Fe abundance (sign inversed for Fe I lines) [-A(FeI),+A(FeII)]	[ucd=]
HD|Line|Elem|lambda|Chi|loggf|EW|abund1|abund2
 | | |0.1nm|eV| |0.1pm| |
------|----|------|---------|-------|-------|------|--------|--------
103095| 103| 26.00| 5225.525|  0.110| -4.741|  57.9|   6.122|  -6.122
103095| 104| 26.00| 5247.049|  0.087| -4.942|  52.3|   6.198|  -6.198
103095| 105| 26.00| 5250.208|  0.121| -4.859|  51.8|   6.148|  -6.148
103095| 106| 26.00| 5326.140|  3.570| -2.153|   8.7|   6.223|  -6.223
103095| 107| 26.00| 5412.798|  4.440| -1.727|   4.0|   6.390|  -6.390
103095| 108| 26.00| 5491.840|  4.190| -2.139|   2.5|   6.317|  -6.317
103095| 109| 26.00| 5600.226|  4.260| -1.429|   8.5|   6.228|  -6.228
103095| 110| 26.00| 5661.348|  4.280| -1.790|   2.8|   6.099|  -6.099
103095| 111| 26.00| 5696.102|  4.550| -1.847|   2.6|   6.422|  -6.422
103095| 112| 26.00| 5701.545|  2.560| -2.087|  53.9|   6.109|  -6.109
103095| 113| 26.00| 5705.466|  4.300| -1.433|   8.1|   6.246|  -6.246
103095| 114| 26.00| 5778.455|  2.590| -3.468|   7.2|   6.352|  -6.352
103095| 115| 26.00| 5784.657|  3.340| -2.615|   4.4|   6.084|  -6.084
103095| 116| 26.00| 5855.091|  4.607| -1.478|   2.1|   6.013|  -6.013
103095| 117| 26.00| 5909.970|  3.210| -2.579|   7.4|   6.145|  -6.145
103095| 118| 26.00| 5956.692|  0.859| -4.537|  31.0|   6.225|  -6.225
103095| 119| 26.00| 6082.708|  2.223| -3.555|  11.9|   6.250|  -6.250
103095| 120| 26.00| 6120.244|  0.910| -5.906|   2.5|   6.396|  -6.396
103095| 121| 26.00| 6136.993|  2.198| -2.910|  35.2|   6.160|  -6.160
103095| 122| 26.00| 6151.617|  2.176| -3.296|  22.4|   6.259|  -6.259
