,element,obs_wavelength,obs_ep,obs_ew,abund
0,FeI,3949.96,2.18,90.7,5.35
1,FeI,4114.45,2.83,62.5,5.39
2,FeI,4132.91,2.85,76.6,5.46
3,FeI,4134.69,2.83,87.1,5.36
4,FeI,4143.88,1.56,166.5,5.11
5,FeI,4147.68,1.49,106.4,5.51
6,FeI,4157.79,3.42,73.8,5.49
7,FeI,4184.91,2.83,80.9,5.38
8,FeI,4187.05,2.45,111.7,5.31
9,FeI,4187.81,2.42,127.2,5.58
10,FeI,4191.44,2.47,113.1,5.51
11,FeI,4199.10,3.05,108.6,5.31
12,FeI,4202.04,1.49,161.4,5.11
13,FeI,4216.19,0.00,133.9,5.34
14,FeI,4217.56,3.43,72.3,5.52
15,FeI,4222.22,2.45,101.3,5.44
16,FeI,4233.61,2.48,109.6,5.33
17,FeI,4238.81,3.40,81.5,5.45
18,FeI,4250.13,2.47,117.4,5.28
19,FeI,4260.48,2.40,149.5,5.28
20,FeI,4271.16,2.45,135.3,5.53
21,FeI,4282.40,2.18,128.6,5.51
22,FeI,4375.93,0.00,147.5,5.16
23,FeI,4388.41,3.60,50.3,5.36
24,FeI,4415.12,1.61,170.1,5.20
25,FeI,4427.32,0.05,151.9,5.19
26,FeI,4430.61,2.22,89.2,5.54
27,FeI,4447.72,2.22,103.2,5.48
28,FeI,4461.65,0.09,142.1,5.30
29,FeI,4489.73,0.12,111.8,5.36
30,FeI,4494.56,2.20,113.6,5.47
31,FeI,4602.01,1.61,57.1,5.38
32,FeI,4602.95,1.49,109.5,5.45
33,FeI,4630.12,2.28,51.0,5.56
34,FeI,4647.43,2.95,65.1,5.45
35,FeI,4859.70,2.88,94.2,5.36
36,FeI,4871.32,2.87,113.6,5.37
37,FeI,4872.14,2.88,103.6,5.38
38,FeI,4890.76,2.88,120.3,5.55
39,FeI,4891.50,2.85,123.3,5.30
40,FeI,4903.32,2.88,88.0,5.37
41,FeI,4919.00,2.87,115.0,5.36
42,FeI,4924.77,2.28,66.4,5.32
43,FeI,4938.82,2.88,79.4,5.30
44,FeI,4939.69,0.86,102.8,5.35
45,FeI,4966.09,3.33,69.2,5.46
46,FeI,4994.14,0.92,111.4,5.29
47,FeI,5001.87,3.88,63.8,5.11
48,FeI,5006.12,2.83,104.6,5.34
49,FeI,5014.94,3.94,50.1,5.27
50,FeI,5049.83,2.28,105.2,5.36
51,FeI,5051.64,0.92,127.0,5.38
52,FeI,5068.77,2.94,76.1,5.24
53,FeI,5074.75,4.22,49.7,5.45
54,FeI,5079.74,0.99,108.5,5.58
55,FeI,5083.35,0.96,115.8,5.28
56,FeI,5110.44,0.00,142.9,5.36
57,FeI,5125.12,4.22,52.6,5.42
58,FeI,5127.37,0.92,104.3,5.39
59,FeI,5131.48,2.22,58.9,5.46
60,FeI,5133.69,4.18,67.1,5.36
61,FeI,5141.74,2.42,55.1,5.37
62,FeI,5145.09,2.20,22.9,5.11
63,FeI,5150.85,0.99,108.3,5.34
64,FeI,5151.92,1.01,97.5,5.43
65,FeI,5162.28,4.18,58.4,5.37
66,FeI,5166.28,0.00,122.8,5.32
67,FeI,5171.61,1.49,133.2,5.19
68,FeI,5191.47,3.04,109.5,5.57
69,FeI,5192.35,3.00,103.5,5.27
70,FeI,5194.95,1.56,115.9,5.24
71,FeI,5198.71,2.22,76.2,5.35
72,FeI,5202.34,2.18,101.1,5.60
73,FeI,5216.28,1.61,112.7,5.30
74,FeI,5217.40,3.21,60.3,5.37
75,FeI,5225.53,0.11,85.0,5.39
76,FeI,5232.95,2.94,122.9,5.22
77,FeI,5242.46,3.63,46.6,5.45
78,FeI,5266.56,3.00,106.3,5.27
79,FeI,5281.80,3.04,84.3,5.29
80,FeI,5283.63,3.24,90.8,5.37
81,FeI,5288.52,3.68,12.8,5.26
82,FeI,5302.31,3.28,74.8,5.29
83,FeI,5307.37,1.61,74.5,5.33
84,FeI,5324.19,3.21,106.0,5.23
85,FeI,5322.01,2.28,28.0,5.23
86,FeI,5328.54,1.56,133.2,5.36
87,FeI,5332.92,1.56,83.2,5.29
88,FeI,5339.94,3.27,78.5,5.33
89,FeI,5364.87,4.45,47.9,5.27
90,FeI,5365.40,3.56,30.3,5.09
91,FeI,5367.47,4.42,57.0,5.19
92,FeI,5369.97,4.37,60.2,5.10
93,FeI,5371.50,0.96,179.0,5.08
94,FeI,5379.58,3.69,14.0,5.32
95,FeI,5383.38,4.31,70.6,5.11
96,FeI,5393.18,3.24,77.6,5.26
97,FeI,5397.14,0.92,164.0,5.12
98,FeI,5405.78,0.99,162.6,5.06
99,FeI,5410.91,4.47,48.8,5.25
100,FeI,5415.20,4.39,65.4,5.10
101,FeI,5424.08,4.32,75.4,5.33
102,FeI,5429.71,0.96,170.9,5.17
103,FeI,5434.53,1.01,150.0,5.14
104,FeI,5445.04,4.39,43.3,5.29
105,FeI,5446.92,0.99,169.2,5.21
106,FeI,5501.48,0.96,117.5,5.38
107,FeI,5506.79,0.99,126.5,5.33
108,FeI,5560.21,4.43,7.8,5.45
109,FeI,5569.63,3.42,75.9,5.21
110,FeI,5572.85,3.40,89.1,5.22
111,FeI,5576.10,3.43,58.3,5.30
112,FeI,5586.77,3.37,99.6,5.27
113,FeI,5615.66,3.33,109.9,5.24
114,FeI,5618.64,4.21,6.0,5.28
115,FeI,5662.52,4.18,31.5,5.40
116,FeI,5686.53,4.55,12.6,5.22
117,FeI,5753.12,4.26,17.9,5.28
118,FeI,5775.09,4.22,7.7,5.42
119,FeI,5816.38,4.55,10.7,5.28
120,FeI,6065.48,2.61,91.0,5.30
121,FeI,6136.62,2.45,105.6,5.37
122,FeI,6137.70,2.59,97.8,5.33
123,FeI,6151.62,2.18,23.1,5.48
124,FeI,6191.57,2.43,104.3,5.31
125,FeI,6079.01,4.65,4.7,5.37
126,FeI,6229.23,2.84,8.0,5.40
127,FeI,6230.74,2.56,110.8,5.45
128,FeI,6240.66,2.22,20.3,5.26
129,FeI,6246.32,3.60,53.7,5.34
130,FeI,6252.56,2.40,101.0,5.55
131,FeI,6265.13,2.18,68.1,5.43
132,FeI,6297.80,2.22,60.7,5.46
133,FeI,6301.50,3.65,67.8,5.48
134,FeI,6311.51,2.83,5.7,5.45
135,FeI,6322.68,2.59,49.4,5.57
136,FeI,6344.15,2.43,28.5,5.41
137,FeI,6355.04,2.84,26.8,5.30
138,FeI,6358.69,0.90,55.7,5.50
139,FeI,6393.61,2.43,100.1,5.36
140,FeI,6400.01,3.60,76.8,5.14
141,FeI,6411.65,3.65,61.7,5.36
142,FeI,6419.96,4.73,19.1,5.40
143,FeI,6421.36,2.28,89.6,5.38
144,FeI,6430.85,2.18,98.7,5.36
145,FeI,6481.87,2.28,33.0,5.43
146,FeI,6494.98,2.40,118.7,5.30
147,FeI,6498.94,0.96,37.0,5.48
148,FeI,6518.37,2.83,19.2,5.10
149,FeI,6592.91,2.73,83.3,5.30
150,FeI,6593.87,2.44,54.8,5.34
151,FeI,6609.11,2.56,28.8,5.34
152,FeI,6677.99,2.69,95.1,5.40
153,FeI,6750.16,2.42,47.1,5.40
154,FeI,7132.99,4.08,6.6,5.42
155,FeI,7187.38,4.10,64.6,5.35
156,FeI,7223.64,3.02,23.4,5.31
157,FeII,4178.86,2.57,72.3,5.23
158,FeII,4491.40,2.84,53.8,5.23
159,FeII,4508.28,2.84,75.1,5.23
160,FeII,4520.23,2.84,66.0,5.41
161,FeII,4541.52,2.84,45.4,5.40
162,FeII,4555.89,2.82,76.0,5.27
163,FeII,4576.33,2.83,47.2,5.41
164,FeII,4582.84,2.83,35.2,5.21
165,FeII,4923.92,2.89,123.3,5.39
166,FeII,5234.62,3.22,65.4,5.15
167,FeII,5284.09,2.88,37.7,5.34
168,FeII,5264.80,3.22,19.7,5.34
169,FeII,5275.99,3.20,76.6,5.23
170,FeII,5325.56,3.21,17.9,5.28
171,FeII,6149.25,3.89,11.1,5.32
172,FeII,6247.56,3.87,24.9,5.52
173,FeII,6416.93,3.89,10.2,5.33
174,FeII,6432.68,2.89,21.0,5.41
175,FeII,6516.08,2.89,34.0,5.43
