#
#   VizieR Astronomical Server vizier.iucaa.in
#    Date: 2021-10-12T19:35:00 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ6165e31607b0	
#INFO	-out.max=unlimited	
#INFO	queryParameters=22	
#-oc.form=dec
#-out.max=unlimited
#-order=I
#-out.src=J/ApJ/645/613/table1
#-nav=cat:J/ApJ/645/613&tab:{J/ApJ/645/613/table1}&key:source=J/ApJ/645/613/table1&HTTPPRM:&&-ref=VIZ6165e31607b0&-out.max=unlimited&-out.form=HTML Table&-oc.form=sexa&-order=I&-out=El&-out=Abd&-out=Z&Z=26&-out=Ion&-out=Wave&-out=f_Wave&-out=ExtPot&-out=log(gf)&-out=EW&-out=f_EW&-out=l_log(e)&-out=log(e)&-out=l_[X/Fe]&-out=[X/Fe]&-out=Note&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.src=J/ApJ/645/613/table1
#-source=J/ApJ/645/613/table1
#-out=El
#-out=Abd
#-out=Z
#Z=26
#-out=Ion
#-out=Wave
#-out=f_Wave
#-out=ExtPot
#-out=log(gf)
#-out=EW
#-out=f_EW
#-out=l_log(e)
#-out=log(e)
#-out=l_[X/Fe]
#-out=[X/Fe]
#-out=Note
#

#RESOURCE=yCat_16450613
#Name: J/ApJ/645/613
#Title: Abundances of HD 221170 (Ivans+, 2006)
#Table	J_ApJ_645_613_table1:
#Name: J/ApJ/645/613/table1
#Title: Abundances derived from individual features
#Column	El	(A2)	Element	[ucd=phys.atmol.element]
#Column	Abd	(F5.2)	Adopted Solar Abundance for El (H=12)	[ucd=meta.note]
#Column	Z	(I2)	Atomic number of El	[ucd=phys.atmol.number]
#Column	Ion	(A2)	Ionization State	[ucd=phys]
#Column	Wave	(F7.2)	? Wavelength in Angstroms	[ucd=em.wl]
#Column	f_Wave	(A2)	Flag on Wavelength (1)	[ucd=meta.code]
#Column	ExtPot	(F5.2)	? Excitation Potential	[ucd=phys.atmol.excitation]
#Column	log(gf)	(F7.3)	? Log of the Oscillator Strength	[ucd=phys.atmol.oscStrength]
#Column	EW	(F5.1)	? Equivalent Width in m{AA}	[ucd=spect.line.eqWidth]
#Column	f_EW	(A3)	[syn ] EW derived from synthetic spectrum (2)	[ucd=meta.code]
#Column	l_log(e)	(A1)	Limit flag on log(e)	[ucd=meta.code.error]
#Column	log(e)	(F6.2)	? Log {epsilon} abundance (H=12)	[ucd=phys.abund]
#Column	l_[X/Fe]	(A1)	Limit flag on [X/Fe]	[ucd=meta.code.error;phys.abund]
#Column	[X/Fe]	(F6.2)	? [X/Fe] abundance (3)	[ucd=phys.abund]
#Column	Note	(a8)	Additional note (4)	[ucd=meta.note]
El|Abd|Z|Ion|Wave|f_Wave|ExtPot|log(gf)|EW|f_EW|l_log(e)|log(e)|l_[X/Fe]|[X/Fe]|Note
 | | | |0.1nm| |eV|[-]|10-13m| | | | |[Sun]|
--|-----|--|--|-------|--|-----|-------|-----|---|-|------|-|------|--------
Fe| 7.52|26|I |3949.96|  | 2.18| -1.251| 90.7|   | |  5.35| | -2.17|
Fe| 7.52|26|I |4114.45|  | 2.83| -1.303| 62.5|   | |  5.39| | -2.13|
Fe| 7.52|26|I |4132.91|  | 2.85| -1.005| 76.6|   | |  5.46| | -2.06|
Fe| 7.52|26|I |4134.69|  | 2.83| -0.649| 87.1|   | |  5.36| | -2.16|
Fe| 7.52|26|I |4143.88|  | 1.56| -0.511|166.5|   | |  5.11| | -2.41|
Fe| 7.52|26|I |4147.68|  | 1.49| -2.071|106.4|   | |  5.51| | -2.01|
Fe| 7.52|26|I |4157.79|  | 3.42| -0.403| 73.8|   | |  5.49| | -2.03|
Fe| 7.52|26|I |4184.91|  | 2.83| -0.869| 80.9|   | |  5.38| | -2.14|
Fe| 7.52|26|I |4187.05|  | 2.45| -0.514|111.7|   | |  5.31| | -2.21|
Fe| 7.52|26|I |4187.81|  | 2.42| -0.510|127.2|   | |  5.58| | -1.94|
Fe| 7.52|26|I |4191.44|  | 2.47| -0.666|113.1|   | |  5.51| | -2.01|
Fe| 7.52|26|I |4199.10|  | 3.05|  0.156|108.6|   | |  5.31| | -2.21|
Fe| 7.52|26|I |4202.04|  | 1.49| -0.689|161.4|   | |  5.11| | -2.41|
Fe| 7.52|26|I |4216.19|  | 0.00| -3.357|133.9|   | |  5.34| | -2.18|
Fe| 7.52|26|I |4217.56|  | 3.43| -0.484| 72.3|   | |  5.52| | -2.00|
Fe| 7.52|26|I |4222.22|  | 2.45| -0.914|101.3|   | |  5.44| | -2.08|
Fe| 7.52|26|I |4233.61|  | 2.48| -0.579|109.6|   | |  5.33| | -2.19|
Fe| 7.52|26|I |4238.81|  | 3.40| -0.233| 81.5|   | |  5.45| | -2.07|
Fe| 7.52|26|I |4250.13|  | 2.47| -0.380|117.4|   | |  5.28| | -2.24|
Fe| 7.52|26|I |4260.48|  | 2.40|  0.077|149.5|   | |  5.28| | -2.24|
Fe| 7.52|26|I |4271.16|  | 2.45| -0.337|135.3|   | |  5.53| | -1.99|
Fe| 7.52|26|I |4282.40|  | 2.18| -0.779|128.6|   | |  5.51| | -2.01|
Fe| 7.52|26|I |4375.93|  | 0.00| -3.005|147.5|   | |  5.16| | -2.36|
Fe| 7.52|26|I |4388.41|  | 3.60| -0.681| 50.3|   | |  5.36| | -2.16|
Fe| 7.52|26|I |4415.12|  | 1.61| -0.621|170.1|   | |  5.20| | -2.32|
Fe| 7.52|26|I |4427.32|  | 0.05| -2.924|151.9|   | |  5.19| | -2.33|
Fe| 7.52|26|I |4430.61|  | 2.22| -1.728| 89.2|   | |  5.54| | -1.98|
Fe| 7.52|26|I |4447.72|  | 2.22| -1.339|103.2|   | |  5.48| | -2.04|
Fe| 7.52|26|I |4461.65|  | 0.09| -3.194|142.1|   | |  5.30| | -2.22|
Fe| 7.52|26|I |4489.73|  | 0.12| -3.899|111.8|   | |  5.36| | -2.16|
Fe| 7.52|26|I |4494.56|  | 2.20| -1.143|113.6|   | |  5.47| | -2.05|
Fe| 7.52|26|I |4602.01|  | 1.61| -3.134| 57.1|   | |  5.38| | -2.14|
Fe| 7.52|26|I |4602.95|  | 1.49| -2.208|109.5|   | |  5.45| | -2.07|
Fe| 7.52|26|I |4630.12|  | 2.28| -2.587| 51.0|   | |  5.56| | -1.96|
Fe| 7.52|26|I |4647.43|  | 2.95| -1.351| 65.1|   | |  5.45| | -2.07|
Fe| 7.52|26|I |4859.70|  | 2.88| -0.764| 94.2|   | |  5.36| | -2.16|
Fe| 7.52|26|I |4871.32|  | 2.87| -0.362|113.6|   | |  5.37| | -2.15|
Fe| 7.52|26|I |4872.14|  | 2.88| -0.567|103.6|   | |  5.38| | -2.14|
Fe| 7.52|26|I |4890.76|  | 2.88| -0.394|120.3|   | |  5.55| | -1.97|
Fe| 7.52|26|I |4891.50|  | 2.85| -0.111|123.3|   | |  5.30| | -2.22|
Fe| 7.52|26|I |4903.32|  | 2.88| -0.926| 88.0|   | |  5.37| | -2.15|
Fe| 7.52|26|I |4919.00|  | 2.87| -0.342|115.0|   | |  5.36| | -2.16|
Fe| 7.52|26|I |4924.77|  | 2.28| -2.114| 66.4|   | |  5.32| | -2.20|
Fe| 7.52|26|I |4938.82|  | 2.88| -1.077| 79.4|   | |  5.30| | -2.22|
Fe| 7.52|26|I |4939.69|  | 0.86| -3.252|102.8|   | |  5.35| | -2.17|
Fe| 7.52|26|I |4966.09|  | 3.33| -0.871| 69.2|   | |  5.46| | -2.06|
Fe| 7.52|26|I |4994.14|  | 0.92| -2.969|111.4|   | |  5.29| | -2.23|
Fe| 7.52|26|I |5001.87|  | 3.88|  0.050| 63.8|   | |  5.11| | -2.41|
Fe| 7.52|26|I |5006.12|  | 2.83| -0.615|104.6|   | |  5.34| | -2.18|
