#
#   VizieR Astronomical Server vizier.iucaa.in
#    Date: 2021-10-11T23:07:15 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ6164c3506d8b	
#INFO	-out.max=unlimited	
#INFO	queryParameters=12	
#-oc.form=dec
#-out.max=unlimited
#-order=I
#-out.src=J/A+A/430/255/table1
#-nav=cat:J/A+A/430/255&tab:{J/A+A/430/255/table1}&key:source=J/A+A/430/255/table1&HTTPPRM:&&-ref=VIZ6164c3506d8b&-out.max=unlimited&-out.form=HTML Table&-oc.form=sexa&-order=I&-out=lambda&-out=Ion&-out=EW&-out=loggf&-out=Elow&-out=logN&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.src=J/A+A/430/255/table1
#-source=J/A+A/430/255/table1
#-out=lambda
#-out=Ion
#-out=EW
#-out=loggf
#-out=Elow
#-out=logN
#

#RESOURCE=yCat_34300255
#Name: J/A+A/430/255
#Title: Abundances of HD221170 (Yushchenko+, 2005)
#Table	J_A_A_430_255_table1:
#Name: J/A+A/430/255/table1
#Title: Iron lines in the spectrum of HD 221170
#Column	lambda	(F8.3)	Wavelength	[ucd=em.wl]
#Column	Ion	(a5)	Ion	[ucd=phys.atmol.ionStage]
#Column	EW	(F5.1)	Equivalent width	[ucd=spect.line.eqWidth]
#Column	loggf	(F5.2)	Oscillator strength	[ucd=phys.atmol.oscStrength]
#Column	Elow	(F6.3)	Energy of lower level	[ucd=phys.energy;phys.atmol.level]
#Column	logN	(F6.3)	Abundance, in logN(H)=12 scale	[ucd=phys.abund]
lambda|Ion|EW|loggf|Elow|logN
0.1nm| |0.1pm|[-]|eV|
--------|-----|-----|-----|------|------
4531.150|Fe I |122.0|-2.15| 1.485| 5.548
4547.850|Fe I | 48.0|-1.01| 3.546| 5.478
4587.130|Fe I | 12.0|-1.78| 3.573| 5.393
4602.000|Fe I | 60.0|-3.15| 1.608| 5.340
4602.940|Fe I |120.0|-1.95| 1.485| 5.276
4619.290|Fe I | 30.0|-1.12| 3.602| 5.280
4630.120|Fe I | 56.0|-2.60| 2.278| 5.576
4632.910|Fe I | 78.0|-2.91| 1.608| 5.449
4637.500|Fe I | 37.0|-1.39| 3.283| 5.294
4638.010|Fe I | 38.0|-1.12| 3.602| 5.444
4647.430|Fe I | 70.0|-1.31| 2.949| 5.437
4668.130|Fe I | 58.0|-1.29| 3.266| 5.572
4669.170|Fe I | 29.0|-1.21| 3.653| 5.410
4678.850|Fe I | 60.0|-0.66| 3.602| 5.412
4704.950|Fe I | 12.0|-1.57| 3.686| 5.321
4707.270|Fe I | 71.0|-1.08| 3.241| 5.589
4741.530|Fe I | 44.0|-2.00| 2.831| 5.458
4786.810|Fe I | 45.0|-1.61| 3.017| 5.316
4800.650|Fe I | 12.0|-1.03| 4.142| 5.340
4807.710|Fe I | 11.0|-2.20| 3.368| 5.506
4872.140|Fe I |111.0|-0.60| 2.882| 5.481
4885.430|Fe I | 22.0|-1.09| 3.881| 5.390
4886.330|Fe I | 23.0|-0.74| 4.154| 5.401
4890.750|Fe I |123.0|-0.39| 2.875| 5.511
4903.310|Fe I | 99.0|-0.93| 2.882| 5.541
4909.380|Fe I | 15.0|-1.27| 3.928| 5.414
4910.020|Fe I | 36.0|-1.54| 3.396| 5.537
4917.230|Fe I | 12.0|-1.18| 4.191| 5.531
