#
#   VizieR Astronomical Server vizier.iucaa.in
#    Date: 2021-10-12T00:22:57 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ6164d53e02f6	
#INFO	-out.max=unlimited	
#INFO	queryParameters=16	
#-oc.form=dec
#-out.max=unlimited
#-order=I
#-out.src=J/PASJ/57/27/tablee2
#-nav=cat:J/PASJ/57/27&tab:{J/PASJ/57/27/tablee2}&key:source=J/PASJ/57/27/tablee2&HTTPPRM:&&-ref=VIZ6164d53e02f6&-out.max=50&-out.form=HTML Table&-oc.form=sexa&-order=I&-out=HD&HD=224930&-out=Line&-out=Elem&-out=lambda&-out=Chi&-out=loggf&-out=EW&-out=abund1&-out=abund2&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.src=J/PASJ/57/27/tablee2
#-source=J/PASJ/57/27/tablee2
#-out=HD
#HD=224930
#-out=Line
#-out=Elem
#-out=lambda
#-out=Chi
#-out=loggf
#-out=EW
#-out=abund1
#-out=abund2
#

#RESOURCE=yCat_100570027
#Name: J/PASJ/57/27
#Title: Atmospheric parameters of nearby F-K stars (Takeda+, 2005)
#Table	J_PASJ_57_27_tablee2:
#Name: J/PASJ/57/27/tablee2
#Title: EW data and the Fe abundances for the 160 program stars + Sun (999999)
#Column	HD	(A6)	HD number (G1)	[ucd=]
#Column	Line	(I4)	line number	[ucd=]
#Column	Elem	(F6.2)	FeI: 26.00 FeII: 26.01	[ucd=]
#Column	lambda	(F9.3)	wavelength	[ucd=]
#Column	Chi	(F7.3)	lower excitation potential	[ucd=]
#Column	loggf	(F7.3)	adopted log(gf) value	[ucd=]
#Column	EW	(F6.1)	equivalent width	[ucd=]
#Column	abund1	(F8.3)	Fe abundance (sign inversed for Fe II lines) [+A(FeI),-A(FeII)]	[ucd=]
#Column	abund2	(F8.3)	Fe abundance (sign inversed for Fe I lines) [-A(FeI),+A(FeII)]	[ucd=]
HD|Line|Elem|lambda|Chi|loggf|EW|abund1|abund2
 | | |0.1nm|eV| |0.1pm| |
------|----|------|---------|-------|-------|------|--------|--------
224930| 103| 26.00| 5225.525|  0.110| -4.741|  56.3|   7.203|  -7.203
224930| 104| 26.00| 5247.049|  0.087| -4.942|  50.6|   7.226|  -7.226
224930| 105| 26.00| 5250.208|  0.121| -4.859|  49.2|   7.140|  -7.140
224930| 106| 26.00| 5326.140|  3.570| -2.153|  13.2|   6.855|  -6.855
224930| 107| 26.00| 5412.798|  4.440| -1.727|   7.9|   7.006|  -7.006
224930| 108| 26.00| 5491.840|  4.190| -2.139|   3.3|   6.757|  -6.757
224930| 109| 26.00| 5600.226|  4.260| -1.429|  16.9|   6.920|  -6.920
224930| 110| 26.00| 5661.348|  4.280| -1.790|   8.6|   6.940|  -6.940
224930| 111| 26.00| 5696.102|  4.550| -1.847|   3.6|   6.845|  -6.845
224930| 112| 26.00| 5701.545|  2.560| -2.087|  58.3|   6.985|  -6.985
224930| 113| 26.00| 5705.466|  4.300| -1.433|  17.1|   6.967|  -6.967
224930| 114| 26.00| 5778.455|  2.590| -3.468|  10.3|   7.038|  -7.038
224930| 115| 26.00| 5784.657|  3.340| -2.615|   9.1|   6.863|  -6.863
224930| 116| 26.00| 5855.091|  4.607| -1.478|   7.8|   6.892|  -6.892
224930| 117| 26.00| 5909.970|  3.210| -2.579|  31.1|   7.423|  -7.423
224930| 118| 26.00| 5956.692|  0.859| -4.537|  33.8|   7.099|  -7.099
224930| 119| 26.00| 6082.708|  2.223| -3.555|  16.5|   6.997|  -6.997
224930| 120| 26.00| 6120.244|  0.910| -5.906|   3.8|   7.273|  -7.273
224930| 121| 26.00| 6136.993|  2.198| -2.910|  43.2|   7.036|  -7.036
224930| 122| 26.00| 6151.617|  2.176| -3.296|  28.3|   7.032|  -7.032
224930| 123| 26.00| 6173.341|  2.223| -2.888|  45.9|   7.098|  -7.098
224930| 124| 26.00| 6180.203|  2.730| -2.615|  29.9|   6.946|  -6.946
224930| 125| 26.00| 6200.314|  2.609| -2.360|  48.8|   7.038|  -7.038
224930| 126| 26.00| 6219.279|  2.198| -2.458|  67.6|   7.118|  -7.118
