#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2021-10-02T01:37:32 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ6157b7b5343e92	
#INFO	-out.max=unlimited	
#INFO	queryParameters=15	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/PASJ/57/27&tab:{J/PASJ/57/27/tablee2}&key:source=J/PASJ/57/27/tablee2&HTTPPRM:&
#-source=J/PASJ/57/27/tablee2
#-order=I
#-out=HD
#HD=121370
#-out=Line
#-out=Elem
#-out=lambda
#-out=Chi
#-out=loggf
#-out=EW
#-out=abund1
#-out=abund2
#

#RESOURCE=yCat_100570027
#Name: J/PASJ/57/27
#Title: Atmospheric parameters of nearby F-K stars (Takeda+, 2005)
#Table	J_PASJ_57_27_tablee2:
#Name: J/PASJ/57/27/tablee2
#Title: EW data and the Fe abundances for the 160 program stars + Sun (999999)
#Column	HD	(A6)	HD number (G1)	[ucd=]
#Column	Line	(I4)	line number	[ucd=]
#Column	Elem	(F6.2)	FeI: 26.00 FeII: 26.01	[ucd=]
#Column	lambda	(F9.3)	wavelength	[ucd=]
#Column	Chi	(F7.3)	lower excitation potential	[ucd=]
#Column	loggf	(F7.3)	adopted log(gf) value	[ucd=]
#Column	EW	(F6.1)	equivalent width	[ucd=]
#Column	abund1	(F8.3)	Fe abundance (sign inversed for Fe II lines) [+A(FeI),-A(FeII)]	[ucd=]
#Column	abund2	(F8.3)	Fe abundance (sign inversed for Fe I lines) [-A(FeI),+A(FeII)]	[ucd=]
HD|Line|Elem|lambda|Chi|loggf|EW|abund1|abund2
 | | |0.1nm|eV| |0.1pm| |
------|----|------|---------|-------|-------|------|--------|--------
121370| 106| 26.00| 5326.140|  3.570| -2.153|  49.9|   8.000|  -8.000
121370| 108| 26.00| 5491.840|  4.190| -2.139|  14.3|   7.778|  -7.778
121370| 110| 26.00| 5661.348|  4.280| -1.790|  34.9|   7.994|  -7.994
121370| 114| 26.00| 5778.455|  2.590| -3.468|  24.4|   7.948|  -7.948
121370| 116| 26.00| 5855.091|  4.607| -1.478|  29.1|   7.847|  -7.847
121370| 122| 26.00| 6151.617|  2.176| -3.296|  48.2|   7.798|  -7.798
121370| 124| 26.00| 6180.203|  2.730| -2.615|  59.9|   7.793|  -7.793
121370| 125| 26.00| 6200.314|  2.609| -2.360|  69.1|   7.560|  -7.560
121370| 129| 26.00| 6265.131|  2.176| -2.578|  83.8|   7.580|  -7.580
121370| 130| 26.00| 6271.276|  3.330| -2.751|  25.8|   7.897|  -7.897
121370| 132| 26.00| 6297.792|  2.223| -2.740|  85.4|   7.807|  -7.807
121370| 134| 26.00| 6322.690|  2.588| -2.326|  73.4|   7.558|  -7.558
121370| 140| 26.00| 6581.207|  1.480| -4.751|   9.5|   7.704|  -7.704
121370| 143| 26.00| 6625.021|  1.010| -5.307|   9.3|   7.806|  -7.806
121370| 147| 26.00| 6750.150|  2.424| -2.570|  72.0|   7.600|  -7.600
121370|1025| 26.00| 4950.104|  3.417| -1.342|  85.2|   7.636|  -7.636
121370|1026| 26.00| 4961.915|  3.634| -2.259|  27.3|   7.784|  -7.784
121370|1027| 26.00| 4962.565|  4.178| -1.103|  68.9|   7.803|  -7.803
121370|1036| 26.00| 5288.528|  3.695| -1.525|  76.0|   7.898|  -7.898
121370|1041| 26.00| 5321.109|  4.434| -1.198|  53.7|   7.868|  -7.868
