#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2021-09-24T15:48:46 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ614df15e3a096f	
#INFO	-out.max=unlimited	
#INFO	queryParameters=16	
#-oc.form=dec
#-out.max=unlimited
#-order=I
#-nav=cat:J/PASJ/57/27&tab:{J/PASJ/57/27/tablee2}&key:source=J/PASJ/57/27/tablee2&HTTPPRM:&&-ref=VIZ614df15e3a096f&-out.max=unlimited&-out.form=HTML Table&-order=I&-oc.form=sexa&-out.src=J/PASJ/57/27/tablee2&-out=HD&HD=131156&-out=Line&-out=Elem&-out=lambda&-out=Chi&-out=loggf&-out=EW&-out=abund1&-out=abund2&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&
#-out.src=J/PASJ/57/27/tablee2
#-source=J/PASJ/57/27/tablee2
#-out=HD
#HD=131156
#-out=Line
#-out=Elem
#-out=lambda
#-out=Chi
#-out=loggf
#-out=EW
#-out=abund1
#-out=abund2
#

#RESOURCE=yCat_100570027
#Name: J/PASJ/57/27
#Title: Atmospheric parameters of nearby F-K stars (Takeda+, 2005)
#Table	J_PASJ_57_27_tablee2:
#Name: J/PASJ/57/27/tablee2
#Title: EW data and the Fe abundances for the 160 program stars + Sun (999999)
#Column	HD	(A6)	HD number (G1)	[ucd=]
#Column	Line	(I4)	line number	[ucd=]
#Column	Elem	(F6.2)	FeI: 26.00 FeII: 26.01	[ucd=]
#Column	lambda	(F9.3)	wavelength	[ucd=]
#Column	Chi	(F7.3)	lower excitation potential	[ucd=]
#Column	loggf	(F7.3)	adopted log(gf) value	[ucd=]
#Column	EW	(F6.1)	equivalent width	[ucd=]
#Column	abund1	(F8.3)	Fe abundance (sign inversed for Fe II lines) [+A(FeI),-A(FeII)]	[ucd=]
#Column	abund2	(F8.3)	Fe abundance (sign inversed for Fe I lines) [-A(FeI),+A(FeII)]	[ucd=]
HD|Line|Elem|lambda|Chi|loggf|EW|abund1|abund2
 | | |0.1nm|eV| |0.1pm| |
------|----|------|---------|-------|-------|------|--------|--------
131156| 103| 26.00| 5225.525|  0.110| -4.741|  87.2|   7.429|  -7.429
131156| 104| 26.00| 5247.049|  0.087| -4.942|  73.7|   7.303|  -7.303
131156| 105| 26.00| 5250.208|  0.121| -4.859|  74.5|   7.273|  -7.273
131156| 106| 26.00| 5326.140|  3.570| -2.153|  35.1|   7.326|  -7.326
131156| 107| 26.00| 5412.798|  4.440| -1.727|  19.5|   7.383|  -7.383
131156| 108| 26.00| 5491.840|  4.190| -2.139|  13.2|   7.330|  -7.330
131156| 110| 26.00| 5661.348|  4.280| -1.790|  22.2|   7.347|  -7.347
131156| 111| 26.00| 5696.102|  4.550| -1.847|  12.3|   7.349|  -7.349
131156| 112| 26.00| 5701.545|  2.560| -2.087|  90.8|   7.312|  -7.312
131156| 113| 26.00| 5705.466|  4.300| -1.433|  38.9|   7.386|  -7.386
131156| 114| 26.00| 5778.455|  2.590| -3.468|  25.7|   7.397|  -7.397
131156| 115| 26.00| 5784.657|  3.340| -2.615|  25.5|   7.300|  -7.300
131156| 116| 26.00| 5855.091|  4.607| -1.478|  23.1|   7.380|  -7.380
131156| 118| 26.00| 5956.692|  0.859| -4.537|  65.6|   7.452|  -7.452
131156| 119| 26.00| 6082.708|  2.223| -3.555|  40.8|   7.410|  -7.410
131156| 120| 26.00| 6120.244|  0.910| -5.906|   7.7|   7.427|  -7.427
131156| 121| 26.00| 6136.993|  2.198| -2.910|  69.2|   7.279|  -7.279
131156| 122| 26.00| 6151.617|  2.176| -3.296|  56.9|   7.402|  -7.402
131156| 123| 26.00| 6173.341|  2.223| -2.888|  75.6|   7.400|  -7.400
131156| 124| 26.00| 6180.203|  2.730| -2.615|  58.8|   7.334|  -7.334
131156| 125| 26.00| 6200.314|  2.609| -2.360|  77.9|   7.332|  -7.332
131156| 128| 26.00| 6240.645|  2.220| -3.269|  54.3|   7.373|  -7.373
131156| 129| 26.00| 6265.131|  2.176| -2.578|  97.1|   7.415|  -7.415
131156| 130| 26.00| 6271.276|  3.330| -2.751|  34.9|   7.607|  -7.607
