#
#   VizieR Astronomical Server vizier.iucaa.in
#    Date: 2021-10-02T01:56:09 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ6157bb4055f9	
#INFO	-out.max=unlimited	
#INFO	queryParameters=13	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/MNRAS/450/397&tab:{J/MNRAS/450/397/tablee1}&key:source=J/MNRAS/450/397/tablee1&HTTPPRM:&
#-source=J/MNRAS/450/397/tablee1
#-order=I
#-out=Line
#-out=Elem
#-out=lambda
#-out=EP(low)
#-out=loggf
#-out=EW(Fe)48
#EW(Fe)48=!=0
#-out=logeps(Fe)48
#

#RESOURCE=yCat_74500397
#Name: J/MNRAS/450/397
#Title: Spectroscopic study of RGs in the Kepler field (Takeda+, 2015)
#Table	J_MNRAS_450_397_tablee1:
#Name: J/MNRAS/450/397/tablee1
#Title: EWs of Fe I/Fe II lines and corresponding Fe abundance
#Column	Line	(I4)	[102/2014] Line number (cf. Takeda et al. 2005, J/PASJ/57/27)	[ucd=meta.number]
#Column	Elem	(F6.2)	[26/26.01] Element code (26.00 for Fe I, 26.01 for Fe II)	[ucd=phys.atmol.number]
#Column	lambda	(F9.3)	[4365.8/7495.06] Line (air) wavelength ({AA})	[ucd=em.wl;spect.line]
#Column	EP(low)	(F6.3)	[0.087/6.724] Excitation potential of the lower level	[ucd=phys.atmol.excitation;phys.atmol.level]
#Column	loggf	(F7.3)	[-6.477/0.083] log(gf) value (dex)	[ucd=stat.value;arith.zp]
#Column	EW(Fe)48	(F6.1)	[0/118.6] Fe line equivalent width for KIC 10323222 (m{AA}) (3)	[ucd=spect.line.eqWidth]
#Column	logeps(Fe)48	(F5.2)	[0/7.92] Line-by-line Fe abundance for KIC 10323222 (dex) (3)	[ucd=phys.abund.Fe]
Line|Elem|lambda|EP(low)|loggf|EW(Fe)48|logeps(Fe)48
 | |0.1nm|eV|[-]|0.1pm|[-]
----|------|---------|------|-------|------|-----
 106| 26.00| 5326.140| 3.570| -2.153|  76.0| 7.53
 107| 26.00| 5412.798| 4.440| -1.727|  47.7| 7.50
 108| 26.00| 5491.840| 4.190| -2.139|  44.0| 7.53
 110| 26.00| 5661.348| 4.280| -1.790|  60.3| 7.63
 111| 26.00| 5696.102| 4.550| -1.847|  33.9| 7.44
 113| 26.00| 5705.466| 4.300| -1.433|  73.5| 7.59
 114| 26.00| 5778.455| 2.590| -3.468|  81.4| 7.64
 115| 26.00| 5784.657| 3.340| -2.615|  70.1| 7.49
 116| 26.00| 5855.091| 4.607| -1.478|  50.6| 7.50
 117| 26.00| 5909.970| 3.210| -2.579|  90.6| 7.73
 119| 26.00| 6082.708| 2.223| -3.555| 100.6| 7.67
 120| 26.00| 6120.244| 0.910| -5.906|  64.2| 7.48
 122| 26.00| 6151.617| 2.176| -3.296| 108.5| 7.45
 124| 26.00| 6180.203| 2.730| -2.615| 115.3| 7.63
 128| 26.00| 6240.645| 2.220| -3.269| 107.5| 7.50
 130| 26.00| 6271.276| 3.330| -2.751|  71.2| 7.59
 133| 26.00| 6311.500| 2.832| -3.141|  81.2| 7.55
 135| 26.00| 6353.835| 0.915| -6.477|  42.1| 7.50
 138| 26.00| 6518.365| 2.830| -2.564| 107.6| 7.49
 139| 26.00| 6574.225| 0.990| -4.980| 113.8| 7.62
 140| 26.00| 6581.207| 1.480| -4.751| 103.7| 7.83
 143| 26.00| 6625.021| 1.010| -5.307| 106.8| 7.81
 144| 26.00| 6667.725| 4.580| -2.125|  35.5| 7.76
 145| 26.00| 6699.162| 4.590| -2.081|  34.6| 7.71
 146| 26.00| 6739.520| 1.557| -4.790|  73.4| 7.33
 148| 26.00| 6752.705| 4.640| -1.186|  79.3| 7.80
 149| 26.00| 6793.252| 4.080| -2.366|  42.8| 7.54
 150| 26.00| 6804.001| 4.650| -1.522|  53.7| 7.62
