,element,obs_wavelength,obs_ep,obs_ew,abund
0,FeI,6344.155,2.43,111.1,7.672
1,FeI,6745.09,4.58,21.0,7.583
2,FeI,6380.75,4.19,81.4,7.57
3,FeI,6408.026,3.69,125.2,7.532
4,FeI,6419.956,4.73,111.0,7.528
5,FeI,6475.63,2.56,95.3,7.492
6,FeI,6481.878,2.28,106.2,7.422
7,FeI,6496.472,4.79,88.9,7.532
8,FeI,6498.945,0.96,99.7,7.42
9,FeI,6518.373,2.83,93.3,7.586
10,FeI,6551.676,0.99,38.9,7.466
11,FeI,6569.22,4.73,95.2,7.571
12,FeI,6575.04,2.59,110.6,7.651
13,FeI,6597.561,4.79,64.6,7.584
14,FeI,6608.024,2.28,53.0,7.482
15,FeI,6609.118,2.56,109.4,7.548
16,FeI,6627.56,4.55,53.0,7.547
17,FeI,6646.932,2.61,39.2,7.571
18,FeI,6653.911,4.15,25.8,7.47
19,FeI,6667.455,2.45,26.9,7.549
20,FeI,6703.576,2.76,74.5,7.539
21,FeI,6725.353,4.19,39.9,7.576
22,FeI,6726.673,4.61,67.4,7.37
23,FeI,6733.151,4.64,42.4,7.526
24,FeI,6739.52,1.56,47.8,7.434
25,FeI,6745.09,4.58,21.0,7.583
26,FeI,6746.932,2.61,20.1,7.413
27,FeI,6750.164,2.42,113.8,7.323
28,FeI,6752.716,4.64,61.6,7.497
29,FeI,6786.856,4.19,48.8,7.618
30,FeI,6806.856,2.73,74.8,7.55
31,FeI,6810.267,4.61,63.2,7.409
32,FeI,6820.374,4.64,66.9,7.61
33,FeI,6828.596,4.64,75.2,7.458
34,FeI,6839.835,2.56,75.5,7.599
35,FeI,6841.341,4.61,94.8,7.599
36,FeI,6842.689,4.64,61.7,7.614
37,FeI,6843.655,4.55,85.3,7.55
38,FeI,6855.166,4.56,96.9,7.57
39,FeI,6858.155,4.61,74.3,7.547
40,FeI,7022.957,4.19,92.9,7.59
41,FeI,7024.065,4.07,59.3,7.808
42,FeI,7038.22,4.22,90.4,7.629
43,FeI,7071.866,4.61,47.9,7.7
44,FeI,7090.39,4.23,97.4,7.67
45,FeI,7112.17,2.99,78.3,7.672
46,FeI,7132.985,4.07,69.9,7.532
47,FeI,7142.517,4.95,69.3,7.576
48,FeI,7145.312,4.61,79.6,7.603
49,FeI,7212.44,4.95,55.9,7.466
50,FeI,7219.68,4.07,73.9,7.538
51,FeI,7221.204,4.56,87.1,7.705
52,FeI,7284.842,4.14,67.5,7.559
53,FeI,7288.741,4.22,111.5,7.475
54,FeI,7306.57,4.18,68.9,7.615
55,FeI,7401.691,4.19,67.8,7.55
56,FeI,7418.672,4.14,76.1,7.54
57,FeI,7440.919,4.91,82.6,7.451
58,FeI,7443.026,4.19,67.9,7.679
59,FeI,7447.4,4.95,57.1,7.423
60,FeI,7507.273,4.41,97.5,7.461
61,FeI,7710.367,4.22,92.9,7.421
62,FeII,6369.462,2.89,24.1,7.565
63,FeII,6416.928,3.89,50.9,7.669
64,FeII,6432.683,2.89,48.6,7.543
65,FeII,6456.391,3.9,66.8,7.603
66,FeII,6516.083,2.89,65.2,7.583
67,FeII,7222.394,3.89,31.0,7.738
68,FeII,7479.694,3.89,18.7,7.745
69,FeI,6353.84,0.91,17.7,7.616
70,FeI,6385.73,4.73,28.3,7.599
71,FeI,6392.537,2.28,52.4,7.463
72,FeI,6591.351,4.59,24.8,7.507
73,FeI,6648.08,1.01,49.4,7.792
74,FeI,6745.928,4.07,19.2,7.476
75,FeI,6864.32,4.56,15.5,7.521
76,FeI,6898.265,4.22,31.8,7.32
