#
#   VizieR Astronomical Server vizier
#    Date: 2021-10-02T02:32:14 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ6157c4720cb5	
#INFO	-out.max=unlimited	
#INFO	queryParameters=17	
#-oc.form=dec
#-out.max=unlimited
#-order=I
#-nav=cat:J/PASJ/63/1035&tab:{J/PASJ/63/1035/table9}&key:source=J/PASJ/63/1035/table9&HTTPPRM:&&-ref=VIZ6157c4720cb5&-out.max=unlimited&-out.form=HTML Table&-order=I&-oc.form=sexa&-out.src=J/PASJ/63/1035/table9&-out=HD&HD=185351&-out=lambda&-out=El&El=Fe&-out=ion&-out=Eplow&-out=loggf&-out=Egam&-out=EW&-out=logA&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&
#-out.src=J/PASJ/63/1035/table9
#-source=J/PASJ/63/1035/table9
#-out=HD
#HD=185351
#-out=lambda
#-out=El
#El=Fe
#-out=ion
#-out=Eplow
#-out=loggf
#-out=Egam
#-out=EW
#-out=logA
#

#RESOURCE=yCat_100631035
#Name: J/PASJ/63/1035
#Title: Stellar parameters and abundances of 99 giants (Wang+, 2011)
#Table	J_PASJ_63_1035_table9:
#Name: J/PASJ/63/1035/table9
#Title: List of measured equivalent widths and calculated abundance values log(A) for the 99 program stars and the Sun
#Column	HD	(I6)	HD number, 0 for the Sun.	[ucd=meta.id;meta.main]
#Column	lambda	(F8.3)	Wavelength in Angstrom	[ucd=em.wl]
#Column	El	(A2)	Element	[ucd=phys.atmol.element]
#Column	ion	(I1)	[1/2] Ionization stage (1=neutral)	[ucd=phys.atmol.ionStage]
#Column	Eplow	(F6.3)	Excitation potential of lower state	[ucd=phys.atmol.excitation]
#Column	loggf	(F6.3)	Oscillation strength log(gf)	[ucd=phys.atmol.collStrength]
#Column	Egam	(F4.1)	[0.8/3.0] Enhancement factor E_{gamma}_	[ucd=phys.damping]
#Column	EW	(F5.1)	Equivalent width in m{AA} (10^-13^m)	[ucd=spect.line.eqWidth;em.radio.20-100MHz]
#Column	logA	(F6.3)	Relative abundance of El (log scale {epsilon})	[ucd=phys.abund]
HD|lambda|El|ion|Eplow|loggf|Egam|EW|logA
 |0.1nm| | |eV|[-]| |0.1pm|[-]
------|--------|--|-|------|------|----|-----|------
185351|6344.155|Fe|1| 2.430|-2.920| 1.3|111.1| 7.672
185351|6745.090|Fe|1| 4.580|-2.170| 1.4| 21.0| 7.583
185351|6380.750|Fe|1| 4.190|-1.380| 1.4| 81.4| 7.570
185351|6408.026|Fe|1| 3.690|-1.110| 1.4|125.2| 7.532
185351|6419.956|Fe|1| 4.730|-0.240| 1.4|111.0| 7.528
185351|6475.630|Fe|1| 2.560|-2.930| 1.4| 95.3| 7.492
185351|6481.878|Fe|1| 2.280|-2.970| 1.2|106.2| 7.422
185351|6496.472|Fe|1| 4.790|-0.570| 1.4| 88.9| 7.532
185351|6498.945|Fe|1| 0.960|-4.700| 1.1| 99.7| 7.420
185351|6518.373|Fe|1| 2.830|-2.750| 1.4| 93.3| 7.586
185351|6551.676|Fe|1| 0.990|-5.790| 1.1| 38.9| 7.466
185351|6569.220|Fe|1| 4.730|-0.570| 1.4| 95.2| 7.571
185351|6575.040|Fe|1| 2.590|-2.770| 1.4|110.6| 7.651
185351|6597.561|Fe|1| 4.790|-1.060| 1.4| 64.6| 7.584
185351|6608.024|Fe|1| 2.280|-4.040| 1.3| 53.0| 7.482
185351|6609.118|Fe|1| 2.560|-2.730| 1.4|109.4| 7.548
185351|6627.560|Fe|1| 4.550|-1.500| 1.4| 53.0| 7.547
185351|6646.932|Fe|1| 2.610|-3.990| 1.4| 39.2| 7.571
185351|6653.911|Fe|1| 4.150|-2.410| 1.4| 25.8| 7.470
185351|6667.455|Fe|1| 2.450|-4.400| 1.4| 26.9| 7.549
185351|6703.576|Fe|1| 2.760|-3.160| 1.4| 74.5| 7.539
185351|6725.353|Fe|1| 4.190|-2.180| 1.4| 39.9| 7.576
185351|6726.673|Fe|1| 4.610|-1.000| 1.4| 67.4| 7.370
185351|6733.151|Fe|1| 4.640|-1.580| 1.4| 42.4| 7.526
185351|6739.520|Fe|1| 1.560|-4.940| 1.2| 47.8| 7.434
185351|6745.090|Fe|1| 4.580|-2.170| 1.4| 21.0| 7.583
185351|6746.932|Fe|1| 2.610|-4.250| 1.4| 20.1| 7.413
185351|6750.164|Fe|1| 2.420|-2.600| 1.3|113.8| 7.323
185351|6752.716|Fe|1| 4.640|-1.200| 1.4| 61.6| 7.497
