#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2021-09-25T03:21:07 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ614e9578cb8ec	
#INFO	-out.max=unlimited	
#INFO	queryParameters=16	
#-oc.form=dec
#-out.max=unlimited
#-order=I
#-out.src=J/PASJ/57/27/tablee2
#-nav=cat:J/PASJ/57/27&tab:{J/PASJ/57/27/tablee2}&key:source=J/PASJ/57/27/tablee2&HTTPPRM:&&-ref=VIZ614e9578cb8ec&-out.max=unlimited&-out.form=HTML Table&-oc.form=sexa&-order=I&-out=HD&HD=186408&-out=Line&-out=Elem&-out=lambda&-out=Chi&-out=loggf&-out=EW&-out=abund1&-out=abund2&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.src=J/PASJ/57/27/tablee2
#-source=J/PASJ/57/27/tablee2
#-out=HD
#HD=186408
#-out=Line
#-out=Elem
#-out=lambda
#-out=Chi
#-out=loggf
#-out=EW
#-out=abund1
#-out=abund2
#

#RESOURCE=yCat_100570027
#Name: J/PASJ/57/27
#Title: Atmospheric parameters of nearby F-K stars (Takeda+, 2005)
#Table	J_PASJ_57_27_tablee2:
#Name: J/PASJ/57/27/tablee2
#Title: EW data and the Fe abundances for the 160 program stars + Sun (999999)
#Column	HD	(A6)	HD number (G1)	[ucd=]
#Column	Line	(I4)	line number	[ucd=]
#Column	Elem	(F6.2)	FeI: 26.00 FeII: 26.01	[ucd=]
#Column	lambda	(F9.3)	wavelength	[ucd=]
#Column	Chi	(F7.3)	lower excitation potential	[ucd=]
#Column	loggf	(F7.3)	adopted log(gf) value	[ucd=]
#Column	EW	(F6.1)	equivalent width	[ucd=]
#Column	abund1	(F8.3)	Fe abundance (sign inversed for Fe II lines) [+A(FeI),-A(FeII)]	[ucd=]
#Column	abund2	(F8.3)	Fe abundance (sign inversed for Fe I lines) [-A(FeI),+A(FeII)]	[ucd=]
HD|Line|Elem|lambda|Chi|loggf|EW|abund1|abund2
 | | |0.1nm|eV| |0.1pm| |
------|----|------|---------|-------|-------|------|--------|--------
186408| 103| 26.00| 5225.525|  0.110| -4.741|  75.8|   7.446|  -7.446
186408| 104| 26.00| 5247.049|  0.087| -4.942|  67.4|   7.433|  -7.433
186408| 105| 26.00| 5250.208|  0.121| -4.859|  69.3|   7.426|  -7.426
186408| 106| 26.00| 5326.140|  3.570| -2.153|  39.9|   7.567|  -7.567
186408| 107| 26.00| 5412.798|  4.440| -1.727|  21.5|   7.546|  -7.546
186408| 108| 26.00| 5491.840|  4.190| -2.139|  15.1|   7.518|  -7.518
186408| 110| 26.00| 5661.348|  4.280| -1.790|  25.3|   7.542|  -7.542
186408| 111| 26.00| 5696.102|  4.550| -1.847|  17.3|   7.634|  -7.634
186408| 112| 26.00| 5701.545|  2.560| -2.087|  88.1|   7.465|  -7.465
186408| 113| 26.00| 5705.466|  4.300| -1.433|  42.3|   7.572|  -7.572
186408| 114| 26.00| 5778.455|  2.590| -3.468|  25.8|   7.579|  -7.579
186408| 115| 26.00| 5784.657|  3.340| -2.615|  26.7|   7.482|  -7.482
186408| 116| 26.00| 5855.091|  4.607| -1.478|  26.2|   7.559|  -7.559
186408| 117| 26.00| 5909.970|  3.210| -2.579|  38.6|   7.567|  -7.567
186408| 118| 26.00| 5956.692|  0.859| -4.537|  54.3|   7.472|  -7.472
186408| 119| 26.00| 6082.708|  2.223| -3.555|  39.0|   7.566|  -7.566
186408| 120| 26.00| 6120.244|  0.910| -5.906|   7.7|   7.681|  -7.681
186408| 121| 26.00| 6136.993|  2.198| -2.910|  65.4|   7.399|  -7.399
186408| 122| 26.00| 6151.617|  2.176| -3.296|  54.2|   7.544|  -7.544
186408| 123| 26.00| 6173.341|  2.223| -2.888|  71.3|   7.515|  -7.515
186408| 124| 26.00| 6180.203|  2.730| -2.615|  59.9|   7.528|  -7.528
186408| 125| 26.00| 6200.314|  2.609| -2.360|  76.6|   7.493|  -7.493
186408| 126| 26.00| 6219.279|  2.198| -2.458|  93.6|   7.498|  -7.498
186408| 127| 26.00| 6232.639|  3.650| -1.197|  85.8|   7.501|  -7.501
