#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2021-09-25T14:30:44 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ614f3264380abb	
#INFO	-out.max=unlimited	
#INFO	queryParameters=16	
#-oc.form=dec
#-out.max=unlimited
#-order=I
#-out.src=J/PASJ/57/27/tablee2
#-nav=cat:J/PASJ/57/27&tab:{J/PASJ/57/27/tablee2}&key:source=J/PASJ/57/27/tablee2&HTTPPRM:&&-ref=VIZ614f3264380abb&-out.max=50&-out.form=HTML Table&-oc.form=sexa&-order=I&-out=HD&HD=186427&-out=Line&-out=Elem&-out=lambda&-out=Chi&-out=loggf&-out=EW&-out=abund1&-out=abund2&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.src=J/PASJ/57/27/tablee2
#-source=J/PASJ/57/27/tablee2
#-out=HD
#HD=186427
#-out=Line
#-out=Elem
#-out=lambda
#-out=Chi
#-out=loggf
#-out=EW
#-out=abund1
#-out=abund2
#

#RESOURCE=yCat_100570027
#Name: J/PASJ/57/27
#Title: Atmospheric parameters of nearby F-K stars (Takeda+, 2005)
#Table	J_PASJ_57_27_tablee2:
#Name: J/PASJ/57/27/tablee2
#Title: EW data and the Fe abundances for the 160 program stars + Sun (999999)
#Column	HD	(A6)	HD number (G1)	[ucd=]
#Column	Line	(I4)	line number	[ucd=]
#Column	Elem	(F6.2)	FeI: 26.00 FeII: 26.01	[ucd=]
#Column	lambda	(F9.3)	wavelength	[ucd=]
#Column	Chi	(F7.3)	lower excitation potential	[ucd=]
#Column	loggf	(F7.3)	adopted log(gf) value	[ucd=]
#Column	EW	(F6.1)	equivalent width	[ucd=]
#Column	abund1	(F8.3)	Fe abundance (sign inversed for Fe II lines) [+A(FeI),-A(FeII)]	[ucd=]
#Column	abund2	(F8.3)	Fe abundance (sign inversed for Fe I lines) [-A(FeI),+A(FeII)]	[ucd=]
HD|Line|Elem|lambda|Chi|loggf|EW|abund1|abund2
 | | |0.1nm|eV| |0.1pm| |
------|----|------|---------|-------|-------|------|--------|--------
186427| 103| 26.00| 5225.525|  0.110| -4.741|  77.5|   7.613|  -7.613
186427| 104| 26.00| 5247.049|  0.087| -4.942|  69.5|   7.594|  -7.594
186427| 105| 26.00| 5250.208|  0.121| -4.859|  70.0|   7.558|  -7.558
186427| 106| 26.00| 5326.140|  3.570| -2.153|  39.3|   7.605|  -7.605
186427| 107| 26.00| 5412.798|  4.440| -1.727|  21.7|   7.583|  -7.583
186427| 108| 26.00| 5491.840|  4.190| -2.139|  16.2|   7.586|  -7.586
186427| 110| 26.00| 5661.348|  4.280| -1.790|  26.8|   7.612|  -7.612
186427| 111| 26.00| 5696.102|  4.550| -1.847|  14.2|   7.553|  -7.553
186427| 112| 26.00| 5701.545|  2.560| -2.087|  87.8|   7.558|  -7.558
186427| 113| 26.00| 5705.466|  4.300| -1.433|  42.5|   7.621|  -7.621
186427| 114| 26.00| 5778.455|  2.590| -3.468|  25.8|   7.623|  -7.623
186427| 115| 26.00| 5784.657|  3.340| -2.615|  30.7|   7.614|  -7.614
186427| 116| 26.00| 5855.091|  4.607| -1.478|  26.4|   7.596|  -7.596
186427| 117| 26.00| 5909.970|  3.210| -2.579|  39.7|   7.639|  -7.639
186427| 118| 26.00| 5956.692|  0.859| -4.537|  58.8|   7.646|  -7.646
186427| 119| 26.00| 6082.708|  2.223| -3.555|  40.0|   7.644|  -7.644
186427| 120| 26.00| 6120.244|  0.910| -5.906|   6.8|   7.666|  -7.666
186427| 121| 26.00| 6136.993|  2.198| -2.910|  69.1|   7.560|  -7.560
186427| 122| 26.00| 6151.617|  2.176| -3.296|  55.1|   7.633|  -7.633
186427| 123| 26.00| 6173.341|  2.223| -2.888|  69.7|   7.571|  -7.571
186427| 124| 26.00| 6180.203|  2.730| -2.615|  60.0|   7.605|  -7.605
186427| 125| 26.00| 6200.314|  2.609| -2.360|  78.1|   7.617|  -7.617
186427| 126| 26.00| 6219.279|  2.198| -2.458|  93.4|   7.592|  -7.592
186427| 127| 26.00| 6232.639|  3.650| -1.197|  87.0|   7.590|  -7.590
