,element,obs_wavelength,obs_ew,obs_ep
0,FeI,5543.937,69.6,4.22
1,FeI,5638.262,83.2,4.22
2,FeI,5679.025,63.3,4.65
3,FeI,5775.08,66.1,4.22
4,FeI,5855.091,28.5,4.61
5,FeI,5916.247,73.9,2.45
6,FeI,5927.786,48.3,4.65
7,FeI,5929.667,47.5,4.55
8,FeI,5930.173,87.6,4.65
9,FeI,6027.05,71.9,4.08
10,FeI,6078.999,51.5,4.65
11,FeI,6093.644,37.7,4.61
12,FeI,6094.364,25.8,4.65
13,FeI,6096.665,48.5,3.98
14,FeI,6120.249,19.4,0.91
15,FeI,6151.617,69.6,2.18
16,FeI,6165.361,53.8,4.14
17,FeI,6187.987,58.9,3.94
18,FeI,6219.279,108.4,2.2
19,FeI,6240.646,69.1,2.22
20,FeI,6252.554,141.3,2.4
21,FeI,6322.69,93.4,2.59
22,FeI,6335.328,117.5,2.2
23,FeI,6336.823,109.3,3.69
24,FeI,6498.939,76.9,0.96
25,FeI,6574.228,62.2,0.99
26,FeI,6593.871,105.6,2.43
27,FeI,6703.567,55.3,2.76
28,FeI,6733.151,33.1,4.64
29,FeI,6750.15,92.0,2.42
30,FeI,6806.847,53.4,2.73
31,FeI,6810.257,55.4,4.61
32,FeI,6820.369,48.1,4.64
33,FeI,6843.648,65.8,4.55
34,FeII,5264.812,45.3,3.23
35,FeII,5425.257,39.8,3.2
36,FeII,6149.258,31.2,3.89
37,FeII,6247.557,45.5,3.89
38,FeII,6369.462,19.4,2.89
39,FeII,6432.68,39.2,2.89
40,FeII,6456.383,54.2,3.9
