#
#   VizieR Astronomical Server vizier
#    Date: 2021-10-02T17:10:30 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ6158922c2257	
#INFO	-out.max=unlimited	
#INFO	queryParameters=11	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/A+A/564/A119&tab:{J/A+A/564/A119/tablea2}&key:source=J/A+A/564/A119/tablea2&HTTPPRM:&&-ref=VIZ6158922c2257&-out.src=J/A+A/564/A119/tablea2&-out=Name&Name=beta Aql&-out=Ion&Ion=Fe I or Fe II&-out=lambda&-out=EW&EW=not null&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-order=I&-oc.form=sexa&-out.max=50&-out.form=HTML Table&undefined=CDS, France&
#-source=J/A+A/564/A119/tablea2
#-order=I
#-out=Name
#Name=beta Aql
#-out=Ion
#-out=lambda
#-out=EW
#EW=not null
#

#RESOURCE=yCat_35640119
#Name: J/A+A/564/A119
#Title: CoRoT red giants abundances (Morel+, 2014)
#Table	J_A_A_564_A119_tablea2:
#Name: J/A+A/564/A119/tablea2
#Title: Equivalent width measurements
#Column	Name	(a11)	Star name	[ucd=meta.id;meta.main]
#Column	Ion	(A5)	Ion designation	[ucd=phys.atmol.ionStage]
#Column	lambda	(F8.3)	Line wavelength {lambda}	[ucd=em.wl;spect.line]
#Column	EW	(F5.1)	? Equivalent width	[ucd=spect.line.eqWidth]
Name|Ion|lambda|EW
 | |0.1nm|0.1pm
-----------|-----|--------|-----
beta Aql   |Fe I |5543.937| 69.6
beta Aql   |Fe I |5638.262| 83.2
beta Aql   |Fe I |5679.025| 63.3
beta Aql   |Fe I |5775.080| 66.1
beta Aql   |Fe I |5806.717| 58.9
beta Aql   |Fe I |5855.091| 28.5
beta Aql   |Fe I |5909.970| 48.7
beta Aql   |Fe I |5916.247| 73.9
beta Aql   |Fe I |5927.786| 48.3
beta Aql   |Fe I |5929.667| 47.5
beta Aql   |Fe I |5930.173| 87.6
beta Aql   |Fe I |6027.050| 71.9
beta Aql   |Fe I |6078.491| 77.0
beta Aql   |Fe I |6078.999| 51.5
beta Aql   |Fe I |6093.644| 37.7
beta Aql   |Fe I |6094.364| 25.8
beta Aql   |Fe I |6096.665| 48.5
beta Aql   |Fe I |6098.280| 23.3
beta Aql   |Fe I |6120.249| 19.4
beta Aql   |Fe I |6151.617| 69.6
beta Aql   |Fe I |6165.361| 53.8
beta Aql   |Fe I |6187.987| 58.9
beta Aql   |Fe I |6219.279|108.4
beta Aql   |Fe I |6240.646| 69.1
beta Aql   |Fe I |6252.554|141.3
beta Aql   |Fe I |6322.690| 93.4
beta Aql   |Fe I |6335.328|117.5
beta Aql   |Fe I |6336.823|109.3
beta Aql   |Fe I |6436.411| 15.6
beta Aql   |Fe I |6498.939| 76.9
beta Aql   |Fe I |6574.228| 62.2
beta Aql   |Fe I |6593.871|105.6
beta Aql   |Fe I |6699.162| 11.5
beta Aql   |Fe I |6703.567| 55.3
beta Aql   |Fe I |6713.771| 26.2
beta Aql   |Fe I |6725.353| 25.9
beta Aql   |Fe I |6726.661| 52.9
beta Aql   |Fe I |6733.151| 33.1
beta Aql   |Fe I |6745.090| 12.3
beta Aql   |Fe I |6750.150| 92.0
beta Aql   |Fe I |6806.847| 53.4
beta Aql   |Fe I |6810.257| 55.4
beta Aql   |Fe I |6820.369| 48.1
beta Aql   |Fe I |6843.648| 65.8
beta Aql   |Fe I |6857.243| 31.4
beta Aql   |Fe I |6862.492| 36.8
beta Aql   |Fe II|5264.812| 45.3
beta Aql   |Fe II|5425.257| 39.8
beta Aql   |Fe II|6149.258| 31.2
beta Aql   |Fe II|6247.557| 45.5
beta Aql   |Fe II|6369.462| 19.4
beta Aql   |Fe II|6432.680| 39.2
beta Aql   |Fe II|6456.383| 54.2
beta Aql   |Na I |6154.226| 46.8
beta Aql   |Na I |6160.747| 68.0
beta Aql   |Mg I |5711.088|114.6
beta Aql   |Al I |6696.023| 49.9
beta Aql   |Al I |6698.673| 30.8
beta Aql   |Si I |5793.073| 43.7
beta Aql   |Si I |5948.541| 80.2
beta Aql   |Si I |6029.869| 16.8
beta Aql   |Si I |6155.134| 69.4
beta Aql   |Si I |6721.848| 41.0
beta Aql   |Ca I |6166.439| 84.7
beta Aql   |Ca I |6455.598| 72.7
beta Aql   |Ca I |6499.650|100.1
beta Aql   |Sc II|6320.851| 14.8
beta Aql   |Ti I |5766.330| 16.6
beta Aql   |Cr I |5787.965| 55.6
beta Aql   |Cr I |6882.475| 43.9
beta Aql   |Cr I |6882.996| 42.2
beta Aql   |Co I |6454.990| 25.5
beta Aql   |Ni I |5593.733| 49.7
beta Aql   |Ni I |5805.213| 45.6
beta Aql   |Ni I |6111.066| 41.1
beta Aql   |Ni I |6176.807| 68.9
beta Aql   |Ni I |6186.709| 37.2
beta Aql   |Ni I |6204.600| 27.8
beta Aql   |Ni I |6223.981| 34.0
beta Aql   |Ni I |6772.313| 55.7
beta Aql   |Ba II|5853.668| 76.6

