#
#   VizieR Astronomical Server vizier
#    Date: 2021-10-02T18:28:03 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ61589645336d	
#INFO	-out.max=unlimited	
#INFO	queryParameters=13	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/MNRAS/450/397&tab:{J/MNRAS/450/397/tablee1}&key:source=J/MNRAS/450/397/tablee1&HTTPPRM:&&-ref=VIZ61589645336d&-out.src=J/MNRAS/450/397/tablee1&-out=Line&-out=Elem&-out=lambda&-out=EP(low)&-out=loggf&-out=EW(Fe)29&EW(Fe)29=not null&-out=logeps(Fe)29&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-order=I&-oc.form=dec&-out.max=unlimited&-out.form=| -Separated-Values&undefined=CDS, France&
#-source=J/MNRAS/450/397/tablee1
#-order=I
#-out=Line
#-out=Elem
#-out=lambda
#-out=EP(low)
#-out=loggf
#-out=EW(Fe)29
#EW(Fe)29=!=0
#-out=logeps(Fe)29
#

#RESOURCE=yCat_74500397
#Name: J/MNRAS/450/397
#Title: Spectroscopic study of RGs in the Kepler field (Takeda+, 2015)
#Table	J_MNRAS_450_397_tablee1:
#Name: J/MNRAS/450/397/tablee1
#Title: EWs of Fe I/Fe II lines and corresponding Fe abundance
#Column	Line	(I4)	[102/2014] Line number (cf. Takeda et al. 2005, J/PASJ/57/27)	[ucd=meta.number]
#Column	Elem	(F6.2)	[26/26.01] Element code (26.00 for Fe I, 26.01 for Fe II)	[ucd=phys.atmol.number]
#Column	lambda	(F9.3)	[4365.8/7495.06] Line (air) wavelength ({AA})	[ucd=em.wl;spect.line]
#Column	EP(low)	(F6.3)	[0.087/6.724] Excitation potential of the lower level	[ucd=phys.atmol.excitation;phys.atmol.level]
#Column	loggf	(F7.3)	[-6.477/0.083] log(gf) value (dex)	[ucd=stat.value;arith.zp]
#Column	EW(Fe)29	(F6.1)	[0/118.4] Fe line equivalent width for KIC 05737655 (m{AA}) (1)	[ucd=spect.line.eqWidth]
#Column	logeps(Fe)29	(F5.2)	[0/7.12] Line-by-line Fe abundance for KIC 05737655 (dex) (1)	[ucd=phys.abund.Fe]
Line|Elem|lambda|EP(low)|loggf|EW(Fe)29|logeps(Fe)29
 | |0.1nm|eV|[-]|0.1pm|[-]
----|------|---------|------|-------|------|-----
 103| 26.00| 5225.525| 0.110| -4.741| 111.1| 6.99
 104| 26.00| 5247.049| 0.087| -4.942|  94.4| 6.78
 105| 26.00| 5250.208| 0.121| -4.859| 104.4| 6.96
 106| 26.00| 5326.140| 3.570| -2.153|  37.8| 6.89
 107| 26.00| 5412.798| 4.440| -1.727|  15.1| 6.87
 108| 26.00| 5491.840| 4.190| -2.139|  10.0| 6.79
 110| 26.00| 5661.348| 4.280| -1.790|  20.7| 6.91
 111| 26.00| 5696.102| 4.550| -1.847|  10.6| 6.92
 112| 26.00| 5701.545| 2.560| -2.087|  95.2| 6.78
 113| 26.00| 5705.466| 4.300| -1.433|  34.0| 6.89
 114| 26.00| 5778.455| 2.590| -3.468|  29.1| 6.89
 115| 26.00| 5784.657| 3.340| -2.615|  25.5| 6.80
 116| 26.00| 5855.091| 4.607| -1.478|  16.2| 6.82
 117| 26.00| 5909.970| 3.210| -2.579|  47.8| 7.06
 118| 26.00| 5956.692| 0.859| -4.537|  81.5| 6.91
 119| 26.00| 6082.708| 2.223| -3.555|  49.6| 6.93
 120| 26.00| 6120.244| 0.910| -5.906|  11.3| 6.86
 121| 26.00| 6136.993| 2.198| -2.910|  80.4| 6.81
 122| 26.00| 6151.617| 2.176| -3.296|  65.3| 6.88
 123| 26.00| 6173.341| 2.223| -2.888|  85.2| 6.91
 124| 26.00| 6180.203| 2.730| -2.615|  65.9| 6.86
 125| 26.00| 6200.314| 2.609| -2.360|  87.2| 6.88
 126| 26.00| 6219.279| 2.198| -2.458| 107.8| 6.89
 127| 26.00| 6232.639| 3.650| -1.197|  83.0| 6.84
 128| 26.00| 6240.645| 2.220| -3.269|  62.9| 6.86
 129| 26.00| 6265.131| 2.176| -2.578| 105.8| 6.93
 130| 26.00| 6271.276| 3.330| -2.751|  25.0| 6.89
 131| 26.00| 6280.616| 0.859| -4.363|  96.8| 6.99
 132| 26.00| 6297.792| 2.223| -2.740|  94.7| 6.93
 133| 26.00| 6311.500| 2.832| -3.141|  37.5| 6.97
 134| 26.00| 6322.690| 2.588| -2.326|  88.9| 6.84
 135| 26.00| 6353.835| 0.915| -6.477|   4.3| 6.60
 139| 26.00| 6574.225| 0.990| -4.980|  59.6| 7.04
 140| 26.00| 6581.207| 1.480| -4.751|  35.9| 6.97
