,element,obs_wavelength,obs_ep,obs_ew
0,FeI,4445.47,0.09,59.8
1,FeI,4602.0,1.61,84.0
2,FeI,4630.12,2.28,90.9
3,FeI,4745.8,3.65,95.4
4,FeI,4779.44,3.42,56.2
5,FeI,4799.41,3.64,48.8
6,FeI,4808.15,3.25,43.2
7,FeI,4924.77,2.28,124.5
8,FeI,4950.1,3.42,95.6
9,FeI,5067.14,4.22,83.8
10,FeI,5225.53,0.11,97.1
11,FeI,5242.49,3.63,98.9
12,FeI,5243.77,4.26,74.7
13,FeI,5247.05,0.09,81.6
14,FeI,5253.46,3.28,93.5
15,FeI,5322.04,2.28,75.5
16,FeI,5379.57,3.69,75.8
17,FeI,5386.33,4.15,46.3
18,FeI,5389.48,4.41,96.4
19,FeI,5409.13,4.37,72.3
20,FeI,5441.34,4.31,49.4
21,FeI,5464.28,4.14,50.2
22,FeI,5491.83,4.18,23.3
23,FeI,5546.51,4.37,66.3
24,FeI,5554.89,4.55,119.3
25,FeI,5560.21,4.43,64.0
26,FeI,5661.35,4.28,38.2
27,FeI,5679.02,4.65,71.6
28,FeI,5701.54,2.56,102.8
29,FeI,5778.45,2.59,37.6
30,FeI,5806.73,4.61,69.7
31,FeI,5809.22,3.88,67.0
32,FeI,5852.22,4.55,55.3
33,FeI,5855.08,4.61,34.2
34,FeI,5856.09,4.29,47.0
35,FeI,5859.59,4.55,85.0
36,FeI,5905.67,4.65,70.5
37,FeI,6079.01,4.65,60.8
38,FeI,6127.91,4.14,63.4
39,FeI,6151.62,2.18,65.5
40,FeI,6157.72,4.07,74.4
41,FeI,6165.36,4.14,58.7
42,FeI,6170.51,4.8,107.0
43,FeI,6173.34,2.22,84.4
44,FeI,6180.2,2.73,75.7
45,FeI,6187.99,3.94,63.1
46,FeI,6213.43,2.22,98.7
47,FeI,6219.28,2.2,108.3
48,FeI,6229.23,2.85,55.2
49,FeI,6265.13,2.18,104.4
50,FeI,6271.28,3.33,38.7
51,FeI,6322.69,2.59,92.5
52,FeI,6335.33,2.2,117.0
53,FeI,6380.74,4.19,66.9
54,FeI,6498.94,0.96,67.6
55,FeI,6593.87,2.43,104.4
56,FeI,6597.56,4.8,57.4
57,FeI,6609.11,2.56,84.7
58,FeI,6625.02,1.01,33.5
59,FeI,6703.57,2.76,53.8
60,FeI,6705.1,4.61,63.1
61,FeI,6713.74,4.8,32.0
62,FeI,6726.67,4.61,61.6
63,FeI,6739.52,1.56,23.0
64,FeI,6750.15,2.42,91.4
65,FeI,6752.71,4.64,52.0
66,FeI,6806.85,2.73,52.7
67,FeI,6810.26,4.61,64.6
68,FeI,6828.59,4.64,70.2
69,FeI,6839.83,2.56,51.1
70,FeI,6842.69,4.64,55.8
71,FeI,6843.66,4.55,76.6
72,FeI,6858.15,4.61,67.2
73,FeI,7090.38,4.23,85.0
74,FeI,7132.99,4.08,56.4
75,FeI,7401.69,4.19,
76,FeI,7583.79,3.02,
77,FeII,4576.33,2.84,68.8
78,FeII,5197.58,3.23,84.0
79,FeII,5234.62,3.22,86.6
80,FeII,5325.55,3.22,45.5
81,FeII,5425.26,3.2,47.7
82,FeII,6084.09,3.2,24.1
83,FeII,6247.55,3.89,54.6
84,FeII,6369.46,2.89,22.1
85,FeII,6432.68,2.89,44.0
86,FeII,7711.72,3.9,
