#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2021-09-25T15:21:29 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ614f35f8389be0	
#INFO	-out.max=unlimited	
#INFO	queryParameters=11	
#-oc.form=dec
#-out.max=unlimited
#-order=I
#-out.src=J/MNRAS/495/3961/tablea1
#-nav=cat:J/MNRAS/495/3961&tab:{J/MNRAS/495/3961/tablea1}&key:source=J/MNRAS/495/3961/tablea1&HTTPPRM:&&-ref=VIZ614f35f8389be0&-out.max=unlimited&-out.form=HTML Table&-oc.form=sexa&-order=I&-out=lambda&-out=Species&-out=LEP&-out=loggf&-out=HIP98767&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.src=J/MNRAS/495/3961/tablea1
#-source=J/MNRAS/495/3961/tablea1
#-out=lambda
#-out=Species
#-out=LEP
#-out=loggf
#-out=HIP98767
#

#RESOURCE=yCat_74953961
#Name: J/MNRAS/495/3961
#Title: Planet-hosting stars chemical compositions (Liu+, 2020)
#Table	J_MNRAS_495_3961_tablea1:
#Name: J/MNRAS/495/3961/tablea1
#Title: Line list and equivalent width measurements adopted for our analysis
#Column	lambda	(F7.2)	Wavelength	[ucd=em.wl]
#Column	Species	(F4.1)	Species	[ucd=meta.note]
#Column	LEP	(F5.2)	Lower excitation potential	[ucd=phys.atmol.excitation;stat.min]
#Column	loggf	(F5.2)	Oscillator strength	[ucd=phys.atmol.oscStrength]
#Column	HIP98767	(F5.1)	? Equivalent width for HIP98767	[ucd=spect.line.eqWidth]
lambda|Species|LEP|loggf|HIP98767
0.1nm| |eV|[cm/s2]|0.1nm
-------|----|-----|-----|-----
5380.34| 6.0| 7.68|-1.61| 27.5
7116.96| 6.0| 8.65|-0.91| 28.6
7771.94| 8.0| 9.15| 0.35|
7774.16| 8.0| 9.15| 0.22|
7775.39| 8.0| 9.15| 0.00|
5682.64|11.0| 2.10|-0.77|144.1
5688.21|11.0| 2.10|-0.48|140.9
6154.23|11.0| 2.10|-1.55| 61.5
6160.75|11.0| 2.10|-1.25| 83.1
5711.09|12.0| 4.34|-1.73|130.9
6696.02|13.0| 3.14|-1.48| 72.3
6698.67|13.0| 3.14|-1.78| 41.5
5665.55|14.0| 4.92|-1.94| 58.0
5684.48|14.0| 4.95|-1.55| 78.2
5690.42|14.0| 4.93|-1.77| 65.0
5701.10|14.0| 4.93|-1.95| 51.3
5793.07|14.0| 4.93|-1.96| 58.6
6125.03|14.0| 5.61|-1.51| 46.1
6142.49|14.0| 5.62|-1.54| 48.9
6145.02|14.0| 5.61|-1.48| 51.8
6237.33|14.0| 5.61|-1.12| 87.1
6243.82|14.0| 5.62|-1.31|
6244.48|14.0| 5.61|-1.36| 64.1
6721.84|14.0| 5.86|-1.06| 65.8
6741.64|14.0| 5.98|-1.65| 24.9
7405.77|14.0| 5.61|-0.72|
7415.96|14.0| 5.61|-0.85|
6757.17|16.0| 7.87|-0.35|
5512.98|20.0| 2.93|-0.56|105.5
6166.44|20.0| 2.52|-1.14| 88.6
6169.04|20.0| 2.52|-0.80|115.3
6455.60|20.0| 2.52|-1.34| 75.4
6471.66|20.0| 2.53|-0.69|110.2
6499.65|20.0| 2.52|-0.82|104.4
5526.82|21.1| 1.77| 0.14| 87.5
5657.88|21.1| 1.51|-0.33|
6604.58|21.1| 1.36|-1.31| 50.4
