#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2021-09-25T16:00:22 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ614f45f13b1230	
#INFO	-out.max=unlimited	
#INFO	queryParameters=12	
#-oc.form=dec
#-out.max=unlimited
#-order=I
#-out.src=J/AJ/120/1841/ew
#-nav=cat:J/AJ/120/1841&tab:{J/AJ/120/1841/ew}&key:source=J/AJ/120/1841/ew&HTTPPRM:&&-ref=VIZ614f45f13b1230&-out.max=50&-out.form=HTML Table&-oc.form=sexa&-order=I&-out=HIP&HIP=107975&-out=Species&-out=Lambda&-out=EW&EW=not null&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.src=J/AJ/120/1841/ew
#-source=J/AJ/120/1841/ew
#-out=HIP
#HIP=107975
#-out=Species
#-out=Lambda
#-out=EW
#EW=not null
#

#RESOURCE=yCat_51201841
#Name: J/AJ/120/1841
#Title: Abundances and Kinematics of Halo and Disk Stars (Fulbright 2000)
#Table	J_AJ_120_1841_ew:
#Name: J/AJ/120/1841/ew
#Title: Equivalent widths for 167 stars + the Sun
#Column	HIP	(I6)	HIP number (0 for the Sun)	[ucd=meta.id;meta.main]
#Column	Species	(A4)	Element and ionization stage	[ucd=phys.atmol.ionStage]
#Column	Lambda	(F7.2)	Vacuum wavelength of line	[ucd=em.wl;spect.line]
#Column	EW	(F5.1)	? Equivalent width	[ucd=spect.line.eqWidth]
HIP|Species|Lambda|EW
 | |0.1nm|0.1pm
------|----|-------|-----
107975|FeI |4643.46| 62.0
107975|FeI |4661.97| 32.0
107975|FeI |4789.65| 78.0
107975|FeI |4800.65| 31.0
107975|FeI |5028.13| 65.0
107975|FeI |5044.21| 74.0
107975|FeI |5048.44| 46.0
107975|FeI |5242.49| 71.0
107975|FeI |5288.53| 34.0
107975|FeI |5379.57| 36.0
107975|FeI |5662.52| 67.0
107975|FeI |5753.12| 49.0
107975|FeI |6082.72| 42.0
107975|FeI |6151.62| 58.0
107975|FeI |6344.15| 67.0
107975|FeI |6481.88| 74.0
107975|FeI |6609.12| 71.0
107975|FeI |7723.20| 44.0
107975|FeII|4582.83| 52.0
107975|FeII|4620.52| 48.0
107975|FeII|4993.35| 31.0
107975|FeII|5197.58| 75.0
107975|FeII|5264.79| 32.0
107975|FeII|5325.56| 30.0
107975|FeII|5414.08| 13.0
107975|FeII|6149.25| 20.0
107975|FeII|6247.56| 38.0
107975|FeII|6416.93| 23.0
107975|FeII|6432.68| 31.0
107975|FeII|6456.39| 43.0
107975|FeII|6516.08| 46.0
107975|FeII|7711.73| 22.0
107975|NaI |5682.65| 25.0
107975|NaI |5688.21| 48.0
107975|NaI |6154.23|  5.6
107975|NaI |6160.75| 13.0
107975|MgI |4703.00|144.0
107975|MgI |5528.42|163.0
107975|MgI |5711.09| 84.0
107975|MgI |7691.57| 26.0
107975|SiI |5645.66| 13.0
107975|SiI |5684.52| 34.0
107975|SiI |5701.12| 19.0
107975|SiI |5793.08| 14.0
107975|SiI |6142.49|  7.6
107975|SiI |6145.02|  9.1
107975|SiI |6243.82| 14.0
107975|SiI |7034.91| 19.0
107975|CaI |4512.27| 12.0
107975|CaI |4578.56| 60.0
107975|CaI |5260.39| 22.0
107975|CaI |5261.71| 79.0
107975|CaI |5581.97| 86.0
107975|CaI |5590.12| 75.0
107975|CaI |6161.30| 55.0
107975|CaI |6166.44| 57.0
107975|CaI |6169.04| 76.0
107975|CaI |6169.56| 95.0
107975|CaI |6455.60| 44.0
107975|CaI |6499.65| 81.0
107975|TiI |4512.73| 88.0
107975|TiI |4555.49| 94.0
107975|TiI |4623.10| 53.0
107975|TiI |4840.87| 82.0
107975|TiI |4913.62| 49.0
107975|TiI |5016.16| 96.0
107975|TiI |5113.44| 36.0
107975|TiI |5145.47| 42.0
107975|TiI |5978.54| 35.0
107975|TiII|4493.52| 76.0
107975|TiII|4583.41| 58.0
107975|TiII|4636.32| 46.0
107975|TiII|4657.20| 88.0
107975|TiII|4708.66| 92.0
107975|TiII|4719.52| 37.0
107975|TiII|4798.53| 90.0
107975|TiII|5418.77| 91.0
107975|VI  |4577.18| 59.0
107975|VI  |4875.49| 75.0
107975|VI  |6090.22| 43.0
107975|CrI |4651.29| 86.0
107975|CrI |5296.69|103.0
107975|CrI |5300.75| 66.0
107975|CrI |5345.81|126.0
107975|CrI |5348.32|110.0
107975|NiI |4904.41| 62.0
107975|NiI |4937.34| 54.0
107975|NiI |4953.21| 38.0
107975|NiI |4998.22| 28.0
107975|NiI |5081.11| 65.0
107975|NiI |5084.08| 58.0
107975|NiI |5115.39| 45.0
107975|NiI |5155.76| 39.0
107975|NiI |6175.37| 17.0
107975|NiI |6176.81| 26.0
107975|NiI |6177.25| 15.0
107975|NiI |6223.99|  8.8
107975|YII |4883.69| 80.0
107975|YII |4900.11| 76.0
107975|YII |5087.43| 65.0
107975|YII |5200.42| 57.0
107975|YII |5205.73| 68.0
107975|BaII|4554.04|216.0
107975|BaII|5853.68| 99.0
107975|BaII|6141.73|148.0
107975|BaII|6496.91|138.0
107975|EuII|6645.13| 13.0

