#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2021-09-25T15:51:24 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ614f454b3af546	
#INFO	-out.max=unlimited	
#INFO	queryParameters=16	
#-oc.form=dec
#-out.max=unlimited
#-order=I
#-nav=cat:J/PASJ/57/27&tab:{J/PASJ/57/27/tablee2}&key:source=J/PASJ/57/27/tablee2&HTTPPRM:&&-ref=VIZ614f454b3af546&-out.max=unlimited&-out.form=HTML Table&-order=I&-oc.form=sexa&-out.src=J/PASJ/57/27/tablee2&-out=HD&HD=207978&-out=Line&-out=Elem&-out=lambda&-out=Chi&-out=loggf&-out=EW&-out=abund1&-out=abund2&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&
#-out.src=J/PASJ/57/27/tablee2
#-source=J/PASJ/57/27/tablee2
#-out=HD
#HD=207978
#-out=Line
#-out=Elem
#-out=lambda
#-out=Chi
#-out=loggf
#-out=EW
#-out=abund1
#-out=abund2
#

#RESOURCE=yCat_100570027
#Name: J/PASJ/57/27
#Title: Atmospheric parameters of nearby F-K stars (Takeda+, 2005)
#Table	J_PASJ_57_27_tablee2:
#Name: J/PASJ/57/27/tablee2
#Title: EW data and the Fe abundances for the 160 program stars + Sun (999999)
#Column	HD	(A6)	HD number (G1)	[ucd=]
#Column	Line	(I4)	line number	[ucd=]
#Column	Elem	(F6.2)	FeI: 26.00 FeII: 26.01	[ucd=]
#Column	lambda	(F9.3)	wavelength	[ucd=]
#Column	Chi	(F7.3)	lower excitation potential	[ucd=]
#Column	loggf	(F7.3)	adopted log(gf) value	[ucd=]
#Column	EW	(F6.1)	equivalent width	[ucd=]
#Column	abund1	(F8.3)	Fe abundance (sign inversed for Fe II lines) [+A(FeI),-A(FeII)]	[ucd=]
#Column	abund2	(F8.3)	Fe abundance (sign inversed for Fe I lines) [-A(FeI),+A(FeII)]	[ucd=]
HD|Line|Elem|lambda|Chi|loggf|EW|abund1|abund2
 | | |0.1nm|eV| |0.1pm| |
------|----|------|---------|-------|-------|------|--------|--------
207978| 103| 26.00| 5225.525|  0.110| -4.741|  20.0|   7.068|  -7.068
207978| 104| 26.00| 5247.049|  0.087| -4.942|  14.3|   7.069|  -7.069
207978| 105| 26.00| 5250.208|  0.121| -4.859|  16.6|   7.093|  -7.093
207978| 106| 26.00| 5326.140|  3.570| -2.153|   8.1|   7.068|  -7.068
207978| 110| 26.00| 5661.348|  4.280| -1.790|   5.8|   7.141|  -7.141
207978| 112| 26.00| 5701.545|  2.560| -2.087|  35.4|   6.912|  -6.912
207978| 113| 26.00| 5705.466|  4.300| -1.433|   8.7|   6.993|  -6.993
207978| 114| 26.00| 5778.455|  2.590| -3.468|   3.4|   7.100|  -7.100
207978| 116| 26.00| 5855.091|  4.607| -1.478|   5.1|   7.043|  -7.043
207978| 119| 26.00| 6082.708|  2.223| -3.555|   6.2|   7.129|  -7.129
207978| 121| 26.00| 6136.993|  2.198| -2.910|  19.5|   7.027|  -7.027
207978| 122| 26.00| 6151.617|  2.176| -3.296|  10.4|   7.070|  -7.070
207978| 123| 26.00| 6173.341|  2.223| -2.888|  21.5|   7.080|  -7.080
207978| 124| 26.00| 6180.203|  2.730| -2.615|  13.4|   7.003|  -7.003
207978| 125| 26.00| 6200.314|  2.609| -2.360|  24.4|   6.966|  -6.966
207978| 126| 26.00| 6219.279|  2.198| -2.458|  42.8|   7.072|  -7.072
207978| 128| 26.00| 6240.645|  2.220| -3.269|   7.8|   6.940|  -6.940
207978| 129| 26.00| 6265.131|  2.176| -2.578|  39.2|   7.103|  -7.103
207978| 132| 26.00| 6297.792|  2.223| -2.740|  24.3|   6.995|  -6.995
207978| 134| 26.00| 6322.690|  2.588| -2.326|  27.0|   6.967|  -6.967
207978| 136| 26.00| 6481.869|  2.279| -2.933|  15.1|   6.969|  -6.969
207978| 137| 26.00| 6498.937|  0.958| -4.632|   5.9|   7.036|  -7.036
207978| 142| 26.00| 6609.110|  2.559| -2.616|  20.4|   7.056|  -7.056
207978| 147| 26.00| 6750.150|  2.424| -2.570|  26.1|   7.024|  -7.024
