#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2021-09-25T15:41:16 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ614f42ad3a8831	
#INFO	-out.max=unlimited	
#INFO	queryParameters=16	
#-oc.form=dec
#-out.max=unlimited
#-order=I
#-out.src=J/A+A/449/127/table1
#-nav=cat:J/A+A/449/127&tab:{J/A+A/449/127/table1}&key:source=J/A+A/449/127/table1&HTTPPRM:&&-ref=VIZ614f42ad3a8831&-out.max=unlimited&-out.form=HTML Table&-oc.form=sexa&-order=I&-out=Name&Name=HD207978&-out=Lambda&-out=El&El=Fe&-out=Ion&-out=LEP&-out=loggf&-out=Egamma&-out=EW&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.src=J/A+A/449/127/table1
#-source=J/A+A/449/127/table1
#-out=Name
#Name=HD207978
#-out=Lambda
#-out=El
#El=Fe
#-out=Ion
#-out=LEP
#-out=loggf
#-out=Egamma
#-out=EW
#

#RESOURCE=yCat_34490127
#Name: J/A+A/449/127
#Title: Chemical abundances of 32 mildly metal-poor stars (Zhang+, 2006)
#Table	J_A_A_449_127_table1:
#Name: J/A+A/449/127/table1
#Title: Equivalent widths data
#Column	Name	(a9)	Star name	[ucd=meta.id;meta.main]
#Column	Lambda	(F8.3)	Wavelength	[ucd=em.wl]
#Column	El	(A2)	Element	[ucd=phys.atmol.element]
#Column	Ion	(A1)	Ionisation	[ucd=phys.atmol.ionStage;phys.atmol.ionization]
#Column	LEP	(F5.2)	Lower excitation potential	[ucd=phys.atmol.excitation;stat.min]
#Column	loggf	(F6.3)	log of oscillator strength	[ucd=phys.atmol.oscStrength]
#Column	Egamma	(F4.1)	Correction factor to Unsoeld broadening	[ucd=instr.param]
#Column	EW	(F5.1)	? Equivalent width	[ucd=spect.line.eqWidth]
Name|Lambda|El|Ion|LEP|loggf|Egamma|EW
 |0.1nm| | |eV| | |0.1pm
---------|--------|--|-|-----|------|----|-----
HD207978 |5569.631|Fe|1| 3.42|-0.571| 1.4|
HD207978 |5586.771|Fe|1| 3.37|-0.120| 1.4|
HD207978 |5618.642|Fe|1| 4.21|-1.275| 1.4| 11.9
HD207978 |5662.524|Fe|1| 4.18|-0.573| 1.4|
HD207978 |5701.557|Fe|1| 2.56|-2.132| 1.4| 39.6
HD207978 |5705.473|Fe|1| 4.30|-1.355| 1.4|
HD207978 |5753.132|Fe|1| 4.26|-0.686| 1.4| 41.8
HD207978 |5775.088|Fe|1| 4.22|-1.165| 1.4| 13.6
HD207978 |5856.096|Fe|1| 4.29|-1.547| 1.4|
HD207978 |5916.257|Fe|1| 2.45|-2.994| 1.3|
HD207978 |5956.706|Fe|1| 0.86|-4.498| 1.1|
HD207978 |6027.059|Fe|1| 4.07|-1.089| 1.4| 26.0
HD207978 |6065.494|Fe|1| 2.61|-1.572| 1.3| 75.0
HD207978 |6136.624|Fe|1| 2.45|-1.405| 1.3|
HD207978 |6137.702|Fe|1| 2.59|-1.370| 1.3| 85.5
HD207978 |6151.623|Fe|1| 2.18|-3.282| 1.2|
HD207978 |6165.363|Fe|1| 4.14|-1.473| 1.4| 16.0
HD207978 |6173.341|Fe|1| 2.22|-2.880| 1.2|
HD207978 |6180.209|Fe|1| 2.73|-2.586| 1.4| 12.7
HD207978 |6191.571|Fe|1| 2.43|-1.416| 1.3|
HD207978 |6200.321|Fe|1| 2.61|-2.442| 1.4| 28.0
HD207978 |6219.287|Fe|1| 2.20|-2.430| 1.2| 40.3
HD207978 |6229.232|Fe|1| 2.84|-2.805| 1.4|
HD207978 |6232.648|Fe|1| 3.65|-1.223| 1.4| 32.9
HD207978 |6240.653|Fe|1| 2.22|-3.269| 1.2|
HD207978 |6246.327|Fe|1| 3.60|-0.877| 1.4| 61.2
HD207978 |6252.565|Fe|1| 2.40|-1.727| 1.3| 74.0
HD207978 |6265.141|Fe|1| 2.18|-2.500| 1.2| 39.0
