#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2021-09-24T17:33:00 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ614e0aad5022e	
#INFO	-out.max=unlimited	
#INFO	queryParameters=13	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/A+A/468/663&tab:{J/A+A/468/663/table3}&key:source=J/A+A/468/663/table3&HTTPPRM:&
#-source=J/A+A/468/663/table3
#-order=I
#-out=Star
#-out=Line
#-out=Elem
#-out=lambda
#-out=EP(low)
#-out=loggf
#-out=EW
#-out=A(Fe)
#

#RESOURCE=yCat_34680663
#Name: J/A+A/468/663
#Title: Li abundances in solar-analog stars (Takeda+, 2007)
#Table	J_A_A_468_663_table3:
#Name: J/A+A/468/663/table3
#Title: EWs of Fe I/Fe II lines and resulting Fe abundances
#Column	Star	(A10)	Star name (Sun/Moon or HIP NNNNNN)	[ucd=meta.id;meta.main]
#Column	Line	(I4)	Line No. (cf. Takeda et al. 2005, Cat. <J/PASJ/57/27>)	[ucd=meta.id;spect.line]
#Column	Elem	(F5.2)	26.00 for Fe I, 26.01 for Fe II	[ucd=meta.note]
#Column	lambda	(F8.3)	Line wavelength	[ucd=em.wl;spect.line]
#Column	EP(low)	(F6.3)	Excitation potential of the lower level	[ucd=phys.atmol.excitation;phys.atmol.level]
#Column	loggf	(F6.3)	log(gf) value	[ucd=stat.value;arith.zp]
#Column	EW	(F5.1)	? Fe line equivalent width	[ucd=spect.line.eqWidth]
#Column	A(Fe)	(F5.2)	? Line-by-line Fe abundance	[ucd=phys.abund.Fe]
Star|Line|Elem|lambda|EP(low)|loggf|EW|A(Fe)
 | | |0.1nm|eV| |0.1pm|
----------|----|-----|--------|------|------|-----|-----
Sun/Moon  | 109|26.00|5600.226| 4.260|-1.429| 39.8| 7.51
Sun/Moon  | 110|26.00|5661.348| 4.280|-1.790| 23.0| 7.49
Sun/Moon  | 111|26.00|5696.102| 4.550|-1.847|     |
Sun/Moon  | 112|26.00|5701.545| 2.560|-2.087| 85.1| 7.49
Sun/Moon  | 113|26.00|5705.466| 4.300|-1.433| 38.6| 7.52
Sun/Moon  | 114|26.00|5778.455| 2.590|-3.468| 23.1| 7.52
Sun/Moon  | 115|26.00|5784.657| 3.340|-2.615| 26.5| 7.49
Sun/Moon  | 116|26.00|5855.091| 4.607|-1.478| 21.1| 7.44
Sun/Moon  | 117|26.00|5909.970| 3.210|-2.579| 36.2| 7.54
Sun/Moon  | 118|26.00|5956.692| 0.859|-4.537| 55.2| 7.54
Sun/Moon  | 119|26.00|6082.708| 2.223|-3.555| 36.2| 7.53
Sun/Moon  | 120|26.00|6120.244| 0.910|-5.906|  5.4| 7.51
Sun/Moon  | 121|26.00|6136.993| 2.198|-2.910| 64.0| 7.43
Sun/Moon  | 122|26.00|6151.617| 2.176|-3.296| 50.1| 7.50
Sun/Moon  | 123|26.00|6173.341| 2.223|-2.888| 68.1| 7.52
Sun/Moon  | 124|26.00|6180.203| 2.730|-2.615| 54.2| 7.46
Sun/Moon  | 125|26.00|6200.314| 2.609|-2.360| 72.4| 7.48
Sun/Moon  | 126|26.00|6219.279| 2.198|-2.458| 86.5| 7.44
Sun/Moon  | 127|26.00|6232.639| 3.650|-1.197|     |
Sun/Moon  | 128|26.00|6240.645| 2.220|-3.269| 48.8| 7.49
Sun/Moon  | 129|26.00|6265.131| 2.176|-2.578| 84.8| 7.49
