,obs_wavelength,element,obs_ep,obs_ew
0,3787.89,FeI,1.01,60.1
1,3820.44,FeI,0.86,104.3
2,3825.89,FeI,0.92,91.1
3,3856.38,FeI,0.05,82.3
4,3865.52,FeI,1.01,58.7
5,3895.67,FeI,0.11,62.7
6,3899.72,FeI,0.09,70.7
7,3902.96,FeI,1.56,56.5
8,3906.49,FeI,0.11,38.2
9,3916.74,FeI,3.24,3.4
10,3917.18,FeI,0.99,12.4
11,3920.27,FeI,0.12,62.2
12,3922.92,FeI,0.05,71.6
13,3930.31,FeI,0.09,72.1
14,4045.81,FeI,1.49,88.7
15,4063.59,FeI,1.56,78.2
16,4071.74,FeI,1.61,74.4
17,4118.56,FeI,3.57,11.9
18,4132.06,FeI,1.61,47.4
19,4134.69,FeI,2.83,8.9
20,4143.88,FeI,1.56,56.1
21,4147.68,FeI,1.49,5.0
22,4157.79,FeI,3.42,4.0
23,4175.64,FeI,2.85,4.5
24,4181.75,FeI,2.83,14.3
25,4187.05,FeI,2.45,19.6
26,4187.81,FeI,2.42,20.3
27,4191.44,FeI,2.47,13.1
28,4199.1,FeI,3.05,25.9
29,4202.04,FeI,1.49,53.3
30,4216.19,FeI,0.0,6.0
31,4222.22,FeI,2.45,9.4
32,4227.44,FeI,3.33,19.9
33,4233.61,FeI,2.48,16.9
34,4235.95,FeI,2.42,28.1
35,4250.13,FeI,2.47,24.4
36,4250.8,FeI,1.56,48.3
37,4260.49,FeI,2.4,46.8
38,4271.16,FeI,2.45,26.6
39,4271.77,FeI,1.49,77.6
40,4282.41,FeI,2.18,19.4
41,4299.25,FeI,2.43,23.6
42,4325.77,FeI,1.61,74.8
43,4375.94,FeI,0.0,14.6
44,4383.56,FeI,1.49,90.8
45,4404.76,FeI,1.56,77.1
46,4415.13,FeI,1.61,55.3
47,4427.32,FeI,0.05,12.6
48,4430.62,FeI,2.22,2.3
49,4442.35,FeI,2.2,6.5
50,4447.73,FeI,2.22,7.5
51,4459.14,FeI,2.18,8.5
52,4461.66,FeI,0.09,8.4
53,4494.57,FeI,2.2,12.0
54,4528.61,FeI,2.18,17.8
55,4531.16,FeI,1.49,4.9
56,4592.66,FeI,1.56,2.0
57,4602.95,FeI,1.49,4.3
58,4871.33,FeI,2.87,13.9
59,4872.14,FeI,2.88,7.9
60,4890.76,FeI,2.88,11.0
61,4891.5,FeI,2.85,21.9
62,4903.32,FeI,2.88,5.8
63,4919.0,FeI,2.87,14.3
64,4920.51,FeI,2.83,30.9
65,5001.87,FeI,3.88,4.7
66,5006.12,FeI,2.83,8.0
67,5049.83,FeI,2.28,6.0
68,5051.64,FeI,0.92,3.2
69,5068.77,FeI,2.94,2.8
70,5133.69,FeI,4.18,4.1
71,5150.85,FeI,0.99,2.3
72,5162.28,FeI,4.18,5.3
73,5171.61,FeI,1.49,11.3
74,5191.47,FeI,3.04,7.1
75,5192.35,FeI,3.0,8.4
76,5194.95,FeI,1.56,5.3
77,5216.28,FeI,1.61,3.9
78,5232.95,FeI,2.94,20.2
79,5266.56,FeI,3.0,9.3
80,5269.55,FeI,0.86,57.4
81,5281.8,FeI,3.04,2.6
82,5283.63,FeI,3.24,5.8
83,5324.19,FeI,3.21,11.6
84,5328.05,FeI,0.92,46.9
85,5328.54,FeI,1.56,8.9
86,5367.47,FeI,4.41,4.0
87,5369.97,FeI,4.37,4.7
88,5371.5,FeI,0.96,35.6
89,5383.38,FeI,4.31,6.4
90,5393.18,FeI,3.24,2.3
91,5397.14,FeI,0.92,22.9
92,5405.78,FeI,0.99,24.5
93,5415.2,FeI,4.39,7.2
94,5424.08,FeI,4.32,8.4
95,5429.71,FeI,0.96,26.6
96,5434.53,FeI,1.01,14.2
97,5446.92,FeI,0.99,23.7
98,5569.63,FeI,3.42,2.7
99,5572.85,FeI,3.4,5.5
100,5586.77,FeI,3.37,9.5
101,5615.66,FeI,3.33,11.6
102,4178.86,FeII,2.58,7.0
103,4233.17,FeII,2.58,22.8
104,4416.82,FeII,2.78,3.8
105,4508.3,FeII,2.86,5.1
106,4520.23,FeII,2.81,4.4
107,4555.89,FeII,2.83,6.2
108,4583.84,FeII,2.81,21.0
109,4923.93,FeII,2.89,34.4
110,5018.45,FeII,2.89,44.7
111,5234.63,FeII,3.22,5.6
112,5275.99,FeII,3.2,7.4
113,5276.0,FeII,3.2,7.4
