,obs_wavelength,element,obs_ew,obs_ep
0,4800.65,FeI,5.9,4.14
1,4924.78,FeI,24.7,2.28
2,4939.69,FeI,35.3,0.86
3,4950.11,FeI,10.5,3.42
4,4962.58,FeI,4.9,4.18
5,4973.1,FeI,19.0,3.96
6,5044.22,FeI,11.0,2.85
7,5067.15,FeI,9.9,4.22
8,5074.75,FeI,40.0,4.22
9,5090.78,FeI,19.8,4.26
10,5109.66,FeI,10.8,4.3
11,5126.2,FeI,8.7,4.26
12,5127.37,FeI,35.1,0.91
13,5131.48,FeI,16.3,2.22
14,5141.75,FeI,18.9,2.42
15,5159.06,FeI,10.2,4.28
16,5187.92,FeI,5.2,4.14
17,5198.72,FeI,29.8,2.22
18,5225.53,FeI,10.8,0.11
19,5242.5,FeI,22.1,3.63
20,5243.78,FeI,6.4,4.26
21,5247.06,FeI,7.5,0.09
22,5250.22,FeI,7.6,0.12
23,5250.65,FeI,33.4,2.2
24,5253.47,FeI,11.7,3.28
25,5263.31,FeI,38.7,3.26
26,5281.8,FeI,53.3,3.04
27,5288.53,FeI,5.5,3.69
28,5307.37,FeI,20.2,1.61
29,5321.11,FeI,2.6,4.43
30,5322.05,FeI,5.7,2.28
31,5339.94,FeI,50.1,3.26
32,5364.88,FeI,40.8,4.44
33,5365.41,FeI,16.0,3.57
34,5367.48,FeI,48.2,4.41
35,5373.71,FeI,7.7,4.47
36,5379.58,FeI,7.2,3.69
37,5389.49,FeI,16.9,4.41
38,5393.18,FeI,48.1,3.24
39,5398.29,FeI,11.0,4.44
40,5409.14,FeI,5.1,4.37
41,5415.21,FeI,60.2,4.39
42,5432.96,FeI,11.4,4.44
43,5445.05,FeI,36.0,4.39
44,5473.91,FeI,14.2,4.15
45,5501.48,FeI,47.1,0.96
46,5543.94,FeI,7.0,4.22
47,5554.9,FeI,16.0,4.55
48,5567.4,FeI,6.0,2.61
49,5569.63,FeI,50.6,3.42
50,5576.1,FeI,34.4,3.43
51,5618.64,FeI,3.9,4.21
52,5624.56,FeI,39.1,3.42
53,5633.95,FeI,8.4,4.99
54,5638.27,FeI,12.5,4.22
55,5679.03,FeI,6.0,4.65
56,5686.54,FeI,9.6,4.55
57,5701.56,FeI,15.0,2.56
58,5717.84,FeI,6.1,4.28
59,5731.77,FeI,6.9,4.26
60,5859.6,FeI,11.6,4.55
61,6003.02,FeI,12.0,3.88
62,6024.07,FeI,29.5,4.55
63,6027.06,FeI,7.9,4.07
64,6151.62,FeI,2.7,2.18
65,6157.73,FeI,6.7,4.07
66,6165.36,FeI,3.5,4.14
67,6173.34,FeI,9.1,2.22
68,6200.32,FeI,10.0,2.61
69,6213.44,FeI,16.0,2.22
70,6219.29,FeI,20.5,2.2
71,6246.33,FeI,31.0,3.6
72,6252.56,FeI,45.8,2.4
73,6265.14,FeI,18.1,2.18
74,6335.34,FeI,29.1,2.2
75,6336.83,FeI,25.0,3.69
76,6355.04,FeI,7.5,2.84
77,6358.69,FeI,7.1,0.86
78,6393.61,FeI,51.9,2.43
79,6411.66,FeI,37.6,3.65
80,6421.36,FeI,36.4,2.28
81,6430.86,FeI,41.7,2.18
82,4993.35,FeII,7.0,2.81
83,5132.67,FeII,2.5,2.81
84,5197.58,FeII,41.4,3.23
85,5234.63,FeII,43.8,3.22
86,5264.81,FeII,10.5,3.23
87,5284.11,FeII,16.0,2.89
88,5325.56,FeII,8.3,3.22
89,5425.26,FeII,7.7,3.2
90,5534.85,FeII,18.6,3.24
91,6149.25,FeII,6.2,3.89
92,6238.39,FeII,8.9,3.89
93,6247.56,FeII,14.3,3.89
94,6416.93,FeII,6.1,3.89
95,6432.68,FeII,9.1,2.89
