,obs_wavelength,element,obs_ew,obs_ep
0,4788.77,FeI,23.0,3.24
1,4800.65,FeI,15.9,4.14
2,4924.78,FeI,48.1,2.28
3,4950.11,FeI,24.3,3.42
4,4962.58,FeI,12.0,4.18
5,4973.1,FeI,36.0,3.96
6,5044.22,FeI,26.7,2.85
7,5054.68,FeI,5.9,3.64
8,5067.15,FeI,21.6,4.22
9,5074.75,FeI,58.4,4.22
10,5090.78,FeI,35.7,4.26
11,5109.66,FeI,23.3,4.3
12,5126.2,FeI,19.9,4.26
13,5127.37,FeI,61.8,0.91
14,5131.48,FeI,37.7,2.22
15,5141.75,FeI,39.6,2.42
16,5145.1,FeI,13.0,2.2
17,5159.06,FeI,21.2,4.28
18,5187.92,FeI,12.4,4.14
19,5198.72,FeI,55.3,2.22
20,5225.53,FeI,32.7,0.11
21,5228.38,FeI,15.2,4.22
22,5242.5,FeI,40.4,3.63
23,5243.78,FeI,15.7,4.26
24,5247.06,FeI,26.1,0.09
25,5250.22,FeI,25.6,0.12
26,5250.65,FeI,58.0,2.2
27,5253.47,FeI,27.4,3.28
28,5263.31,FeI,61.5,3.26
29,5288.53,FeI,13.8,3.69
30,5307.37,FeI,43.9,1.61
31,5321.11,FeI,6.7,4.43
32,5322.05,FeI,16.4,2.28
33,5339.94,FeI,74.1,3.26
34,5364.88,FeI,60.7,4.44
35,5365.41,FeI,32.2,3.57
36,5367.48,FeI,66.9,4.41
37,5373.71,FeI,16.0,4.47
38,5379.58,FeI,15.9,3.69
39,5389.49,FeI,31.4,4.41
40,5393.18,FeI,74.2,3.24
41,5398.29,FeI,22.5,4.44
42,5409.14,FeI,12.2,4.37
43,5432.96,FeI,21.8,4.44
44,5445.05,FeI,53.1,4.39
45,5473.91,FeI,27.2,4.15
46,5501.48,FeI,74.6,0.96
47,5543.94,FeI,15.7,4.22
48,5554.9,FeI,29.1,4.55
49,5560.22,FeI,9.8,4.43
50,5567.4,FeI,14.2,2.61
51,5569.63,FeI,76.8,3.42
52,5576.1,FeI,55.8,3.43
53,5618.64,FeI,9.5,4.21
54,5624.56,FeI,65.5,3.42
55,5633.95,FeI,16.6,4.99
56,5638.27,FeI,25.8,4.22
57,5679.03,FeI,12.7,4.65
58,5686.54,FeI,21.2,4.55
59,5701.56,FeI,36.8,2.56
60,5717.84,FeI,15.0,4.28
61,5731.77,FeI,12.5,4.26
62,5852.23,FeI,5.7,4.55
63,5859.6,FeI,20.4,4.55
64,6003.02,FeI,26.8,3.88
65,6024.07,FeI,46.9,4.55
66,6027.06,FeI,18.3,4.07
67,6079.02,FeI,7.2,4.65
68,6082.72,FeI,5.2,2.22
69,6151.62,FeI,11.0,2.18
70,6157.73,FeI,15.3,4.07
71,6173.34,FeI,21.7,2.22
72,6180.21,FeI,12.1,2.73
73,6200.32,FeI,24.1,2.61
74,6213.44,FeI,36.9,2.22
75,6219.29,FeI,44.0,2.2
76,6246.33,FeI,52.3,3.6
77,6252.56,FeI,70.8,2.4
78,6265.14,FeI,40.6,2.18
79,6335.34,FeI,54.0,2.2
80,6336.83,FeI,44.8,3.69
81,6355.04,FeI,19.8,2.84
82,6358.69,FeI,22.7,0.86
83,6393.61,FeI,77.6,2.43
84,6411.66,FeI,62.2,3.65
85,6421.36,FeI,63.6,2.28
86,6430.86,FeI,66.9,2.18
87,4993.35,FeII,13.0,2.81
88,5132.67,FeII,5.8,2.81
89,5197.58,FeII,53.5,3.23
90,5234.63,FeII,56.8,3.22
91,5264.81,FeII,18.3,3.23
92,5284.11,FeII,29.4,2.89
93,5325.56,FeII,15.3,3.22
94,5414.08,FeII,7.8,3.22
95,5425.26,FeII,14.9,3.2
96,5534.85,FeII,30.0,3.24
97,6084.1,FeII,5.4,3.2
98,6149.25,FeII,11.9,3.89
99,6238.39,FeII,14.7,3.89
100,6247.56,FeII,23.8,3.89
101,6416.93,FeII,11.7,3.89
102,6432.68,FeII,14.8,2.89
103,4788.77,FeI,23.1,3.24
104,4800.65,FeI,14.6,4.14
105,4924.78,FeI,49.5,2.28
106,4939.69,FeI,63.6,0.86
107,4950.11,FeI,23.9,3.42
108,4962.58,FeI,10.8,4.18
109,4973.1,FeI,36.3,3.96
110,5044.22,FeI,26.9,2.85
111,5054.68,FeI,5.8,3.64
112,5074.75,FeI,57.2,4.22
113,5090.78,FeI,35.2,4.26
114,5109.66,FeI,24.1,4.3
115,5126.2,FeI,19.8,4.26
116,5127.37,FeI,62.1,0.91
117,5131.48,FeI,39.1,2.22
118,5141.75,FeI,39.7,2.42
119,5145.1,FeI,12.6,2.2
120,5159.06,FeI,21.1,4.28
121,5187.92,FeI,12.2,4.14
122,5198.72,FeI,54.7,2.22
123,5225.53,FeI,31.7,0.11
124,5228.38,FeI,14.7,4.22
125,5242.5,FeI,40.8,3.63
126,5243.78,FeI,15.4,4.26
127,5247.06,FeI,26.0,0.09
128,5250.22,FeI,26.0,0.12
129,5250.65,FeI,59.3,2.2
130,5253.47,FeI,27.4,3.28
131,5263.31,FeI,62.3,3.26
132,5281.8,FeI,77.2,3.04
133,5288.53,FeI,14.4,3.69
134,5307.37,FeI,44.1,1.61
135,5321.11,FeI,7.3,4.43
136,5322.05,FeI,18.0,2.28
137,5339.94,FeI,75.9,3.26
138,5364.88,FeI,60.0,4.44
139,5365.41,FeI,32.5,3.57
140,5367.48,FeI,69.5,4.41
141,5373.71,FeI,15.9,4.47
142,5379.58,FeI,15.1,3.69
143,5389.49,FeI,31.0,4.41
144,5393.18,FeI,76.8,3.24
145,5409.14,FeI,11.5,4.37
146,5432.96,FeI,22.3,4.44
147,5445.05,FeI,54.0,4.39
148,5473.91,FeI,27.8,4.15
149,5501.48,FeI,73.3,0.96
150,5543.94,FeI,15.3,4.22
151,5554.9,FeI,30.2,4.55
152,5560.22,FeI,9.7,4.43
153,5567.4,FeI,14.3,2.61
154,5569.63,FeI,76.7,3.42
155,5576.1,FeI,56.7,3.43
156,5618.64,FeI,9.2,4.21
157,5624.56,FeI,62.8,3.42
158,5633.95,FeI,15.9,4.99
159,5638.27,FeI,25.1,4.22
160,5679.03,FeI,12.7,4.65
161,5686.54,FeI,22.0,4.55
162,5701.56,FeI,38.1,2.56
163,5717.84,FeI,14.2,4.28
164,5731.77,FeI,12.8,4.26
165,5852.23,FeI,5.9,4.55
166,5859.6,FeI,20.4,4.55
167,6003.02,FeI,26.7,3.88
168,6024.07,FeI,47.4,4.55
169,6027.06,FeI,18.6,4.07
170,6079.02,FeI,6.9,4.65
171,6082.72,FeI,4.7,2.22
172,6151.62,FeI,10.5,2.18
173,6157.73,FeI,15.3,4.07
174,6165.36,FeI,8.3,4.14
175,6173.34,FeI,22.6,2.22
176,6180.21,FeI,11.6,2.73
177,6200.32,FeI,22.0,2.61
178,6213.44,FeI,37.0,2.22
179,6219.29,FeI,42.6,2.2
180,6246.33,FeI,52.9,3.6
181,6252.56,FeI,70.8,2.4
182,6265.14,FeI,40.7,2.18
183,6335.34,FeI,54.0,2.2
184,6336.83,FeI,46.0,3.69
185,6355.04,FeI,20.3,2.84
186,6358.69,FeI,22.1,0.86
187,6393.61,FeI,75.7,2.43
188,6411.66,FeI,60.7,3.65
189,6421.36,FeI,64.1,2.28
190,6430.86,FeI,67.7,2.18
191,4993.35,FeII,14.7,2.81
192,5132.67,FeII,5.1,2.81
193,5197.58,FeII,54.5,3.23
194,5234.63,FeII,55.6,3.22
195,5264.81,FeII,18.0,3.23
196,5284.11,FeII,31.1,2.89
197,5325.56,FeII,15.6,3.22
198,5414.08,FeII,7.4,3.22
199,5425.26,FeII,14.1,3.2
200,5534.85,FeII,29.9,3.24
201,6084.1,FeII,5.6,3.2
202,6149.25,FeII,11.6,3.89
203,6238.39,FeII,15.0,3.89
204,6247.56,FeII,24.2,3.89
205,6416.93,FeII,11.8,3.89
206,6432.68,FeII,14.6,2.89
