,obs_wavelength,element,obs_ew,obs_ep
0,4788.77,FeI,13.4,3.24
1,4800.65,FeI,12.8,4.14
2,4924.78,FeI,32.9,2.28
3,4939.69,FeI,44.2,0.86
4,4950.11,FeI,19.1,3.42
5,4962.58,FeI,6.4,4.18
6,4973.1,FeI,24.3,3.96
7,5044.22,FeI,15.7,2.85
8,5067.15,FeI,15.2,4.22
9,5074.75,FeI,46.0,4.22
10,5090.78,FeI,26.6,4.26
11,5109.66,FeI,16.4,4.3
12,5126.2,FeI,12.6,4.26
13,5127.37,FeI,46.0,0.91
14,5131.48,FeI,22.8,2.22
15,5141.75,FeI,26.9,2.42
16,5145.1,FeI,6.0,2.2
17,5159.06,FeI,13.2,4.28
18,5187.92,FeI,9.0,4.14
19,5198.72,FeI,38.4,2.22
20,5225.53,FeI,15.3,0.11
21,5242.5,FeI,28.6,3.63
22,5243.78,FeI,9.4,4.26
23,5247.06,FeI,12.2,0.09
24,5250.22,FeI,12.8,0.12
25,5250.65,FeI,41.2,2.2
26,5253.47,FeI,16.0,3.28
27,5263.31,FeI,50.6,3.26
28,5281.8,FeI,64.7,3.04
29,5288.53,FeI,8.7,3.69
30,5307.37,FeI,29.1,1.61
31,5321.11,FeI,3.0,4.43
32,5322.05,FeI,9.3,2.28
33,5339.94,FeI,64.6,3.26
34,5364.88,FeI,50.7,4.44
35,5365.41,FeI,21.4,3.57
36,5367.48,FeI,59.7,4.41
37,5373.71,FeI,11.1,4.47
38,5379.58,FeI,10.4,3.69
39,5389.49,FeI,21.8,4.41
40,5393.18,FeI,57.7,3.24
41,5398.29,FeI,16.2,4.44
42,5409.14,FeI,8.4,4.37
43,5432.96,FeI,15.2,4.44
44,5445.05,FeI,43.9,4.39
45,5473.91,FeI,20.8,4.15
46,5501.48,FeI,57.6,0.96
47,5543.94,FeI,10.5,4.22
48,5554.9,FeI,20.6,4.55
49,5560.22,FeI,6.2,4.43
50,5567.4,FeI,8.1,2.61
51,5569.63,FeI,63.9,3.42
52,5576.1,FeI,40.2,3.43
53,5618.64,FeI,5.5,4.21
54,5624.56,FeI,49.7,3.42
55,5633.95,FeI,11.3,4.99
56,5638.27,FeI,14.4,4.22
57,5679.03,FeI,8.4,4.65
58,5686.54,FeI,13.8,4.55
59,5701.56,FeI,23.3,2.56
60,5717.84,FeI,11.3,4.28
61,5731.77,FeI,9.3,4.26
62,5852.23,FeI,3.6,4.55
63,5859.6,FeI,13.2,4.55
64,6003.02,FeI,16.4,3.88
65,6024.07,FeI,36.6,4.55
66,6027.06,FeI,10.5,4.07
67,6079.02,FeI,5.3,4.65
68,6082.72,FeI,4.2,2.22
69,6151.62,FeI,8.2,2.18
70,6157.73,FeI,9.4,4.07
71,6165.36,FeI,5.8,4.14
72,6173.34,FeI,12.8,2.22
73,6180.21,FeI,6.2,2.73
74,6200.32,FeI,14.7,2.61
75,6213.44,FeI,23.9,2.22
76,6219.29,FeI,28.9,2.2
77,6246.33,FeI,39.8,3.6
78,6252.56,FeI,55.0,2.4
79,6265.14,FeI,25.8,2.18
80,6335.34,FeI,36.6,2.2
81,6336.83,FeI,34.4,3.69
82,6355.04,FeI,10.3,2.84
83,6358.69,FeI,10.1,0.86
84,6393.61,FeI,63.6,2.43
85,6411.66,FeI,49.9,3.65
86,6421.36,FeI,48.9,2.28
87,6430.86,FeI,50.4,2.18
88,4993.35,FeII,7.9,2.81
89,5197.58,FeII,43.3,3.23
90,5234.63,FeII,46.3,3.22
91,5264.81,FeII,11.8,3.23
92,5284.11,FeII,20.6,2.89
93,5325.56,FeII,8.9,3.22
94,5414.08,FeII,3.9,3.22
95,5425.26,FeII,8.4,3.2
96,5534.85,FeII,21.6,3.24
97,6084.1,FeII,5.0,3.2
98,6149.25,FeII,8.5,3.89
99,6238.39,FeII,10.0,3.89
100,6247.56,FeII,15.1,3.89
101,6416.93,FeII,7.9,3.89
102,6432.68,FeII,8.7,2.89
