,obs_wavelength,element,obs_ep,loggf,obs_ew,abund
0,4067.98,FeI,3.21,-0.53,44.18,5.19
1,4132.9,FeI,2.84,-0.92,34.56,5.01
2,4158.79,FeI,3.43,-0.7,22.77,5.21
3,4181.76,FeI,2.83,-0.37,73.39,5.15
4,4187.04,FeI,2.45,-0.56,79.06,5.05
5,4187.8,FeI,2.42,-0.55,84.38,5.12
6,4206.7,FeI,0.05,-3.96,53.15,5.45
7,4216.18,FeI,0.0,-3.36,67.05,5.0
8,4250.12,FeI,2.47,-0.41,75.85,4.83
9,4282.4,FeI,2.17,-0.78,76.87,4.93
10,4408.41,FeI,2.2,-1.77,40.04,5.26
11,4427.31,FeI,0.05,-2.92,91.19,5.1
12,4442.34,FeI,2.2,-1.23,43.81,4.79
13,4459.12,FeI,2.17,-1.33,60.79,5.17
14,4476.08,FeI,3.69,-0.34,40.48,5.41
15,4494.56,FeI,2.2,-1.14,57.4,4.95
16,4531.15,FeI,1.48,-2.1,56.63,5.11
17,4592.65,FeI,1.56,-2.46,30.23,5.08
18,4595.36,FeI,3.3,-1.76,5.99,5.42
19,4607.65,FeI,3.26,-1.33,6.23,5.03
20,4647.43,FeI,2.95,-1.35,20.11,5.21
21,4668.13,FeI,3.26,-1.08,24.5,5.41
22,4707.27,FeI,3.24,-0.96,10.52,4.79
23,4889.0,FeI,2.2,-2.55,5.72,4.99
24,4890.76,FeI,2.88,-0.38,59.57,4.89
25,4920.5,FeI,2.83,0.07,76.53,4.68
26,5012.07,FeI,0.86,-2.6,72.36,5.17
27,5041.07,FeI,0.96,-3.09,50.68,5.43
28,5041.76,FeI,1.48,-2.2,54.82,5.18
29,5051.64,FeI,0.91,-2.76,52.29,5.05
30,5079.22,FeI,2.2,-2.1,11.6,4.95
31,5079.74,FeI,0.99,-3.25,24.54,5.16
32,5083.34,FeI,0.96,-2.84,38.61,4.94
33,5098.7,FeI,2.17,-2.03,24.55,5.18
34,5110.41,FeI,0.0,-3.76,42.76,4.94
35,5123.72,FeI,1.01,-3.06,28.65,5.03
36,5162.27,FeI,4.18,0.02,20.8,5.11
37,5166.28,FeI,0.0,-4.12,34.73,5.12
38,5171.6,FeI,1.48,-1.72,72.19,4.97
39,5216.27,FeI,1.61,-2.08,48.49,5.04
40,5254.96,FeI,0.11,-4.76,15.4,5.42
41,5263.31,FeI,3.26,-0.87,13.28,4.83
42,5324.18,FeI,3.21,-0.11,47.57,4.75
43,5328.53,FeI,1.56,-1.85,79.68,5.3
44,5341.02,FeI,1.61,-1.95,44.68,4.87
45,5393.17,FeI,3.24,-0.72,16.81,4.75
46,5397.13,FeI,0.91,-1.98,96.0,5.07
47,5405.78,FeI,0.99,-1.85,93.07,4.97
48,5455.61,FeI,1.01,-2.09,98.54,5.32
49,5501.47,FeI,0.96,-3.05,43.44,5.21
50,5506.78,FeI,0.99,-2.79,60.83,5.28
51,5554.9,FeI,4.55,-0.27,5.83,5.15
52,5569.62,FeI,3.41,-0.52,18.62,4.81
53,5572.84,FeI,3.39,-0.28,43.27,5.05
54,5624.54,FeI,3.41,-0.76,12.91,4.83
55,5709.38,FeI,3.37,-1.01,15.53,5.13
56,6065.48,FeI,2.61,-1.53,20.42,4.97
57,6137.69,FeI,2.59,-1.4,37.87,5.19
58,6191.56,FeI,2.43,-1.42,27.04,4.82
59,6246.32,FeI,3.6,-0.77,7.77,4.77
60,6322.69,FeI,2.59,-2.43,6.23,5.26
61,6494.98,FeI,2.4,-1.27,48.91,5.03
62,6593.87,FeI,2.43,-2.42,8.4,5.21
63,6677.99,FeI,2.69,-1.42,37.7,5.29
64,4515.34,FeII,2.84,-2.36,42.39,5.13
65,4522.63,FeII,2.84,-1.99,64.45,5.15
66,4582.84,FeII,2.84,-3.06,12.03,5.11
67,5018.44,FeII,2.89,-1.34,85.13,4.88
68,5234.63,FeII,3.22,-2.18,22.15,4.91
69,5362.87,FeII,3.2,-2.62,16.88,5.17
