,obs_wavelength,element,obs_ep,loggf,obs_ew,abund
0,4156.8,FeI,2.83,-0.81,47.18,4.92
1,4184.89,FeI,2.83,-0.87,54.88,5.13
2,4206.7,FeI,0.05,-3.96,62.12,5.24
3,4222.21,FeI,2.45,-0.97,58.6,4.85
4,4233.6,FeI,2.48,-0.6,82.15,4.99
5,4250.12,FeI,2.47,-0.41,90.0,4.95
6,4271.15,FeI,2.45,-0.35,92.87,4.92
7,4282.4,FeI,2.17,-0.78,98.4,5.35
8,4291.46,FeI,0.05,-4.08,46.17,5.03
9,4408.41,FeI,2.2,-1.77,42.99,5.06
10,4447.72,FeI,2.22,-1.34,57.65,4.93
11,4489.74,FeI,0.12,-3.9,44.21,4.87
12,4494.56,FeI,2.2,-1.14,76.36,5.08
13,4707.27,FeI,3.24,-0.96,30.73,5.15
14,4736.77,FeI,3.21,-0.67,25.55,4.71
15,4871.32,FeI,2.87,-0.34,75.43,4.94
16,4872.14,FeI,2.88,-0.57,81.46,5.3
17,4890.76,FeI,2.88,-0.38,69.87,4.88
18,4891.49,FeI,2.85,-0.11,99.02,5.13
19,4924.77,FeI,2.28,-2.11,33.59,5.27
20,4939.69,FeI,0.86,-3.25,54.94,5.22
21,4966.09,FeI,3.33,-0.79,27.2,4.98
22,4994.13,FeI,0.91,-2.97,66.27,5.22
23,5001.86,FeI,3.88,-0.01,38.59,5.05
24,5006.12,FeI,2.83,-0.61,66.87,5.0
25,5012.07,FeI,0.86,-2.6,80.43,5.09
26,5022.24,FeI,3.98,-0.33,13.95,4.88
27,5068.77,FeI,2.94,-1.04,44.13,5.13
28,5079.74,FeI,0.99,-3.25,58.67,5.42
29,5083.34,FeI,0.96,-2.84,71.51,5.24
30,5127.36,FeI,0.91,-3.25,40.03,4.99
31,5150.84,FeI,0.99,-3.04,55.25,5.14
32,5151.91,FeI,1.01,-3.32,42.73,5.22
33,5166.28,FeI,0.0,-4.12,63.56,5.25
34,5194.94,FeI,1.56,-2.02,70.89,5.08
35,5202.34,FeI,2.17,-1.87,50.84,5.23
36,5216.27,FeI,1.61,-2.08,60.21,4.98
37,5225.53,FeI,0.11,-4.75,21.74,5.18
38,5242.49,FeI,3.63,-0.97,23.75,5.41
39,5254.96,FeI,0.11,-4.76,27.16,5.32
40,5266.56,FeI,3.0,-0.39,64.5,4.9
41,5283.62,FeI,3.24,-0.45,36.01,4.71
42,5324.18,FeI,3.21,-0.11,77.18,5.08
43,5332.9,FeI,1.56,-2.78,36.71,5.17
44,5341.02,FeI,1.61,-1.95,81.06,5.27
45,5369.96,FeI,4.37,0.54,28.11,4.8
46,5563.6,FeI,4.19,-0.75,8.7,5.27
47,5576.09,FeI,3.43,-1.0,24.26,5.21
48,5701.54,FeI,2.56,-2.22,6.5,4.79
49,6137.69,FeI,2.59,-1.4,46.02,5.09
50,6191.56,FeI,2.43,-1.42,37.84,4.78
51,6229.23,FeI,2.85,-2.81,3.57,5.4
52,6344.15,FeI,2.43,-2.92,4.04,5.1
53,6421.35,FeI,2.28,-2.01,26.39,4.95
54,6430.85,FeI,2.17,-1.95,23.54,4.7
55,6494.98,FeI,2.4,-1.27,64.73,5.07
56,6546.24,FeI,2.76,-1.54,33.05,5.15
57,6592.91,FeI,2.73,-1.47,42.64,5.24
58,4178.86,FeII,2.58,-2.44,29.15,4.72
59,4491.41,FeII,2.85,-2.64,20.37,4.98
60,4508.29,FeII,2.86,-2.25,42.95,5.09
61,4520.22,FeII,2.81,-2.6,35.27,5.24
62,4555.89,FeII,2.83,-2.25,41.62,5.03
63,4576.34,FeII,2.84,-2.92,25.05,5.36
64,4582.84,FeII,2.84,-3.06,17.21,5.29
65,4583.84,FeII,2.81,-1.74,77.9,5.22
66,5234.63,FeII,3.22,-2.18,26.12,5.04
67,5276.0,FeII,3.2,-1.9,30.78,4.83
68,6247.56,FeII,3.89,-2.33,4.55,5.01
69,6456.38,FeII,3.9,-2.08,9.42,5.1
