,obs_wavelength,element,obs_ew,obs_ep
0,3865.52,FeI,128.0,1.01
1,3949.95,FeI,58.5,2.18
2,4114.44,FeI,35.0,2.83
3,4132.06,FeI,124.3,1.61
4,4134.68,FeI,65.1,2.83
5,4143.87,FeI,123.4,1.56
6,4147.67,FeI,58.6,1.48
7,4154.5,FeI,61.9,2.83
8,4157.78,FeI,47.4,3.42
9,4175.64,FeI,55.7,2.85
10,4182.38,FeI,30.6,3.02
11,4184.89,FeI,51.2,2.83
12,4187.04,FeI,88.7,2.45
13,4187.8,FeI,90.8,2.42
14,4191.43,FeI,81.4,2.47
15,4195.33,FeI,54.0,3.33
16,4199.1,FeI,85.6,3.05
17,4202.03,FeI,115.8,1.49
18,4217.55,FeI,44.5,3.43
19,4222.21,FeI,72.5,2.45
20,4233.6,FeI,83.4,2.48
21,4238.81,FeI,56.9,3.4
22,4250.12,FeI,95.3,2.47
23,4250.79,FeI,112.0,1.56
24,4375.93,FeI,77.2,0.0
25,4388.41,FeI,33.7,3.6
26,4415.12,FeI,120.8,1.61
27,4427.31,FeI,78.1,0.05
28,4443.19,FeI,45.4,2.86
29,4447.72,FeI,65.7,2.22
30,4461.65,FeI,68.5,0.09
31,4489.74,FeI,36.7,0.12
32,4494.56,FeI,71.8,2.2
33,4531.15,FeI,58.4,1.48
34,4595.36,FeI,8.5,3.29
35,4602.94,FeI,56.2,1.49
36,4630.12,FeI,12.9,2.28
37,4643.46,FeI,17.2,3.64
38,4647.43,FeI,33.6,2.95
39,4733.59,FeI,24.5,1.49
40,4736.77,FeI,52.7,3.21
41,4786.81,FeI,22.1,3.0
42,4789.65,FeI,24.7,3.53
43,4800.65,FeI,8.3,4.12
44,4871.32,FeI,78.6,2.87
45,4872.14,FeI,72.4,2.88
46,4890.76,FeI,84.7,2.88
47,4891.49,FeI,93.3,2.85
48,4903.31,FeI,55.7,2.88
49,4918.99,FeI,85.0,2.85
50,4920.5,FeI,110.6,2.83
51,4924.77,FeI,22.8,2.28
52,4938.81,FeI,49.3,2.88
53,4939.69,FeI,31.8,0.86
54,5006.12,FeI,74.4,2.83
55,5028.13,FeI,19.8,3.56
56,5049.82,FeI,61.0,2.28
57,5068.77,FeI,51.8,2.94
58,5079.74,FeI,35.3,0.99
59,5083.34,FeI,48.5,0.96
60,5123.72,FeI,41.8,1.01
61,5127.36,FeI,34.2,0.92
62,5131.47,FeI,17.4,2.22
63,5141.74,FeI,18.8,2.42
64,5150.84,FeI,37.7,0.99
65,5151.91,FeI,28.6,1.01
66,5166.28,FeI,36.1,0.0
67,5191.45,FeI,66.5,3.04
68,5192.34,FeI,71.9,3.0
69,5194.94,FeI,61.3,1.56
70,5198.71,FeI,27.1,2.22
71,5216.27,FeI,56.2,1.61
72,5217.39,FeI,32.5,3.21
73,5225.53,FeI,11.0,0.11
74,5232.94,FeI,100.3,2.94
75,5242.49,FeI,23.1,3.63
76,5266.56,FeI,74.3,3.0
77,5281.79,FeI,52.0,3.04
78,5283.62,FeI,62.7,3.24
79,5307.36,FeI,20.6,1.61
80,5322.04,FeI,6.7,2.28
81,5332.9,FeI,26.9,1.55
82,5339.93,FeI,49.7,3.27
83,5364.87,FeI,41.5,4.45
84,5369.96,FeI,54.8,4.37
85,5371.49,FeI,110.5,0.96
86,5379.57,FeI,6.0,3.69
87,5383.37,FeI,63.8,4.31
88,5405.77,FeI,94.2,0.99
89,5501.47,FeI,47.1,0.96
90,5506.78,FeI,53.5,0.99
91,5586.76,FeI,74.8,3.37
92,5662.52,FeI,23.1,4.18
93,5701.54,FeI,14.4,2.56
94,5753.12,FeI,13.9,4.26
95,5816.37,FeI,7.6,4.55
96,6065.48,FeI,42.0,2.61
97,6136.61,FeI,57.3,2.45
98,6137.69,FeI,54.0,2.59
99,6191.56,FeI,55.5,2.43
100,6219.28,FeI,20.5,2.2
101,6230.72,FeI,59.1,2.56
102,6246.32,FeI,30.5,3.6
103,6265.13,FeI,18.3,2.18
104,6355.03,FeI,7.8,2.84
105,6393.6,FeI,51.1,2.43
106,6421.35,FeI,37.7,2.28
107,6430.85,FeI,43.2,2.18
108,6592.91,FeI,39.5,2.73
109,6593.87,FeI,14.3,2.44
110,6677.99,FeI,48.0,2.69
111,6750.15,FeI,9.8,2.42
112,4178.86,FeII,48.8,2.58
113,4233.17,FeII,77.6,2.58
114,4491.41,FeII,30.1,2.86
115,4515.34,FeII,42.0,2.84
116,4555.89,FeII,49.0,2.83
117,4576.34,FeII,22.1,2.84
118,4583.84,FeII,73.4,2.81
119,5197.58,FeII,40.3,3.23
120,5234.63,FeII,45.1,3.22
121,5276.0,FeII,54.5,3.2
122,5414.07,FeII,4.6,3.22
