,obs_wavelength,element,obs_ew,obs_ep
0,3787.88,FeI,37.4,1.01
1,3841.05,FeI,46.9,1.61
2,3865.52,FeI,33.8,1.01
3,3878.02,FeI,37.7,0.96
4,3895.66,FeI,43.6,0.11
5,3899.71,FeI,46.5,0.09
6,3902.95,FeI,35.4,1.56
7,3920.26,FeI,36.8,0.12
8,3922.91,FeI,45.7,0.05
9,4005.24,FeI,27.2,1.56
10,4071.74,FeI,53.7,1.61
11,4132.06,FeI,24.5,1.61
12,4134.68,FeI,2.8,2.83
13,4143.87,FeI,32.5,1.56
14,4187.04,FeI,8.0,2.45
15,4187.8,FeI,6.9,2.42
16,4199.1,FeI,9.6,3.05
17,4202.03,FeI,27.3,1.49
18,4227.43,FeI,7.0,3.33
19,4233.6,FeI,6.2,2.48
20,4250.12,FeI,8.3,2.47
21,4250.79,FeI,25.8,1.56
22,4260.47,FeI,23.3,2.4
23,4271.15,FeI,11.7,2.45
24,4282.4,FeI,7.1,2.18
25,4325.76,FeI,52.8,1.61
26,4375.93,FeI,5.7,0.0
27,4404.75,FeI,52.0,1.56
28,4415.12,FeI,28.7,1.61
29,4442.34,FeI,2.6,2.2
30,4461.65,FeI,3.6,0.09
31,4466.55,FeI,3.5,2.83
32,4890.76,FeI,4.3,2.88
33,4891.49,FeI,8.6,2.85
34,4920.5,FeI,11.7,2.83
35,5232.94,FeI,9.0,2.94
36,5266.56,FeI,3.5,3.0
37,5371.49,FeI,14.3,0.96
38,5429.7,FeI,10.2,0.96
39,4233.17,FeII,7.9,2.58
40,4583.84,FeII,7.7,2.81
