,obs_wavelength,element,obs_ew,obs_ep
0,3865.52,FeI,119.9,1.01
1,3902.95,FeI,125.9,1.56
2,3949.95,FeI,56.8,2.18
3,4114.44,FeI,29.0,2.83
4,4132.06,FeI,119.6,1.61
5,4134.68,FeI,58.8,2.83
6,4143.87,FeI,123.8,1.56
7,4147.67,FeI,55.3,1.48
8,4154.5,FeI,56.7,2.83
9,4157.78,FeI,47.1,3.42
10,4175.64,FeI,48.4,2.85
11,4182.38,FeI,26.5,3.02
12,4184.89,FeI,45.8,2.83
13,4187.04,FeI,80.3,2.45
14,4187.8,FeI,87.6,2.42
15,4191.43,FeI,76.1,2.47
16,4199.1,FeI,81.6,3.05
17,4217.55,FeI,40.6,3.43
18,4233.6,FeI,77.5,2.48
19,4238.81,FeI,53.3,3.4
20,4250.79,FeI,112.8,1.56
21,4375.93,FeI,75.2,0.0
22,4415.12,FeI,123.0,1.61
23,4443.19,FeI,42.8,2.86
24,4447.72,FeI,59.3,2.22
25,4461.65,FeI,66.8,0.09
26,4489.74,FeI,35.3,0.12
27,4494.56,FeI,68.2,2.2
28,4531.15,FeI,54.5,1.48
29,4602.94,FeI,52.3,1.49
30,4630.12,FeI,9.1,2.28
31,4647.43,FeI,27.8,2.95
32,4733.59,FeI,20.5,1.49
33,4786.81,FeI,14.6,3.0
34,4789.65,FeI,20.3,3.53
35,4871.32,FeI,74.6,2.87
36,4872.14,FeI,67.2,2.88
37,4890.76,FeI,76.2,2.88
38,4891.49,FeI,93.6,2.85
39,4903.31,FeI,49.9,2.88
40,4918.99,FeI,82.0,2.85
41,4920.5,FeI,111.6,2.83
42,4924.77,FeI,20.5,2.28
43,4938.81,FeI,40.7,2.88
44,4939.69,FeI,32.0,0.86
45,4966.09,FeI,38.4,3.33
46,4994.13,FeI,40.7,0.92
47,5006.12,FeI,71.6,2.83
48,5123.72,FeI,40.9,1.01
49,5127.36,FeI,32.0,0.92
50,5141.74,FeI,18.0,2.42
51,5150.84,FeI,34.4,0.99
52,5151.91,FeI,26.8,1.01
53,5166.28,FeI,35.7,0.0
54,5191.45,FeI,63.9,3.04
55,5192.34,FeI,68.7,3.0
56,5194.94,FeI,55.6,1.56
57,5198.71,FeI,23.4,2.22
58,5216.27,FeI,51.9,1.61
59,5217.39,FeI,27.1,3.21
60,5225.53,FeI,9.6,0.11
61,5232.94,FeI,95.6,2.94
62,5242.49,FeI,18.4,3.63
63,5266.56,FeI,70.7,3.0
64,5281.79,FeI,48.6,3.04
65,5283.62,FeI,58.2,3.24
66,5307.36,FeI,17.4,1.61
67,5339.93,FeI,45.4,3.27
68,5364.87,FeI,36.0,4.45
69,5367.47,FeI,40.0,4.42
70,5369.96,FeI,47.4,4.37
71,5371.49,FeI,105.1,0.96
72,5379.57,FeI,5.1,3.69
73,5383.37,FeI,56.7,4.31
74,5405.77,FeI,92.1,0.99
75,5410.91,FeI,36.6,4.47
76,5434.52,FeI,79.0,1.01
77,5497.52,FeI,51.9,1.01
78,5501.47,FeI,45.0,0.96
79,5506.78,FeI,50.9,0.99
80,5586.76,FeI,75.4,3.37
81,5662.52,FeI,17.0,4.18
82,5701.54,FeI,12.6,2.56
83,5816.37,FeI,5.2,4.55
84,6065.48,FeI,39.6,2.61
85,6136.61,FeI,53.7,2.45
86,6137.69,FeI,48.9,2.59
87,6213.43,FeI,15.7,2.22
88,6219.28,FeI,19.0,2.2
89,6246.32,FeI,28.2,3.6
90,6265.13,FeI,15.2,2.18
91,6355.03,FeI,6.5,2.84
92,6393.6,FeI,47.7,2.43
93,6593.87,FeI,13.1,2.44
94,6609.11,FeI,5.3,2.56
95,6750.15,FeI,10.5,2.42
96,4178.86,FeII,35.6,2.58
97,4491.41,FeII,24.0,2.86
98,4515.34,FeII,33.6,2.84
99,4555.89,FeII,40.6,2.83
100,4576.34,FeII,14.8,2.84
101,4620.52,FeII,8.0,2.83
102,5197.58,FeII,32.7,3.23
103,5234.63,FeII,36.3,3.22
104,5276.0,FeII,45.6,3.2
105,5325.55,FeII,6.7,3.22
