,obs_wavelength,element,obs_ep,obs_ew
0,3807.54,FeI,2.22,30.2
1,3815.84,FeI,1.49,117.3
2,3827.82,FeI,1.56,102.3
3,3841.05,FeI,1.61,91.1
4,3852.57,FeI,2.18,26.9
5,3902.95,FeI,1.56,82.9
6,3941.28,FeI,3.27,5.0
7,3943.34,FeI,2.2,3.2
8,3948.1,FeI,3.24,14.2
9,3949.95,FeI,2.18,27.7
10,3977.74,FeI,2.2,30.8
11,4001.66,FeI,2.18,7.1
12,4005.24,FeI,1.56,79.0
13,4009.71,FeI,2.22,26.7
14,4058.22,FeI,3.21,6.3
15,4063.59,FeI,1.56,109.9
16,4067.98,FeI,3.21,19.2
17,4070.77,FeI,3.24,10.2
18,4071.74,FeI,1.61,101.7
19,4073.76,FeI,3.27,7.3
20,4076.63,FeI,3.21,18.0
21,4080.21,FeI,3.28,3.8
22,4084.49,FeI,3.33,14.3
23,4132.06,FeI,1.61,80.8
24,4133.86,FeI,3.37,2.9
25,4143.87,FeI,1.56,85.6
26,4147.67,FeI,1.49,22.1
27,4150.25,FeI,3.43,3.2
28,4153.9,FeI,3.4,17.1
29,4158.79,FeI,3.43,6.8
30,4187.04,FeI,2.45,48.3
31,4202.03,FeI,1.49,81.7
32,4233.6,FeI,2.48,43.7
33,4250.79,FeI,1.56,78.4
34,4282.4,FeI,2.18,47.6
35,4337.05,FeI,1.56,36.4
36,4352.73,FeI,2.22,24.0
37,4367.9,FeI,1.61,3.8
38,4383.55,FeI,1.49,124.6
39,4404.75,FeI,1.56,103.1
40,4415.12,FeI,1.61,83.9
41,4430.61,FeI,2.22,13.5
42,4442.34,FeI,2.2,30.2
43,4447.72,FeI,2.22,25.6
44,4459.12,FeI,2.18,31.9
45,4484.22,FeI,3.6,5.6
46,4494.56,FeI,2.2,34.6
47,4517.52,FeI,3.07,1.6
48,4528.61,FeI,2.18,51.3
49,4531.15,FeI,1.49,22.1
50,4592.65,FeI,1.56,12.5
51,4602.94,FeI,1.49,21.7
52,4607.65,FeI,3.27,2.8
53,4619.29,FeI,3.6,2.9
54,4625.05,FeI,3.24,3.7
55,4637.5,FeI,3.28,3.0
56,4668.13,FeI,3.27,4.2
57,4669.17,FeI,3.65,2.4
58,4678.85,FeI,3.6,6.4
59,4707.27,FeI,3.24,7.5
60,4733.59,FeI,1.49,3.7
61,4736.77,FeI,3.21,14.2
62,4745.8,FeI,3.65,2.0
63,4871.32,FeI,2.87,37.6
64,4885.43,FeI,3.88,2.1
65,4890.76,FeI,2.88,36.8
66,4903.31,FeI,2.88,16.8
67,4924.77,FeI,2.28,4.4
68,4946.39,FeI,3.37,4.0
69,4966.09,FeI,3.33,10.6
70,4985.25,FeI,3.93,5.0
71,5001.86,FeI,3.88,13.6
72,5005.71,FeI,3.88,10.2
73,5014.94,FeI,3.94,9.2
74,5022.24,FeI,3.98,5.5
75,5028.13,FeI,3.57,2.8
76,5049.82,FeI,2.28,22.2
77,5079.22,FeI,2.2,7.6
78,5133.69,FeI,4.18,14.7
79,5194.94,FeI,1.56,23.6
80,5198.71,FeI,2.22,5.6
81,5202.34,FeI,2.18,12.4
82,5215.18,FeI,3.27,8.7
83,5216.27,FeI,1.61,19.7
84,5217.39,FeI,3.21,5.1
85,5226.86,FeI,3.04,19.5
86,5227.19,FeI,1.56,66.1
87,5242.49,FeI,3.63,3.5
88,5263.31,FeI,3.27,8.5
89,5273.16,FeI,3.29,4.7
90,5283.62,FeI,3.24,20.6
91,5302.3,FeI,3.28,10.1
92,5307.36,FeI,1.61,5.2
93,5393.17,FeI,3.24,12.0
94,5476.56,FeI,4.1,4.0
95,5569.62,FeI,3.42,13.0
96,5572.84,FeI,3.4,19.4
97,5586.76,FeI,3.37,27.9
98,5615.64,FeI,3.33,33.7
99,5624.54,FeI,3.42,6.9
100,5658.82,FeI,3.4,7.9
101,5662.52,FeI,4.18,2.3
102,5701.55,FeI,2.56,2.1
103,6065.48,FeI,2.61,9.4
104,6219.28,FeI,2.2,4.1
105,6246.32,FeI,3.6,5.6
106,6252.56,FeI,2.4,10.7
107,6265.13,FeI,2.18,3.1
108,6301.5,FeI,3.65,7.0
109,6335.33,FeI,2.2,5.0
110,6336.82,FeI,3.69,3.7
111,6393.6,FeI,2.43,13.7
112,6400.0,FeI,3.6,13.9
113,6411.65,FeI,3.65,6.0
114,6421.35,FeI,2.28,7.5
115,6430.85,FeI,2.18,10.2
116,6546.24,FeI,2.76,4.5
117,6592.91,FeI,2.73,8.9
118,6677.99,FeI,2.69,10.8
119,4178.86,FeII,2.58,19.1
120,4233.17,FeII,2.58,42.0
121,4491.4,FeII,2.86,7.2
122,4515.34,FeII,2.84,12.6
123,4522.63,FeII,2.84,23.9
124,4555.89,FeII,2.83,16.2
125,4576.34,FeII,2.84,5.3
126,4582.84,FeII,2.84,2.6
127,4583.84,FeII,2.81,38.5
128,4620.52,FeII,2.83,1.8
129,4629.34,FeII,2.81,16.3
130,4923.93,FeII,2.89,59.1
131,5197.58,FeII,3.23,10.3
132,5276.0,FeII,3.2,15.4
