,obs_wavelength,element,obs_ew,obs_ep
0,5569.631,FeI,46.7,3.42
1,5586.771,FeI,72.0,3.37
2,5618.642,FeI,4.4,4.21
3,5662.524,FeI,23.8,4.18
4,5753.132,FeI,13.0,4.26
5,6065.494,FeI,46.6,2.61
6,6136.624,FeI,63.0,2.45
7,6137.702,FeI,54.0,2.59
8,6191.571,FeI,56.6,2.43
9,6200.321,FeI,11.9,2.61
10,6219.287,FeI,18.8,2.2
11,6232.648,FeI,16.3,3.65
12,6246.327,FeI,35.2,3.6
13,6252.565,FeI,49.0,2.4
14,6265.141,FeI,25.0,2.18
15,6322.694,FeI,11.4,2.59
16,6335.337,FeI,33.0,2.2
17,6336.83,FeI,27.0,3.69
18,6358.687,FeI,7.0,0.86
19,6393.612,FeI,48.7,2.43
20,6408.026,FeI,17.6,3.69
21,6411.658,FeI,37.0,3.65
22,6430.856,FeI,40.0,2.18
23,6481.878,FeI,9.4,2.28
24,6494.994,FeI,71.8,2.4
25,6593.884,FeI,11.6,2.43
26,6677.997,FeI,44.1,2.69
27,6750.164,FeI,11.0,2.42
28,6855.166,FeI,9.6,4.56
29,6858.155,FeI,6.0,4.61
30,7511.031,FeI,58.0,4.18
31,6149.249,FeII,9.3,3.89
32,6247.562,FeII,17.2,3.89
33,6416.928,FeII,5.0,3.89
34,6432.683,FeII,7.7,2.89
35,6456.391,FeII,17.0,3.9
36,7711.731,FeII,8.0,3.9
