obs_wavelength,Transition,element,obs_ep,obs_ew,abund
3490.574,26.0,FeI,0.05,167.14,5.18
3497.841,26.0,FeI,0.11,111.47,5.09
3608.859,26.0,FeI,1.01,169.70,5.03
3618.768,26.0,FeI,0.99,247.40,5.32
3647.843,26.0,FeI,0.92,188.36,5.05
3689.458,26.0,FeI,2.94,85.91,5.84
3719.935,26.0,FeI,0.00,314.59,5.00
3727.619,26.0,FeI,0.96,128.11,5.00
3743.362,26.0,FeI,0.99,139.86,5.34
3753.611,26.0,FeI,2.18,90.97,6.02
3758.233,26.0,FeI,0.96,198.01,4.95
3763.789,26.0,FeI,0.99,151.38,4.87
3765.539,26.0,FeI,3.24,95.70,5.66
3767.192,26.0,FeI,1.01,133.89,4.88
3786.677,26.0,FeI,1.01,72.70,5.42
3787.880,26.0,FeI,1.01,103.86,4.89
3805.343,26.0,FeI,3.30,59.26,4.95
3815.840,26.0,FeI,1.48,181.61,5.07
3820.425,26.0,FeI,0.86,263.50,4.92
3824.444,26.0,FeI,0.00,195.83,5.43
3825.881,26.0,FeI,0.91,215.23,4.95
3827.823,26.0,FeI,1.56,141.96,5.00
3839.256,26.0,FeI,3.05,27.79,4.49
3840.438,26.0,FeI,0.99,119.20,4.73
3841.048,26.0,FeI,1.61,103.98,4.66
3845.169,26.0,FeI,2.42,27.83,4.88
3846.800,26.0,FeI,3.25,49.20,4.92
3849.967,26.0,FeI,1.01,114.60,5.03
3850.818,26.0,FeI,0.99,129.56,6.23
3852.573,26.0,FeI,2.18,72.06,5.63
3856.372,26.0,FeI,0.05,148.68,5.04
3859.911,26.0,FeI,0.00,246.82,5.02
3863.741,26.0,FeI,2.69,21.43,5.04
3865.523,26.0,FeI,1.01,113.99,5.11
3867.216,26.0,FeI,3.02,39.43,4.86
3878.018,26.0,FeI,0.96,114.95,5.02
3878.573,26.0,FeI,0.09,204.56,5.57
3885.510,26.0,FeI,2.42,32.12,4.68
3886.282,26.0,FeI,0.05,157.38,4.91
3887.048,26.0,FeI,0.91,100.98,4.96
3895.656,26.0,FeI,0.11,105.85,4.85
3899.707,26.0,FeI,0.09,120.17,4.94
3902.946,26.0,FeI,1.56,107.12,5.04
3917.181,26.0,FeI,0.99,68.51,5.15
3920.258,26.0,FeI,0.12,115.93,5.11
3922.912,26.0,FeI,0.05,127.65,5.12
3940.878,26.0,FeI,0.96,71.68,5.66
3949.953,26.0,FeI,2.18,51.50,5.06
3977.741,26.0,FeI,2.20,50.63,4.91
4001.661,26.0,FeI,2.18,24.36,5.03
4005.242,26.0,FeI,1.56,108.75,5.20
4007.272,26.0,FeI,2.76,24.17,5.02
4014.531,26.0,FeI,3.05,41.85,5.07
4021.866,26.0,FeI,2.76,56.24,5.27
4032.627,26.0,FeI,1.49,34.54,5.00
4044.609,26.0,FeI,2.83,25.04,5.05
4058.217,26.0,FeI,3.21,16.84,5.11
4062.441,26.0,FeI,2.85,37.22,5.00
4063.594,26.0,FeI,1.56,160.40,5.16
4067.271,26.0,FeI,2.56,34.64,5.20
4067.978,26.0,FeI,3.21,35.96,4.96
4070.769,26.0,FeI,3.24,21.30,4.96
4071.738,26.0,FeI,1.61,141.13,5.10
4073.763,26.0,FeI,3.27,21.90,5.11
4076.629,26.0,FeI,3.21,47.32,5.12
4079.838,26.0,FeI,2.86,14.34,4.90
4095.970,26.0,FeI,2.59,23.56,5.01
4098.176,26.0,FeI,3.24,19.63,4.99
4109.057,26.0,FeI,3.29,22.93,5.82
4109.802,26.0,FeI,2.85,32.26,4.97
4114.445,26.0,FeI,2.83,20.58,5.00
4120.207,26.0,FeI,2.99,17.69,5.06
4121.802,26.0,FeI,2.83,16.29,5.02
4132.058,26.0,FeI,1.61,109.39,5.33
4132.899,26.0,FeI,2.85,33.18,5.06
4134.678,26.0,FeI,2.83,46.51,4.99
4136.998,26.0,FeI,3.42,27.54,4.97
4143.414,26.0,FeI,3.05,61.19,5.16
4143.868,26.0,FeI,1.56,114.53,5.19
4147.669,26.0,FeI,1.48,53.39,5.11
4153.899,26.0,FeI,3.40,40.28,5.10
4154.498,26.0,FeI,2.83,47.08,5.04
4154.805,26.0,FeI,3.37,38.10,5.10
4156.799,26.0,FeI,2.83,50.91,5.25
4157.780,26.0,FeI,3.42,32.48,5.03
4158.793,26.0,FeI,3.43,17.43,4.91
4174.913,26.0,FeI,0.91,47.82,5.21
4175.636,26.0,FeI,2.85,47.99,5.22
4181.755,26.0,FeI,2.83,62.45,5.13
4182.382,26.0,FeI,3.02,15.17,4.91
4184.892,26.0,FeI,2.83,38.34,5.01
4187.039,26.0,FeI,2.45,72.84,5.06
4187.795,26.0,FeI,2.42,80.96,5.23
4191.430,26.0,FeI,2.47,66.50,5.08
4195.329,26.0,FeI,3.33,35.70,5.10
4196.208,26.0,FeI,3.40,24.50,5.11
4199.095,26.0,FeI,3.05,67.65,4.99
4202.029,26.0,FeI,1.49,103.17,5.08
4216.184,26.0,FeI,0.00,77.78,5.51
4217.545,26.0,FeI,3.43,28.38,5.02
4222.213,26.0,FeI,2.45,52.73,4.95
4227.427,26.0,FeI,3.33,65.58,5.09
4233.603,26.0,FeI,2.48,67.86,5.03
4238.810,26.0,FeI,3.40,39.22,4.98
4247.426,26.0,FeI,3.37,68.83,5.67
4250.119,26.0,FeI,2.47,73.75,4.96
4250.787,26.0,FeI,1.56,99.16,5.08
4260.474,26.0,FeI,2.40,103.03,5.05
4271.154,26.0,FeI,2.45,85.11,5.16
4271.760,26.0,FeI,1.49,137.24,5.06
4282.403,26.0,FeI,2.18,65.79,4.93
4325.762,26.0,FeI,1.61,153.57,5.16
4337.046,26.0,FeI,1.56,60.86,5.00
4352.735,26.0,FeI,2.22,55.36,5.16
4375.930,26.0,FeI,0.00,86.03,5.36
4383.545,26.0,FeI,1.48,181.78,5.04
4388.407,26.0,FeI,3.60,13.07,4.93
4404.750,26.0,FeI,1.56,143.54,5.14
4407.709,26.0,FeI,2.18,28.52,5.15
4415.122,26.0,FeI,1.61,114.10,5.27
4422.568,26.0,FeI,2.85,35.92,5.19
4427.310,26.0,FeI,0.05,88.99,5.43
4430.614,26.0,FeI,2.22,38.89,5.11
4442.339,26.0,FeI,2.20,61.01,5.18
4443.194,26.0,FeI,2.86,32.22,5.04
4447.717,26.0,FeI,2.22,54.92,5.16
4454.381,26.0,FeI,2.83,23.17,5.04
4459.118,26.0,FeI,2.18,64.82,5.30
4461.653,26.0,FeI,0.09,80.32,5.44
4466.552,26.0,FeI,2.83,57.08,5.17
4476.019,26.0,FeI,2.85,62.12,5.54
4484.220,26.0,FeI,3.60,15.18,5.18
4489.739,26.0,FeI,0.12,43.48,5.15
4494.563,26.0,FeI,2.20,65.34,5.18
4528.614,26.0,FeI,2.18,84.88,5.33
4531.148,26.0,FeI,1.48,56.59,5.16
4592.651,26.0,FeI,1.56,41.51,5.24
4595.359,26.0,FeI,3.29,8.44,5.44
4602.941,26.0,FeI,1.49,54.27,5.22
4611.185,26.0,FeI,2.85,14.08,6.19
4630.120,26.0,FeI,2.28,11.54,5.34
4632.912,26.0,FeI,1.61,18.26,5.18
4643.463,26.0,FeI,3.64,4.33,4.89
4647.434,26.0,FeI,2.95,21.47,5.16
