obs_wavelength,element,obs_ep,obs_ew
3852.573,FeI,2.18,78.01
3949.953,FeI,2.18,65.56
4001.661,FeI,2.18,51.11
4032.627,FeI,1.49,67.3
4058.217,FeI,3.21,27.83
4062.441,FeI,2.85,49.74
4067.978,FeI,3.21,47.51
4073.763,FeI,3.27,36.24
4076.629,FeI,3.21,66.66
4098.176,FeI,3.24,41.33
4109.802,FeI,2.85,60.44
4114.445,FeI,2.83,26.73
4121.802,FeI,2.83,29.13
4134.678,FeI,2.83,71.54
4136.998,FeI,3.42,32.64
4139.927,FeI,0.99,55.77
4147.669,FeI,1.48,112.74
4154.498,FeI,2.83,83.85
4154.805,FeI,3.37,49.67
4156.799,FeI,2.83,73.25
4157.78,FeI,3.42,47.66
4158.793,FeI,3.43,21.66
4174.913,FeI,0.91,132.56
4181.755,FeI,2.83,86.72
4184.892,FeI,2.83,44.61
4187.039,FeI,2.45,119.64
4187.795,FeI,2.42,135.57
4195.329,FeI,3.33,49.55
4216.184,FeI,0,193.17
4227.427,FeI,3.33,99.3
4233.603,FeI,2.48,98.99
4238.81,FeI,3.4,49.48
4260.474,FeI,2.4,153.14
4337.046,FeI,1.56,130.81
4352.735,FeI,2.22,120.03
4415.122,FeI,1.61,199.74
4416.817,FeII,2.78,57.94
4422.568,FeI,2.85,73.35
4430.614,FeI,2.22,85.86
4442.339,FeI,2.2,120.79
4443.194,FeI,2.86,64.01
4447.717,FeI,2.22,92.49
4459.118,FeI,2.18,126.76
4476.019,FeI,2.85,90.55
4489.185,FeII,2.83,29.09
4489.739,FeI,0.12,153.35
4491.41,FeII,2.86,32.93
4494.563,FeI,2.2,128.04
4520.224,FeII,2.81,53.63
4528.614,FeI,2.18,168.74
4531.148,FeI,1.48,135.86
4576.34,FeII,2.84,29.28
4620.52,FeII,2.83,17.14
4647.434,FeI,2.95,50.34
4678.846,FeI,3.6,34.09
4710.283,FeI,3.02,33.94
4733.591,FeI,1.49,85.41
4736.772,FeI,3.21,77.89
4859.741,FeI,2.88,93.52
4871.318,FeI,2.87,117.83
4872.137,FeI,2.88,100.27
4890.755,FeI,2.88,127.83
4891.492,FeI,2.85,131.07
4903.31,FeI,2.88,90.68
4918.994,FeI,2.85,123.67
4923.93,FeII,2.89,140.72
4924.77,FeI,2.28,64.25
4938.814,FeI,2.88,73.14
4939.687,FeI,0.86,136.46
4946.388,FeI,3.37,38.09
4966.089,FeI,3.33,56.68
4973.102,FeI,3.96,9.44
4994.13,FeI,0.92,140.66
5001.87,FeI,3.88,44.16
5006.119,FeI,2.83,104.69
5012.068,FeI,0.86,174.48
5014.942,FeI,3.94,28.89
5018.45,FeII,2.89,155.56
5022.236,FeI,3.98,25.66
5028.127,FeI,3.56,16.61
5041.072,FeI,0.96,151.13
5041.756,FeI,1.49,148.85
5044.212,FeI,2.85,19.39
5049.82,FeI,2.28,122.73
5051.634,FeI,0.92,162.12
5060.08,FeI,0,52.39
5068.766,FeI,2.94,74.15
5074.749,FeI,4.22,30.14
5079.224,FeI,2.2,84.41
5079.74,FeI,0.99,141.35
5083.339,FeI,0.96,155.5
5098.697,FeI,2.18,95.76
5123.72,FeI,1.01,152.5
5125.117,FeI,4.22,28.61
5127.36,FeI,0.92,147.06
5131.468,FeI,2.22,50.68
5133.689,FeI,4.18,52.82
5141.739,FeI,2.42,46.84
5142.929,FeI,0.96,152.7
5150.839,FeI,0.99,130.39
5151.911,FeI,1.01,141.23
5162.273,FeI,4.18,34.92
5166.282,FeI,0,176.61
5191.455,FeI,3.04,115.99
5192.344,FeI,3,114.78
5194.942,FeI,1.56,151.43
5197.58,FeII,3.23,63.07
5198.711,FeI,2.22,67.46
5202.336,FeI,2.18,105.62
5216.274,FeI,1.61,134.65
5217.39,FeI,3.21,44.93
5225.526,FeI,0.11,123.1
5232.94,FeI,2.94,136.45
5234.63,FeII,3.22,64.19
5242.491,FeI,3.63,22.1
5247.05,FeI,0.09,111.61
5250.21,FeI,0.12,103.67
5250.646,FeI,2.2,85.58
5254.956,FeI,0.11,126.61
5263.305,FeI,3.27,45.31
5266.555,FeI,3,107.59
5276,FeII,3.2,75.2
5281.79,FeI,3.04,76.03
5283.621,FeI,3.24,89.49
5284.08,FeII,2.89,28.97
5302.3,FeI,3.28,70.81
5307.361,FeI,1.61,80.34
5322.04,FeI,2.28,21.19
5324.179,FeI,3.21,112.44
5325.55,FeII,3.22,14.37
5328.039,FeI,0.92,275.72
5328.531,FeI,1.56,167.08
5332.9,FeI,1.55,96.7
5339.93,FeI,3.27,72.85
5364.871,FeI,4.45,34.1
5365.4,FeI,3.56,14.99
5367.467,FeI,4.42,38.56
5369.962,FeI,4.37,50.18
5383.369,FeI,4.31,62.39
5393.168,FeI,3.24,73.59
5410.91,FeI,4.47,37.65
5415.199,FeI,4.39,52.59
5424.068,FeI,4.32,64.71
5497.516,FeI,1.01,163.23
5501.465,FeI,0.96,160.42
5506.779,FeI,0.99,172.42
