,element,obs_wavelength,obs_ep,loggf,obs_ew,abund,abund_err
0,FeI,3447.280,2.2,-1.020,17.11,4.791,0.048
1,FeI,3451.910,2.22,-1.000,19.97,4.883,0.046
2,FeI,3490.570,0.05,-1.100,91.29,5.151,0.027
3,FeI,3540.120,2.87,-0.710,10.21,4.835,0.05
4,FeI,3618.770,0.99,-0.000,97.4,4.989,0.02
5,FeI,3647.840,0.92,-0.190,95.13,4.785,0.026
6,FeI,3786.680,1.01,-2.220,21.59,4.837,0.019
7,FeI,3787.880,1.01,-0.860,76.7,4.917,0.015
8,FeI,3805.340,3.3,0.310,37.84,4.864,0.011
9,FeI,3827.820,1.56,0.060,90.03,4.886,0.011
10,FeI,3840.440,0.99,-0.510,87.49,4.848,0.012
11,FeI,3849.970,1.01,-0.870,79.37,4.979,0.018
12,FeI,3856.370,0.05,-1.290,94.66,5.021,0.015
13,FeI,3865.520,1.01,-0.980,74.54,4.937,0.012
14,FeI,3878.020,0.96,-0.910,79.3,4.962,0.016
15,FeI,3895.660,0.11,-1.670,82.14,5.038,0.013
16,FeI,3899.710,0.09,-1.530,87.32,5.05,0.018
17,FeI,3902.950,1.56,-0.470,73.08,4.896,0.015
18,FeI,3920.260,0.12,-1.750,80.77,5.074,0.011
19,FeI,3922.910,0.05,-1.650,86.82,5.106,0.012
20,FeI,3949.950,2.18,-1.250,17.09,4.83,0.012
21,FeI,3977.740,2.2,-1.120,20.39,4.816,0.015
22,FeI,4005.240,1.56,-0.610,68.33,4.876,0.009
23,FeI,4063.590,1.56,0.060,98.55,5.052,0.008
24,FeI,4067.980,3.21,-0.530,15.98,5.03,0.017
25,FeI,4071.740,1.61,-0.020,92.22,5.013,0.007
26,FeI,4132.060,1.61,-0.680,71.38,5.058,0.011
27,FeI,4134.680,2.83,-0.650,21.35,4.954,0.014
28,FeI,4143.870,1.56,-0.510,73.79,4.91,0.008
29,FeI,4147.670,1.49,-2.100,13.35,4.874,0.011
30,FeI,4154.500,2.83,-0.690,17.51,4.879,0.014
31,FeI,4156.800,2.83,-0.810,16.46,4.965,0.014
32,FeI,4157.780,3.42,-0.400,11.26,4.908,0.02
33,FeI,4175.640,2.85,-0.830,16.62,5.007,0.012
34,FeI,4181.760,2.83,-0.370,31.31,4.919,0.006
35,FeI,4184.890,2.83,-0.870,12.28,4.869,0.02
36,FeI,4187.040,2.45,-0.560,36.75,4.864,0.008
37,FeI,4187.800,2.42,-0.550,40.33,4.902,0.009
38,FeI,4191.430,2.47,-0.670,31.63,4.879,0.008
39,FeI,4195.330,3.33,-0.490,11.79,4.935,0.016
40,FeI,4199.100,3.05,0.160,41.32,4.82,0.008
41,FeI,4202.030,1.49,-0.710,70.18,4.929,0.009
42,FeI,4216.180,0.0,-3.360,19.1,4.887,0.015
43,FeI,4217.550,3.43,-0.480,10.52,4.959,0.019
44,FeI,4222.210,2.45,-0.970,20.7,4.888,0.013
45,FeI,4227.430,3.33,0.270,41.59,4.974,0.007
46,FeI,4233.600,2.48,-0.600,34.4,4.877,0.007
47,FeI,4238.810,3.4,-0.230,17.26,4.937,0.009
48,FeI,4250.120,2.47,-0.410,44.52,4.895,0.006
49,FeI,4250.790,1.56,-0.710,68.29,4.933,0.011
50,FeI,4260.470,2.4,0.080,69.3,4.923,0.011
51,FeI,4271.150,2.45,-0.350,47.33,4.875,0.007
52,FeI,4271.760,1.49,-0.160,93.53,5.037,0.008
53,FeI,4282.400,2.18,-0.780,36.26,4.818,0.008
54,FeI,4325.760,1.61,0.010,91.96,4.928,0.011
55,FeI,4352.730,2.22,-1.290,17.66,4.893,0.014
56,FeI,4375.930,0.0,-3.030,29.37,4.804,0.009
57,FeI,4404.750,1.56,-0.140,92.44,5.023,0.007
58,FeI,4415.120,1.61,-0.620,71.57,4.958,0.01
59,FeI,4427.310,0.05,-3.040,31.5,4.907,0.009
60,FeI,4442.340,2.2,-1.250,21.05,4.926,0.009
61,FeI,4447.720,2.22,-1.360,17.16,4.94,0.013
62,FeI,4461.650,0.09,-3.210,20.47,4.841,0.008
63,FeI,4466.550,2.83,-0.600,21.54,4.887,0.007
64,FeI,4494.560,2.2,-1.140,23.52,4.878,0.009
65,FeI,4531.150,1.48,-2.160,13.68,4.907,0.013
66,FeI,4602.940,1.49,-2.220,11.64,4.89,0.013
67,FeI,4871.320,2.87,-0.340,27.37,4.79,0.01
68,FeI,4872.140,2.88,-0.570,16.82,4.741,0.01
69,FeI,4890.760,2.88,-0.380,26.83,4.826,0.007
70,FeI,4891.490,2.85,-0.110,40.33,4.825,0.008
71,FeI,4903.310,2.88,-0.890,11.33,4.854,0.024
72,FeI,4918.990,2.86,-0.340,30.66,4.854,0.008
73,FeI,4920.500,2.83,0.070,51.43,4.863,0.008
74,FeI,5001.860,3.88,-0.010,15.36,5.07,0.051
75,FeI,5005.710,3.88,-0.120,10.37,4.978,0.04
76,FeI,5006.120,2.83,-0.610,19.65,4.815,0.031
77,FeI,5049.820,2.28,-1.350,16.82,4.942,0.029
78,FeI,5051.630,0.92,-2.800,13.47,4.968,0.028
79,FeI,5133.690,4.18,0.360,14.63,4.95,0.025
80,FeI,5171.600,1.49,-1.790,28.4,4.931,0.017
81,FeI,5191.450,3.04,-0.550,18.81,4.921,0.023
82,FeI,5192.340,3.0,-0.420,22.91,4.869,0.018
83,FeI,5194.940,1.56,-2.090,13.12,4.853,0.019
84,FeI,5216.270,1.61,-2.150,12.22,4.926,0.021
85,FeI,5232.940,2.94,-0.060,38.52,4.809,0.013
86,FeI,5266.560,3.0,-0.390,25.51,4.902,0.018
87,FeI,5283.620,3.24,-0.520,16.34,5.0,0.024
88,FeI,5324.180,3.21,-0.110,26.16,4.835,0.016
89,FeI,5341.020,1.61,-1.950,18.91,4.952,0.017
90,FeI,5369.960,4.37,0.540,12.28,4.85,0.038
91,FeI,5371.490,0.96,-1.640,60.18,4.969,0.019
92,FeI,5383.370,4.31,0.650,18.07,4.891,0.022
93,FeI,5397.130,0.92,-1.990,45.42,4.941,0.018
94,FeI,5405.770,0.99,-1.840,48.72,4.93,0.016
95,FeI,5415.200,4.39,0.640,17.3,4.95,0.022
96,FeI,5429.700,0.96,-1.880,49.81,4.964,0.013
97,FeI,5434.520,1.01,-2.120,34.98,4.932,0.016
98,FeI,5506.780,0.99,-2.800,11.43,4.929,0.031
99,FeI,5586.760,3.37,-0.110,20.28,4.824,0.011
100,FeI,6136.610,2.45,-1.400,12.53,4.957,0.021
101,FeI,6191.560,2.43,-1.420,10.22,4.854,0.029
102,FeI,6230.720,2.56,-1.280,13.29,4.97,0.021
103,FeI,6393.600,2.43,-1.580,10.89,5.038,0.023
104,FeI,6494.980,2.4,-1.270,17.52,4.944,0.016
105,FeI,7511.020,4.18,0.120,10.09,4.933,0.031
106,FeII,4173.450,2.58,-2.380,25.69,4.948,0.011
107,FeII,4178.860,2.58,-2.510,18.14,4.872,0.014
108,FeII,4233.160,2.58,-2.020,41.21,4.934,0.007
109,FeII,4303.170,2.7,-2.520,15.19,4.889,0.013
110,FeII,4385.380,2.78,-2.640,10.92,4.911,0.015
111,FeII,4416.820,2.78,-2.570,11.57,4.867,0.016
112,FeII,4508.280,2.86,-2.420,16.42,4.969,0.012
113,FeII,4515.340,2.84,-2.600,12.71,4.996,0.012
114,FeII,4522.630,2.84,-2.290,26.11,5.092,0.008
115,FeII,4555.890,2.83,-2.400,16.63,4.926,0.013
116,FeII,4583.830,2.81,-1.940,37.3,4.962,0.007
117,FeII,5197.580,3.23,-2.220,12.32,4.938,0.036
118,FeII,5234.630,3.22,-2.180,12.43,4.894,0.026
119,FeII,5276.000,3.2,-2.010,17.74,4.891,0.023
