,element,obs_wavelength,obs_ep,loggf,obs_ew,abund,abund_err
0,FeI,3406.800,2.22,-0.960,17.98,4.822,0.033
1,FeI,3424.280,2.18,-0.700,24.25,4.708,0.081
2,FeI,3440.990,0.05,-0.960,95.63,5.165,0.031
3,FeI,3447.280,2.2,-1.020,13.55,4.703,0.046
4,FeI,3450.330,2.22,-0.900,16.52,4.71,0.043
5,FeI,3451.910,2.22,-1.000,19.97,4.921,0.045
6,FeI,3476.700,0.12,-1.510,73.82,5.044,0.029
7,FeI,3490.570,0.05,-1.100,91.29,5.165,0.026
8,FeI,3540.120,2.87,-0.710,10.21,4.872,0.049
9,FeI,3565.380,0.96,-0.130,96.48,5.109,0.03
10,FeI,3608.860,1.01,-0.100,97.9,5.137,0.017
11,FeI,3618.770,0.99,-0.000,97.79,5.015,0.02
12,FeI,3647.840,0.92,-0.190,95.13,4.783,0.028
13,FeI,3727.620,0.96,-0.630,82.8,4.854,0.021
14,FeI,3763.790,0.99,-0.240,93.61,4.795,0.012
15,FeI,3765.540,3.24,0.480,44.26,4.803,0.012
16,FeI,3786.680,1.01,-2.220,21.59,4.881,0.018
17,FeI,3787.880,1.01,-0.860,76.7,4.92,0.015
18,FeI,3805.340,3.3,0.310,37.84,4.885,0.011
19,FeI,3827.820,1.56,0.060,89.49,4.87,0.014
20,FeI,3840.440,0.99,-0.510,85.05,4.779,0.017
21,FeI,3841.050,1.61,-0.040,78.16,4.684,0.016
22,FeI,3849.970,1.01,-0.870,79.37,4.984,0.017
23,FeI,3856.370,0.05,-1.290,94.66,5.021,0.015
24,FeI,3865.520,1.01,-0.980,74.54,4.945,0.012
25,FeI,3878.020,0.96,-0.910,79.03,4.959,0.012
26,FeI,3895.660,0.11,-1.670,79.97,4.972,0.02
27,FeI,3899.710,0.09,-1.530,87.32,5.051,0.018
28,FeI,3902.950,1.56,-0.470,73.08,4.901,0.014
29,FeI,3920.260,0.12,-1.750,80.59,5.074,0.013
30,FeI,3922.910,0.05,-1.650,85.77,5.075,0.011
31,FeI,3949.950,2.18,-1.250,17.09,4.866,0.011
32,FeI,3977.740,2.2,-1.120,20.39,4.852,0.015
33,FeI,4005.240,1.56,-0.610,68.33,4.887,0.009
34,FeI,4063.590,1.56,0.060,98.55,5.052,0.009
35,FeI,4067.980,3.21,-0.530,15.98,5.059,0.017
36,FeI,4071.740,1.61,-0.020,92.31,5.015,0.009
37,FeI,4132.060,1.61,-0.680,70.77,5.049,0.008
38,FeI,4134.680,2.83,-0.650,21.36,4.983,0.014
39,FeI,4143.870,1.56,-0.510,73.79,4.917,0.008
40,FeI,4147.670,1.49,-2.100,13.42,4.919,0.011
41,FeI,4154.500,2.83,-0.690,16.41,4.874,0.015
42,FeI,4156.800,2.83,-0.810,16.54,4.998,0.011
43,FeI,4157.780,3.42,-0.400,11.14,4.93,0.021
44,FeI,4175.640,2.85,-0.830,15.74,5.009,0.011
45,FeI,4181.760,2.83,-0.370,31.37,4.948,0.009
46,FeI,4184.890,2.83,-0.870,12.19,4.897,0.014
47,FeI,4187.040,2.45,-0.560,36.75,4.894,0.007
48,FeI,4187.800,2.42,-0.550,39.96,4.923,0.005
49,FeI,4191.430,2.47,-0.670,31.0,4.896,0.009
50,FeI,4195.330,3.33,-0.490,11.88,4.967,0.018
51,FeI,4199.100,3.05,0.160,41.41,4.845,0.008
52,FeI,4202.030,1.49,-0.710,70.18,4.94,0.009
53,FeI,4216.180,0.0,-3.360,18.63,4.926,0.009
54,FeI,4217.550,3.43,-0.480,10.52,4.987,0.02
55,FeI,4222.210,2.45,-0.970,19.9,4.9,0.011
56,FeI,4227.430,3.33,0.270,41.14,4.985,0.01
57,FeI,4233.600,2.48,-0.600,34.3,4.905,0.007
58,FeI,4238.810,3.4,-0.230,17.18,4.962,0.011
59,FeI,4250.120,2.47,-0.410,44.33,4.917,0.005
60,FeI,4250.790,1.56,-0.710,68.28,4.946,0.008
61,FeI,4260.470,2.4,0.080,68.96,4.924,0.009
62,FeI,4271.150,2.45,-0.350,47.1,4.895,0.008
63,FeI,4271.760,1.49,-0.160,93.4,5.034,0.007
64,FeI,4282.400,2.18,-0.780,35.86,4.838,0.008
65,FeI,4325.760,1.61,0.010,91.87,4.926,0.008
66,FeI,4352.730,2.22,-1.290,17.41,4.922,0.011
67,FeI,4375.930,0.0,-3.030,29.23,4.852,0.008
68,FeI,4404.750,1.56,-0.140,92.27,5.021,0.007
69,FeI,4415.120,1.61,-0.620,71.51,4.967,0.008
70,FeI,4427.310,0.05,-3.040,31.03,4.946,0.008
71,FeI,4442.340,2.2,-1.250,20.39,4.944,0.01
72,FeI,4447.720,2.22,-1.360,16.4,4.952,0.012
73,FeI,4461.650,0.09,-3.210,19.98,4.88,0.01
74,FeI,4466.550,2.83,-0.600,20.96,4.902,0.009
75,FeI,4494.560,2.2,-1.140,23.52,4.914,0.008
76,FeI,4531.150,1.48,-2.160,13.26,4.934,0.012
77,FeI,4602.940,1.49,-2.220,11.64,4.932,0.013
78,FeI,4871.320,2.87,-0.340,27.37,4.82,0.01
79,FeI,4872.140,2.88,-0.570,15.85,4.742,0.011
80,FeI,4890.760,2.88,-0.380,26.74,4.854,0.008
81,FeI,4891.490,2.85,-0.110,40.26,4.851,0.006
82,FeI,4903.310,2.88,-0.890,11.28,4.885,0.016
83,FeI,4918.990,2.86,-0.340,30.49,4.88,0.007
84,FeI,4920.500,2.83,0.070,51.43,4.885,0.007
85,FeI,4994.130,0.92,-3.080,10.9,5.19,0.044
86,FeI,5001.860,3.88,-0.010,13.37,5.022,0.063
87,FeI,5005.710,3.88,-0.120,10.83,5.025,0.057
88,FeI,5006.120,2.83,-0.610,19.65,4.846,0.031
89,FeI,5049.820,2.28,-1.350,16.82,4.98,0.028
90,FeI,5051.630,0.92,-2.800,13.47,5.014,0.028
91,FeI,5133.690,4.18,0.360,14.03,4.952,0.02
92,FeI,5171.600,1.49,-1.790,27.78,4.957,0.015
93,FeI,5191.450,3.04,-0.550,18.44,4.941,0.017
94,FeI,5192.340,3.0,-0.420,22.94,4.9,0.017
95,FeI,5194.940,1.56,-2.090,13.12,4.898,0.017
96,FeI,5216.270,1.61,-2.150,12.22,4.969,0.02
97,FeI,5232.940,2.94,-0.060,38.52,4.836,0.013
98,FeI,5266.560,3.0,-0.390,24.6,4.91,0.02
99,FeI,5283.620,3.24,-0.520,15.76,5.011,0.016
100,FeI,5324.180,3.21,-0.110,26.16,4.864,0.015
101,FeI,5341.020,1.61,-1.950,18.91,4.993,0.016
102,FeI,5369.960,4.37,0.540,12.13,4.866,0.021
103,FeI,5371.490,0.96,-1.640,59.55,4.983,0.012
104,FeI,5383.370,4.31,0.650,18.07,4.913,0.022
105,FeI,5397.130,0.92,-1.990,44.58,4.959,0.013
106,FeI,5405.770,0.99,-1.840,48.46,4.962,0.011
107,FeI,5415.200,4.39,0.640,17.38,4.974,0.017
108,FeI,5429.700,0.96,-1.880,49.61,4.997,0.012
109,FeI,5434.520,1.01,-2.120,35.28,4.979,0.012
110,FeI,5506.780,0.99,-2.800,11.43,4.975,0.031
111,FeI,5586.760,3.37,-0.110,20.16,4.85,0.013
112,FeI,6136.610,2.45,-1.400,12.53,4.995,0.021
113,FeI,6230.720,2.56,-1.280,14.1,5.037,0.028
114,FeI,6393.600,2.43,-1.580,10.89,5.075,0.024
115,FeI,6494.980,2.4,-1.270,17.52,4.981,0.016
116,FeI,7511.020,4.18,0.120,10.14,4.96,0.035
117,FeII,4173.450,2.58,-2.380,25.91,4.98,0.011
118,FeII,4178.860,2.58,-2.510,18.6,4.913,0.014
119,FeII,4233.160,2.58,-2.020,41.21,4.956,0.006
120,FeII,4303.170,2.7,-2.520,15.02,4.912,0.017
121,FeII,4385.380,2.78,-2.640,10.56,4.921,0.018
122,FeII,4416.820,2.78,-2.570,11.57,4.895,0.015
123,FeII,4508.280,2.86,-2.420,16.42,4.997,0.012
124,FeII,4515.340,2.84,-2.600,12.71,5.024,0.013
125,FeII,4522.630,2.84,-2.290,26.11,5.118,0.008
126,FeII,4555.890,2.83,-2.400,16.58,4.952,0.009
127,FeII,4583.830,2.81,-1.940,37.08,4.98,0.008
128,FeII,5197.580,3.23,-2.220,12.19,4.959,0.025
129,FeII,5234.630,3.22,-2.180,12.43,4.919,0.027
130,FeII,5276.000,3.2,-2.010,17.74,4.915,0.023
