,element,obs_wavelength,obs_ep,obs_ew
0,FeI,3440.61,0.0,0.0
1,FeI,3440.99,0.05,0.0
2,FeI,3447.28,2.2,0.0
3,FeI,3450.33,2.22,0.0
4,FeI,3451.91,2.22,0.0
5,FeI,3476.7,0.12,0.0
6,FeI,3490.57,0.05,0.0
7,FeI,3497.84,0.11,0.0
8,FeI,3540.12,2.87,0.0
9,FeI,3565.38,0.96,0.0
10,FeI,3608.86,1.01,0.0
11,FeI,3618.77,0.99,0.0
12,FeI,3647.84,0.92,0.0
13,FeI,3689.46,2.94,0.0
14,FeI,3719.93,0.0,0.0
15,FeI,3727.62,0.96,0.0
16,FeI,3742.62,2.94,0.0
17,FeI,3758.23,0.96,0.0
18,FeI,3763.79,0.99,0.0
19,FeI,3765.54,3.24,0.0
20,FeI,3786.68,1.01,0.0
21,FeI,3787.88,1.01,0.0
22,FeI,3805.34,3.3,0.0
23,FeI,3808.73,2.56,0.0
24,FeI,3815.84,1.48,0.0
25,FeI,3820.43,0.86,0.0
26,FeI,3825.88,0.91,0.0
27,FeI,3827.82,1.56,0.0
28,FeI,3840.44,0.99,0.0
29,FeI,3841.05,1.61,0.0
30,FeI,3849.97,1.01,0.0
31,FeI,3856.37,0.05,0.0
32,FeI,3865.52,1.01,0.0
33,FeI,3878.02,0.96,0.0
34,FeI,3895.66,0.11,0.0
35,FeI,3899.71,0.09,0.0
36,FeI,3902.95,1.56,0.0
37,FeI,3920.26,0.12,0.0
38,FeI,3922.91,0.05,0.0
39,FeI,3949.95,2.18,0.0
40,FeI,3977.74,2.2,0.0
41,FeI,4005.24,1.56,0.0
42,FeI,4045.81,1.49,0.0
43,FeI,4058.22,3.21,0.0
44,FeI,4063.59,1.56,0.0
45,FeI,4067.98,3.21,0.0
46,FeI,4070.77,3.24,0.0
47,FeI,4071.74,1.61,0.0
48,FeI,4114.44,2.83,0.0
49,FeI,4132.06,1.61,0.0
50,FeI,4134.68,2.83,0.0
51,FeI,4143.87,1.56,0.0
52,FeI,4147.67,1.49,0.0
53,FeI,4150.25,3.43,0.0
54,FeI,4154.5,2.83,0.0
55,FeI,4156.8,2.83,0.0
56,FeI,4157.78,3.42,0.0
57,FeI,4158.79,3.43,0.0
58,FeI,4174.91,0.91,0.0
59,FeI,4175.64,2.85,0.0
60,FeI,4181.76,2.83,0.0
61,FeI,4182.38,3.02,0.0
62,FeI,4184.89,2.83,0.0
63,FeI,4187.04,2.45,0.0
64,FeI,4187.8,2.42,0.0
65,FeI,4191.43,2.47,0.0
66,FeI,4195.33,3.33,0.0
67,FeI,4199.1,3.05,0.0
68,FeI,4202.03,1.49,0.0
69,FeI,4216.18,0.0,0.0
70,FeI,4217.55,3.43,0.0
71,FeI,4222.21,2.45,0.0
72,FeI,4227.43,3.33,0.0
73,FeI,4233.6,2.48,0.0
74,FeI,4238.81,3.4,0.0
75,FeI,4250.12,2.47,0.0
76,FeI,4250.79,1.56,0.0
77,FeI,4260.47,2.4,0.0
78,FeI,4271.15,2.45,0.0
79,FeI,4271.76,1.49,0.0
80,FeI,4282.4,2.18,0.0
81,FeI,4325.76,1.61,0.0
82,FeI,4352.73,2.22,0.0
83,FeI,4375.93,0.0,0.0
84,FeI,4388.41,3.6,0.0
85,FeI,4404.75,1.56,0.0
86,FeI,4415.12,1.61,0.0
87,FeI,4427.31,0.05,0.0
88,FeI,4430.61,2.22,0.0
89,FeI,4432.57,3.57,0.0
90,FeI,4442.34,2.2,0.0
91,FeI,4443.19,2.86,0.0
92,FeI,4447.72,2.22,0.0
93,FeI,4461.65,0.09,0.0
94,FeI,4466.55,2.83,0.0
95,FeI,4484.22,3.6,0.0
96,FeI,4489.74,0.12,0.0
97,FeI,4494.56,2.2,0.0
98,FeI,4514.18,3.05,0.0
99,FeI,4531.15,1.48,0.0
100,FeI,4547.85,3.55,0.0
101,FeI,4574.22,3.21,0.0
102,FeI,4592.65,1.56,0.0
103,FeI,4595.36,3.3,0.0
104,FeI,4602.0,1.61,0.0
105,FeI,4602.94,1.49,0.0
106,FeI,4607.65,3.27,0.0
107,FeI,4619.29,3.6,0.0
108,FeI,4630.12,2.28,0.0
109,FeI,4637.5,3.28,0.0
110,FeI,4643.46,3.65,0.0
111,FeI,4647.43,2.95,0.0
112,FeI,4661.97,2.99,0.0
113,FeI,4668.13,3.27,0.0
114,FeI,4704.95,3.69,0.0
115,FeI,4733.59,1.49,0.0
116,FeI,4736.77,3.21,0.0
117,FeI,4786.81,3.02,0.0
118,FeI,4787.83,3.0,0.0
119,FeI,4788.76,3.24,0.0
120,FeI,4789.65,3.55,0.0
121,FeI,4793.96,3.05,0.0
122,FeI,4794.35,2.42,0.0
123,FeI,4800.65,4.14,0.0
124,FeI,4802.88,3.64,0.0
125,FeI,4807.71,3.37,0.0
126,FeI,4808.15,3.25,0.0
